"male","age","land","agef","landf"
0,27,NA,90,160
0,54,14,NA,NA
0,39,NA,77,30
1,55,7,85,100
1,33,5,NA,NA
0,17,NA,85,70
1,37,4,79,32
1,38,5,85,70
1,85,70,NA,NA
1,39,7,85,100
0,42,7,NA,NA
1,59,20,NA,NA
1,42,3,71,30
0,33,6,73,15
1,38,3,73,20
1,45,3,83,20
0,30,NA,93,150
1,63,31,NA,NA
0,32,NA,93,150
1,76,20,NA,NA
0,37,6,74,33
1,47,5,85,70
1,32,4,NA,NA
1,44,4,77,30
1,54,7,84,90
1,90,160,NA,NA
0,34,4,87,45
1,30,6,NA,NA
1,43,8,80,55
1,41,2,90,20
0,29,NA,84,90
1,14,NA,79,45
0,79,17,NA,NA
1,39,3,71,30
1,75,50,NA,NA
1,32,3,79,45
0,33,NA,73,15
1,35,5,87,45
1,44,7,92,100
0,22,NA,80,55
0,43,14,79,45
1,31,5,NA,NA
0,81,2,NA,NA
1,40,4,77,30
1,11,NA,84,90
1,38,3,78,20
1,51,7,85,100
0,36,8,66,25
1,49,6,74,33
0,30,NA,79,45
1,48,2,79,45
1,77,30,NA,NA
1,73,20,NA,NA
1,31,17,84,300
1,60,45,NA,NA
1,46,3,73,15
1,56,4,76,20
1,17,NA,80,55
1,83,25,NA,NA
1,51,7,92,100
1,53,5,85,70
0,36,6,71,30
1,55,17,84,300
0,30,10,84,90
1,56,9,90,160
0,36,NA,84,300
0,36,20,73,20
0,34,2,85,70
0,42,NA,73,20
0,45,12,68,160
0,34,18,73,120
1,31,30,73,120
1,61,25,NA,NA
1,34,11,90,160
1,85,100,NA,NA
1,56,17,84,300
1,90,20,NA,NA
1,33,11,75,50
1,34,11,90,160
0,39,5,85,70
0,44,6,90,20
1,36,4,NA,NA
1,38,6,73,15
1,66,7,90,160
1,87,45,NA,NA
1,44,5,87,45
0,46,8,79,45
0,36,18,84,300
1,55,7,84,90
1,58,5,87,45
0,35,NA,85,100
0,66,24,NA,NA
1,60,15,93,150
0,26,NA,77,30
0,33,4,84,90
1,58,52,NA,NA
0,37,NA,79,32
1,46,11,75,50
1,31,15,73,120
1,50,7,80,55
1,41,15,73,120
0,31,10,87,45
0,57,4,83,20
0,39,6,90,20
1,45,7,84,90
0,30,6,NA,NA
1,33,11,75,50
1,43,2,90,20
0,39,NA,80,55
0,42,8,83,20
1,78,70,NA,NA
1,33,13,68,160
0,59,35,NA,NA
1,53,4,77,30
0,53,NA,84,300
0,44,NA,74,33
1,31,NA,74,33
1,46,3,71,30
0,37,10,77,30
0,31,15,NA,NA
0,33,20,78,20
0,23,NA,78,20
1,42,17,84,300
1,32,14,71,30
1,46,15,NA,NA
1,34,5,78,20
0,38,NA,68,160
0,56,12,92,100
1,55,10,NA,NA
0,42,NA,73,20
1,42,3,78,20
0,40,18,93,150
1,34,2,NA,NA
0,35,6,NA,NA
0,20,NA,79,32
0,37,10,92,100
1,51,30,NA,NA
0,46,8,77,30
1,35,13,68,160
1,51,19,93,150
1,37,15,73,120
1,41,11,90,160
0,33,12,66,25
1,53,40,NA,NA
1,33,5,78,20
0,28,NA,79,32
0,46,6,73,20
0,36,12,78,20
1,40,7,84,90
0,69,16,NA,NA
0,37,10,75,50
1,35,8,66,25
0,13,NA,90,160
0,33,6,80,55
0,20,NA,68,160
1,38,7,NA,NA
0,13,NA,90,160
1,52,6,80,55
0,53,8,85,100
1,63,40,NA,NA
1,32,NA,73,20
0,45,4,78,20
0,33,10,73,20
1,73,120,NA,NA
0,74,7,NA,NA
0,57,6,93,150
0,26,NA,87,45
1,45,3,73,20
0,31,16,90,160
0,64,18,NA,NA
0,47,6,73,15
1,33,7,84,90
1,72,10,NA,NA
0,43,6,85,70
0,58,10,85,100
0,50,8,85,70
0,44,8,85,100
0,50,16,84,90
1,33,12,NA,NA
0,43,7,NA,NA
0,35,NA,79,32
0,35,4,68,160
0,38,14,71,30
0,34,20,73,120
1,46,3,83,20
0,21,NA,71,30
0,33,8,74,33
1,13,NA,68,160
0,37,16,90,160
1,35,12,NA,NA
1,39,5,NA,NA
1,44,6,74,33
1,31,15,85,70
1,33,2,90,20
1,63,60,NA,NA
0,86,3,NA,NA
1,13,NA,68,160
1,61,17,84,300
1,44,6,NA,NA
1,59,15,93,150
0,51,2,93,150
0,53,16,80,55
1,60,20,NA,NA
0,41,4,73,20
0,54,25,NA,NA
0,51,8,87,45
1,79,32,NA,NA
0,51,26,76,20
1,38,13,68,160
1,58,15,NA,NA
1,55,10,90,160
1,39,15,73,120
1,44,3,71,30
1,58,17,84,300
0,59,6,83,20
1,35,15,73,120
1,33,15,73,120
0,35,16,72,10
0,28,NA,79,32
1,41,2,79,45
1,33,15,NA,NA
0,45,NA,93,150
0,41,5,NA,NA
1,84,90,NA,NA
0,50,18,79,32
1,40,6,74,33
1,36,8,66,25
0,21,NA,66,25
1,66,25,NA,NA
1,45,7,80,55
0,56,NA,90,160
1,45,4,77,30
1,42,3,73,20
0,32,NA,93,150
0,21,NA,79,45
0,63,NA,93,150
0,27,NA,79,45
0,39,NA,87,44
0,30,24,84,300
0,49,6,78,20
1,38,6,66,25
0,44,10,73,15
1,21,NA,73,20
0,15,NA,84,90
0,21,NA,84,300
0,36,NA,93,150
1,41,3,71,30
1,73,15,NA,NA
1,35,11,75,50
0,32,8,66,25
0,36,8,92,100
0,39,6,74,33
0,21,NA,92,100
0,39,NA,93,150
1,38,11,75,50
1,68,160,NA,NA
0,68,15,NA,NA
1,34,11,75,50
1,44,2,78,20
1,32,10,80,55
1,55,17,93,150
0,42,6,75,50
1,41,6,66,25
1,43,5,NA,NA
0,27,NA,71,30
0,42,10,87,45
1,44,7,92,100
