"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"uysl7","f",16.3013706207275,0,NA,NA,NA,NA,"p6ihp",35.024658203125,18.7232875823975,3
"rbjig","m",26.6739730834961,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"ahloo","m",29.6739730834961,2.64000010490417,"sn9fd",71.04931640625,41.3753433227539,6,"to6xd",47.0328750610352,17.3589038848877,4
"edgcr","f",20.5698623657227,0,"ttpdq",65.6438369750977,45.0739707946777,4,"h1frn",48.687671661377,28.1178073883057,4
"gd0wb","m",50.7808227539062,2,NA,NA,NA,NA,NA,NA,NA,NA
"f2m2s","f",71.7041091918945,3,NA,NA,NA,NA,NA,NA,NA,NA
"x7fgu","f",58.6958885192871,8,NA,NA,NA,NA,"qjeep",84.7260284423828,26.0301361083984,5
"we03l","m",61.6958885192871,5,NA,NA,NA,NA,NA,NA,NA,NA
"mgw12","f",30.8657531738281,0.819999992847443,"a9li1",81.5369873046875,50.6712341308594,8,"siwhu",71.1600036621094,40.294246673584,8
"xx5lt","m",62.6986312866211,3,NA,NA,NA,NA,NA,NA,NA,NA
"lwkjb","f",27.6739730834961,1.63999998569489,NA,NA,NA,NA,NA,NA,NA,NA
"psbka","f",53.4137001037598,6,"a9li1",81.5369873046875,28.1232872009277,8,"siwhu",71.1600036621094,17.746301651001,8
"ba0zq","m",22.6712322235107,0,"uzsw5",38.0273971557617,15.3561639785767,3,"f9fzz",31.0219173431396,8.35068511962891,3
"w59di","f",43.6849327087402,6.82000017166138,NA,NA,NA,NA,NA,NA,NA,NA
"h2u4u","f",42.6849327087402,7.82000017166138,NA,NA,NA,NA,NA,NA,NA,NA
"a52vt","f",20.7616443634033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pfl4l","m",35.6904106140137,0,"af96q",88.7013702392578,53.0109596252441,5,"e9jof",70.04931640625,34.3589057922363,4
"d8f5i","f",19.7424659729004,0,NA,NA,NA,NA,"k77kd",39.6821899414062,19.9397258758545,4
"vcp94","f",25.6712322235107,1.82000005245209,"lxdio",NA,NA,NA,"sugb4",58.0410957336426,32.3698616027832,7
"tlctv","f",33.7534255981445,1,"lxdio",NA,NA,NA,"sugb4",58.0410957336426,24.2876720428467,7
"ve2v9","f",27.6739730834961,1.82000005245209,NA,NA,NA,NA,"flddj",NA,NA,NA
"f48tv","f",56.6931495666504,NA,NA,NA,NA,NA,"m3m35",76.7068481445312,20.0136985778809,2
"v4xq2","f",74.7808227539062,8,NA,NA,NA,NA,NA,NA,NA,NA
"konmm","f",27.76438331604,4.6399998664856,NA,NA,NA,NA,NA,NA,NA,NA
"wn5yo","f",21.668493270874,0,NA,NA,NA,NA,NA,NA,NA,NA
"d3smf","m",46.687671661377,1,NA,NA,NA,NA,NA,NA,NA,NA
"lprqq","m",46.687671661377,2,NA,NA,NA,NA,NA,NA,NA,NA
"q0a9a","f",23.7561645507812,1.63999998569489,"qi1ip",48.687671661377,24.9315071105957,5,"msrcp",44.6849327087402,20.9287662506104,5
"eud8v","f",54.7671241760254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r5w1f","m",66.7013702392578,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diqbf","m",44.6849327087402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nc6gb","m",35.7698631286621,0,NA,NA,NA,NA,NA,NA,NA,NA
"ur782","f",22.8986301422119,0.819999992847443,"ttpdq",65.6438369750977,42.7452049255371,4,"h1frn",48.687671661377,25.789041519165,4
"ngzba","f",25.6958904266357,0.819999992847443,"wo7v8",57.3835601806641,31.687671661377,5,"dohum",55.9643821716309,30.2684936523438,5
"x2ekp","f",59.2438354492188,4,NA,NA,NA,NA,"m8jcf",81.3835601806641,22.1397266387939,6
"p1hkc","f",17.0739727020264,0,NA,NA,NA,NA,"n70x7",42.7780838012695,25.7041091918945,4
"rf2u5","f",21.9917812347412,2,NA,NA,NA,NA,"fczv1",46.9123306274414,24.9205474853516,2
"j4ubf","f",39.6821899414062,4,NA,NA,NA,NA,NA,NA,NA,NA
"rtlpi","f",15.3972606658936,0,NA,NA,NA,NA,"siyea",41.2273979187012,25.8301372528076,5
"dhx4w","f",16.9397258758545,0.819999992847443,"pelx6",44.6849327087402,27.7452049255371,7,"h2u4u",42.6849327087402,25.7452049255371,7
"iay1e","f",72.0547943115234,6,NA,NA,NA,NA,NA,NA,NA,NA
"mlih6","f",24.76438331604,0,"r0ujd",61.5534248352051,36.7890396118164,8,"jcxlj",59.6958885192871,34.9315071105957,4
