"age","ed","sex","agef","edf","agem","edm","fam_id"
45,0,1,72,0,63,0,"db3n7"
18,3,1,68,0,51,2,"ex7jh"
18,8,2,65,4,49,3,"e8343"
34,5,1,65,7,66,2,"tuj4r"
22,5,2,50,0,46,0,"yvgp9"
21,5,2,75,0,54,0,"fk588"
35,4,1,73,0,41,0,"sipd3"
30,4,1,60,0,51,0,"otf98"
23,8,1,60,0,49,0,"atah0"
27,5,2,58,6,53,3,"vlnao"
35,5,1,62,0,56,0,"qjcf2"
32,10,1,60,9,50,5,"wq2on"
33,0,2,65,0,59,0,"vcfxl"
33,15,1,65,15,55,5,"hb8tw"
24,6,1,26,5,50,3,"esrwi"
32,1,2,70,0,53,0,"b5cet"
24,2,2,72,0,52,0,"bqr76"
20,7,2,56,0,46,0,"dgyu0"
30,9,1,69,0,52,0,"pizod"
22,9,2,62,2,50,1,"rqfs2"
28,3,2,66,0,50,0,"rwh2a"
38,9,2,59,5,58,4,"e6zkv"
35,7,1,70,5,55,0,"nukgk"
44,0,2,70,0,52,0,"gri75"
26,9,1,58,10,48,8,"okta0"
25,1,2,52,0,46,0,"n70q9"
41,9,1,71,7,50,4,"xepti"
28,5,2,55,3,50,0,"di8ok"
19,8,1,68,9,54,8,"omeqj"
26,0,1,58,4,46,0,"nwbir"
23,8,2,50,0,44,0,"kbphq"
22,6,1,67,0,47,4,"edmeb"
39,5,1,73,0,61,0,"px6hf"
26,15,1,57,0,62,2,"wdiri"
30,8,2,71,7,50,4,"xepti"
23,10,1,52,8,46,5,"p4vcb"
40,0,2,68,0,51,2,"ex7jh"
23,9,2,65,7,66,2,"tuj4r"
20,8,1,67,5,57,5,"i5ntx"
35,8,2,70,10,58,5,"cw8uh"
19,8,1,45,0,40,0,"llt5c"
20,9,1,54,3,47,0,"o7u9f"
25,10,2,68,8,59,5,"k4q74"
27,5,2,54,8,48,4,"q1u3u"
21,10,1,55,6,51,0,"mftd2"
21,6,1,55,9,43,0,"ue7ff"
26,2,2,65,0,46,0,"guiep"
27,9,1,69,0,58,0,"pzy3z"
22,9,2,59,5,58,4,"e6zkv"
22,9,1,70,5,54,0,"o5i5n"
28,9,1,70,10,52,0,"ll454"
30,9,2,64,9,48,5,"tx9i8"
35,1,2,70,0,55,0,"vll55"
21,6,1,48,6,42,0,"yrrup"
37,0,1,70,0,52,0,"gri75"
25,12,1,66,4,53,0,"l4wgh"
36,5,1,72,0,62,0,"is86h"
27,10,2,72,0,61,2,"mv284"
31,5,1,65,7,66,2,"tuj4r"
18,3,1,58,0,41,0,"xjhjv"
18,10,2,60,0,47,0,"qrwk6"
18,4,2,62,0,49,0,"emmbp"
23,9,1,65,7,52,2,"d1q55"
18,10,1,50,6,42,4,"uv7n4"
36,5,2,73,4,63,2,"lltyy"
23,15,1,61,12,49,9,"plcok"
29,10,1,65,7,52,2,"d1q55"
31,5,1,54,0,52,0,"qwg5j"
26,9,1,59,5,58,4,"e6zkv"
30,12,1,69,0,51,0,"d0gcm"
28,9,2,69,0,51,0,"d0gcm"
22,5,1,50,0,42,0,"w8lx0"
25,8,1,70,0,50,0,"b4qwz"
37,2,1,68,0,51,2,"ex7jh"
23,9,1,60,5,48,5,"pj1eg"
19,9,2,52,0,45,0,"kupk4"
25,9,1,66,5,56,0,"i9p41"
18,12,1,56,7,51,0,"xa9td"
24,6,2,48,0,43,2,"gi7vk"
19,12,1,52,5,47,2,"u52c8"
34,7,1,70,0,53,0,"b5cet"
18,9,1,52,0,46,0,"n70q9"
31,9,1,73,5,58,2,"uu0gi"
34,5,1,75,3,67,0,"hwds7"
39,10,1,70,5,59,0,"di1vx"
24,9,2,55,4,43,5,"az3sv"
22,7,1,60,5,54,0,"h5qgs"
45,5,1,73,0,61,0,"px6hf"
29,12,1,66,5,56,0,"i9p41"
40,7,2,62,0,56,0,"qjcf2"
40,8,1,80,0,60,0,"wm10q"
27,10,2,66,4,53,0,"l4wgh"
40,0,2,72,0,63,0,"db3n7"
36,9,1,70,0,50,0,"b4qwz"
22,5,1,50,4,44,0,"uhbwi"
28,10,1,65,7,66,2,"tuj4r"
35,4,1,70,12,60,2,"c4wte"
25,7,1,60,5,50,0,"pswsl"
22,7,1,55,0,48,0,"fy61p"
30,6,2,73,0,63,0,"hiakr"
27,5,2,50,0,47,0,"zkjsg"
22,10,2,50,5,44,0,"txjpn"
43,2,2,67,0,64,0,"beiu7"
28,8,1,63,4,54,0,"l42ru"
40,0,1,75,3,67,0,"hwds7"
36,8,2,71,4,60,0,"ejntc"
33,12,2,75,9,60,4,"ufx8a"
35,4,1,67,0,59,2,"ssgpw"
26,10,2,60,9,53,0,"xylar"
20,7,2,66,5,51,0,"h7ccp"
38,9,2,72,12,60,5,"vwufk"
36,9,2,75,9,60,4,"ufx8a"
38,8,2,74,3,60,0,"t9uw0"
25,9,1,53,8,46,0,"hlonx"
38,7,2,72,7,59,4,"wpn3w"
19,10,2,65,12,52,10,"pxljf"
37,10,2,57,0,62,2,"wdiri"
30,5,1,67,0,59,2,"ssgpw"
30,9,1,56,0,46,0,"dgyu0"
27,8,1,60,5,51,4,"v1rwo"
23,6,2,50,0,49,0,"xhbyg"
26,4,2,65,6,64,0,"i1bqi"
29,9,1,60,0,54,0,"hra05"
32,10,2,60,0,49,0,"atah0"
20,5,1,54,0,52,0,"qwg5j"
25,9,2,63,5,51,5,"de6wv"
47,15,1,80,3,51,0,"xh5q7"
18,9,2,50,0,43,5,"s5hga"
34,6,2,67,4,48,3,"l2668"
27,3,2,72,0,52,0,"bqr76"
30,5,1,54,5,51,0,"t33k1"
21,7,2,72,0,61,2,"mv284"
29,10,2,62,13,48,9,"s09h4"
23,8,1,54,5,51,0,"t33k1"
30,5,2,70,0,53,0,"b5cet"
42,0,2,69,0,62,2,"h8wdm"
19,10,1,50,15,38,10,"tme19"
28,9,2,75,0,63,0,"sjffo"
29,5,1,57,8,50,5,"o1uxi"
28,12,2,62,10,53,5,"ftmp4"
30,10,2,65,5,54,4,"ldzib"
25,9,2,74,0,58,0,"u16sc"
21,10,2,50,4,41,0,"bpvmq"
39,15,1,80,3,51,0,"xh5q7"
23,9,2,58,4,52,5,"uv7wr"
33,7,1,74,3,60,0,"t9uw0"
26,10,1,62,13,48,9,"s09h4"
22,9,2,66,4,60,5,"qg79k"
36,10,2,66,5,56,0,"i9p41"
25,6,1,48,0,42,0,"w830t"
36,2,2,64,5,54,0,"mv2wp"
43,4,2,65,6,58,5,"foc0g"
22,7,2,60,0,47,0,"qrwk6"
25,3,1,60,0,52,0,"gfqpa"
23,10,2,55,10,43,8,"sudha"
41,0,2,72,0,62,0,"is86h"
18,9,1,60,5,53,3,"gm54u"
35,10,2,68,8,59,5,"k4q74"
23,0,2,66,0,47,0,"m387c"
22,10,2,60,10,44,7,"vo6f4"
22,8,1,69,2,52,0,"sxrg1"
30,0,2,70,12,60,2,"c4wte"
34,12,1,60,4,48,5,"ymr22"
22,0,2,65,0,47,0,"t91ol"
22,5,2,55,3,50,0,"di8ok"
32,9,1,75,0,60,0,"wbha5"
42,2,1,60,5,54,0,"h5qgs"
39,9,1,63,8,54,5,"e0pbj"
24,5,1,54,0,47,4,"rd255"
20,5,2,50,0,43,2,"w6ni1"
21,12,1,50,15,38,10,"tme19"
35,7,1,67,0,54,0,"hlkwd"
22,12,2,60,9,53,0,"xylar"
40,16,1,65,15,55,5,"hb8tw"
20,10,1,75,8,61,5,"hz7ma"
22,8,2,65,4,58,2,"egh95"
25,10,1,65,4,58,2,"egh95"
22,10,2,50,4,44,0,"yhwui"
20,0,1,57,0,56,0,"dmh87"
18,8,1,52,5,43,0,"uwyiw"
25,8,2,55,0,48,0,"fy61p"
26,6,2,58,0,50,0,"l4h99"
26,9,1,52,9,47,9,"i5rt8"
21,6,1,53,0,41,0,"luzfc"
18,10,2,69,0,51,0,"d0gcm"
25,6,1,65,4,52,0,"xvlln"
39,5,2,75,8,55,2,"laslf"
21,7,2,60,9,51,4,"at56q"
28,7,1,70,0,53,0,"b5cet"
28,5,1,55,0,50,0,"ovd81"
23,6,2,53,0,41,0,"luzfc"
24,6,1,55,6,51,0,"mftd2"
30,10,1,60,6,52,0,"mdmfb"
24,9,2,60,9,51,5,"i73z8"
34,6,1,75,8,61,5,"hz7ma"
33,5,2,65,5,55,5,"itww2"
20,9,1,50,6,42,4,"uv7n4"
24,6,2,60,9,46,1,"utxuz"
32,9,1,60,5,54,0,"h5qgs"
28,12,2,65,8,52,4,"t54c3"
28,4,1,78,4,52,0,"jgv4t"
35,12,1,60,5,51,4,"v1rwo"
33,0,1,65,0,57,0,"shpec"
21,12,1,63,0,53,0,"qorhb"
27,6,1,50,0,49,0,"xhbyg"
32,10,1,69,2,59,5,"td4g8"
34,15,2,70,15,53,10,"qnn1q"
21,12,2,53,8,46,0,"hlonx"
32,9,1,68,9,54,8,"omeqj"
27,9,2,50,4,44,0,"uhbwi"
26,10,2,58,4,52,5,"uv7wr"
33,16,1,70,10,52,0,"ll454"
27,10,2,66,5,56,0,"i9p41"
20,7,1,60,0,47,0,"gyh4a"
24,7,2,65,0,46,0,"guiep"
30,6,1,60,0,49,0,"ku6kb"
38,1,1,70,0,60,0,"ckg9d"
18,9,2,54,8,48,5,"fygf0"
22,8,1,65,6,64,0,"i1bqi"
35,1,2,70,0,54,0,"sm8mw"
19,5,1,50,0,45,0,"vrzut"
22,6,2,72,7,59,4,"wpn3w"
35,5,1,58,6,53,3,"vlnao"
23,9,1,55,5,47,3,"srjv4"
39,12,1,70,10,62,5,"zxvfs"
26,5,2,68,0,51,2,"ex7jh"
34,4,2,60,6,56,2,"qrq1n"
30,12,2,55,9,48,5,"e004w"
31,6,2,73,8,53,3,"qqjjr"
40,16,1,65,6,58,5,"foc0g"
40,12,1,75,9,60,4,"ufx8a"
35,10,1,69,2,59,5,"td4g8"
29,9,1,58,6,53,3,"vlnao"
35,0,2,58,0,46,0,"fb1td"
21,12,1,55,12,49,9,"bwxb5"
18,0,1,62,0,51,0,"d61hd"
20,12,2,60,10,50,5,"pxl48"
20,10,2,45,5,44,0,"yf94w"
25,8,1,60,0,47,0,"gyh4a"
32,5,2,60,4,48,5,"ymr22"
36,0,2,65,0,55,0,"sl1bt"
21,5,1,60,0,56,0,"tavbl"
20,9,1,58,0,48,0,"rzbyg"
30,10,1,70,0,58,0,"cg20v"
26,5,2,65,0,51,0,"ndvwv"
26,7,2,60,9,46,1,"utxuz"
20,9,2,55,5,45,6,"bx95o"
32,10,2,57,8,50,5,"o1uxi"
21,5,2,60,9,51,5,"i73z8"
29,8,2,53,0,46,2,"c4k90"
21,7,2,53,0,46,2,"c4k90"
34,5,2,72,7,59,4,"wpn3w"
40,5,1,65,0,45,6,"h2j5o"
24,12,1,60,5,53,3,"gm54u"
38,6,2,70,10,58,5,"cw8uh"
28,4,2,67,0,54,0,"hlkwd"
25,9,2,60,5,48,5,"pj1eg"
30,10,2,66,4,60,5,"qg79k"
38,10,1,38,9,65,0,"ceq1x"
38,0,2,60,0,54,0,"hra05"
18,9,2,70,5,55,0,"nukgk"
26,9,2,73,0,41,0,"sipd3"
19,5,2,78,4,52,0,"jgv4t"
32,5,2,67,0,59,2,"ssgpw"
28,9,1,50,0,43,5,"s5hga"
22,12,1,52,12,35,10,"y2lto"
18,3,1,47,0,39,0,"pchke"
18,9,2,35,6,52,3,"drdex"
23,10,1,52,10,42,8,"sd8po"
23,9,1,70,0,54,2,"qu8q7"
25,9,1,61,12,49,9,"plcok"
28,0,1,65,0,46,0,"guiep"
22,8,2,64,9,48,5,"tx9i8"
20,9,1,70,4,59,4,"b5r0i"
35,10,2,67,10,55,5,"s0hta"
27,8,2,60,9,51,5,"i73z8"
20,8,2,65,0,52,0,"uuy7d"
20,9,2,55,10,40,4,"qz0ou"
45,9,1,65,0,45,6,"h2j5o"
31,5,2,72,0,61,2,"mv284"
38,9,2,71,4,60,0,"ejntc"
29,10,2,52,5,47,0,"e4esb"
33,4,2,70,0,50,0,"b4qwz"
22,12,1,50,9,44,4,"utyrm"
30,2,1,70,0,62,0,"wy6hl"
26,12,1,65,15,49,9,"a16c0"
28,7,1,60,0,56,0,"tavbl"
45,5,1,70,5,59,0,"x7k80"
20,0,1,65,0,59,0,"vcfxl"
24,9,1,58,6,53,3,"vlnao"
38,2,1,38,10,55,0,"eon8a"
23,12,2,50,16,48,10,"doeum"
26,9,2,67,10,55,5,"s0hta"
35,12,1,70,10,62,5,"zxvfs"
22,4,2,55,4,43,5,"az3sv"
19,6,1,50,5,44,4,"lz1mw"
20,12,1,52,8,46,5,"p4vcb"
35,5,2,75,0,60,0,"wbha5"
21,7,2,52,2,44,3,"uy45y"
18,7,2,55,4,43,5,"az3sv"
31,0,1,65,0,50,0,"ij4ij"
19,7,1,57,0,42,0,"ra7ol"
32,12,1,67,4,48,3,"l2668"
36,5,1,60,6,56,2,"qrq1n"
23,8,2,67,2,50,0,"rg8nq"
36,5,1,72,3,59,0,"jlum9"
23,7,1,55,5,42,5,"i2p9s"
27,7,2,60,0,47,3,"zz3gb"
29,9,1,62,9,47,7,"bnlgn"
18,10,2,49,6,42,6,"s7pfq"
18,9,2,50,0,37,0,"noe29"
20,5,1,59,0,51,0,"vi6j0"
19,12,2,58,10,48,8,"okta0"
30,12,1,70,0,54,0,"sm8mw"
23,9,1,55,5,45,6,"bx95o"
27,12,2,72,0,62,0,"is86h"
38,9,2,67,10,55,5,"s0hta"
33,10,2,67,10,55,5,"s0hta"
40,0,2,70,5,59,0,"x7k80"
25,0,2,62,0,51,0,"d61hd"
20,9,1,54,3,50,3,"njqtj"
34,6,1,75,0,63,0,"sjffo"
35,0,1,75,0,50,0,"wjc4i"
22,8,1,65,7,50,4,"fo41d"
25,9,2,59,10,51,4,"pom90"
30,8,2,71,0,51,5,"z9bag"
37,9,2,73,5,58,2,"uu0gi"
26,0,1,66,0,47,0,"m387c"
22,9,1,50,0,42,0,"bceju"
40,10,1,57,0,62,2,"wdiri"
27,7,2,70,5,54,0,"o5i5n"
28,8,1,72,12,60,5,"vwufk"
19,5,1,60,0,52,0,"gfqpa"
22,7,2,54,0,34,0,"inxxf"
38,16,1,68,8,59,5,"k4q74"
40,9,1,74,3,60,0,"t9uw0"
22,8,1,67,0,51,0,"uf8im"
33,9,2,60,5,53,3,"gm54u"
32,12,1,58,4,52,5,"uv7wr"
28,12,2,58,4,52,5,"uv7wr"
40,9,2,67,5,57,5,"i5ntx"
18,8,2,55,9,43,0,"ue7ff"
42,10,1,75,8,61,5,"hz7ma"
19,7,1,50,0,45,5,"wouhx"
27,6,1,65,0,55,0,"sl1bt"
40,5,2,70,0,58,0,"cg20v"
19,10,2,53,0,43,7,"kf91h"
45,0,2,65,0,57,0,"shpec"
25,5,1,60,4,53,2,"radyp"
39,0,2,65,0,56,0,"opcd8"
27,5,1,53,0,49,0,"wgapu"
42,10,2,70,10,62,5,"zxvfs"
30,5,2,63,4,54,0,"l42ru"
38,5,1,70,5,59,0,"x7k80"
37,10,2,65,15,53,7,"py6jv"
28,0,1,57,0,56,0,"dmh87"
40,5,1,70,0,54,0,"sm8mw"
32,8,2,62,2,50,1,"rqfs2"
21,5,1,52,0,41,3,"pg6o3"
26,8,2,60,0,56,0,"tavbl"
20,10,2,52,9,47,9,"i5rt8"
30,5,2,65,6,53,3,"n3r0r"
23,0,2,55,0,41,0,"wq11q"
30,8,2,60,0,56,0,"tavbl"
19,10,2,48,6,37,8,"ehpul"
20,9,2,55,5,42,5,"i2p9s"
24,7,2,70,0,63,0,"vw1re"
18,8,1,58,0,48,0,"rzbyg"
20,10,2,60,0,50,0,"kh3bv"
30,7,2,75,0,50,0,"wjc4i"
21,6,1,50,5,44,4,"lz1mw"
29,10,1,63,5,51,5,"de6wv"
35,7,2,67,0,51,0,"uf8im"
35,5,2,65,5,55,5,"itww2"
18,9,1,68,9,54,8,"omeqj"
26,3,1,75,0,53,0,"mcntt"
25,7,1,64,2,57,0,"dfu4j"
25,9,1,60,0,51,0,"o99sa"
28,12,1,75,8,55,2,"laslf"
22,7,1,62,0,48,0,"ra1lj"
25,8,2,52,2,44,3,"uy45y"
25,9,1,55,10,43,8,"sudha"
22,9,2,70,5,47,0,"vj2ik"
33,10,1,63,4,54,0,"l42ru"
20,9,1,46,0,42,5,"v79az"
35,0,2,72,0,61,2,"mv284"
21,5,1,62,0,46,0,"yijw5"
19,4,1,52,6,44,0,"icv57"
32,9,1,52,9,47,9,"i5rt8"
19,10,1,52,3,39,3,"hg4ic"
30,6,1,60,6,56,2,"qrq1n"
30,5,1,55,0,49,0,"ty6xk"
24,6,1,52,5,43,0,"uwyiw"
29,0,1,65,0,59,0,"vcfxl"
38,9,1,60,6,56,2,"qrq1n"
28,5,1,55,0,48,0,"fy61p"
40,5,2,72,7,59,4,"wpn3w"
23,5,1,62,0,46,0,"yijw5"
22,12,1,50,0,45,0,"vrzut"
22,6,1,60,5,52,3,"fb5xd"
35,6,1,74,0,58,0,"u16sc"
24,12,1,65,5,54,4,"ldzib"
25,8,1,60,9,51,4,"at56q"
40,10,1,72,12,60,5,"vwufk"
35,12,1,65,6,53,3,"n3r0r"
18,8,1,75,0,54,0,"fk588"
18,5,1,60,0,49,0,"atah0"
33,0,1,60,0,51,0,"otf98"
37,10,1,63,4,54,0,"l42ru"
25,2,1,70,12,60,2,"c4wte"
33,5,1,72,0,61,2,"mv284"
21,8,1,48,0,43,2,"gi7vk"
30,8,1,74,3,60,0,"t9uw0"
45,0,1,75,3,67,0,"hwds7"
33,9,1,63,8,54,5,"e0pbj"
23,4,2,60,0,50,0,"sobak"
35,8,2,75,0,61,0,"a3m1d"
27,8,2,60,6,56,2,"qrq1n"
30,0,1,70,0,52,0,"gri75"
22,9,2,65,4,49,3,"e8343"
24,12,1,59,8,47,5,"hl6w4"
30,8,1,60,9,50,5,"wq2on"
18,10,2,40,5,38,3,"jt08s"
27,10,1,60,6,52,0,"mdmfb"
29,5,1,56,7,51,0,"xa9td"
39,6,1,75,0,54,0,"fk588"
29,8,1,60,0,50,0,"kh3bv"
31,9,1,66,4,53,0,"l4wgh"
20,6,2,55,2,45,3,"zu265"
33,10,1,60,0,49,0,"ku6kb"
19,5,1,60,10,52,5,"ptjft"
25,4,2,70,0,62,0,"wy6hl"
38,0,2,65,0,57,0,"shpec"
20,8,2,54,0,34,0,"inxxf"
43,4,1,72,0,60,1,"u0pae"
48,0,2,73,0,61,0,"px6hf"
21,8,2,65,4,58,2,"egh95"
19,15,1,45,9,35,8,"a1nx8"
21,8,2,71,7,50,4,"xepti"
20,5,1,65,0,40,0,"h0j6m"
27,6,2,75,0,53,0,"mcntt"
33,1,2,65,0,55,0,"sl1bt"
20,9,1,46,10,40,9,"entgr"
23,5,1,72,3,59,0,"jlum9"
30,5,2,58,0,50,0,"l4h99"
32,2,2,58,0,46,0,"fb1td"
19,10,2,50,5,44,0,"txjpn"
34,12,1,65,8,52,4,"t54c3"
23,15,1,60,16,50,4,"brhhr"
21,10,2,65,8,52,4,"t54c3"
23,0,1,65,0,59,0,"vcfxl"
32,0,2,75,0,54,0,"fk588"
27,8,2,64,9,48,5,"tx9i8"
30,2,2,65,0,55,0,"sl1bt"
28,4,2,64,5,54,0,"mv2wp"
32,10,1,60,0,54,0,"hra05"
21,9,2,52,0,41,0,"b0uhl"
28,10,1,60,5,52,3,"fb5xd"
28,9,1,55,9,48,5,"e004w"
24,4,1,62,9,47,7,"bnlgn"
39,0,1,65,0,64,0,"moyjz"
