"id","sex","networkwealth","yb","networkwealthp","ybp","idp","parent_is_mother"
"ub0o6",1,1.22731041908264,1953,4.34883737564087,1932,"fj8ca",0
"og9z9",1,4.83827590942383,1975,0.760848224163055,1945,"q7pxr",0
"dz602",2,2,1980,1.64485585689545,1942,"mdktl",0
"p8qn9",2,2.65795516967773,1976,4.01199293136597,1952,"nwsn2",0
"swz8l",2,4.77658939361572,1981,5,1952,"vxgd4",1
"zynyu",2,2,1972,5.00553417205811,1954,"stkl4",1
"ewvls",1,4,1947,5.6681432723999,1922,"tr7tv",1
"racl4",2,7.19498872756958,1966,12.3463945388794,1934,"ua7vq",0
"odco3",2,0.919174313545227,1967,3.83107352256775,1950,"pbmn4",1
"nbbob",2,5.20487451553345,1966,2.90842461585999,1935,"oze37",1
"glbul",2,0.654086709022522,1968,2.25297403335571,1942,"g444s",1
"sqwar",2,2.01401448249817,1975,4,1947,"xmydk",1
"hf2xh",1,2.11831331253052,1972,4.97009944915771,1937,"lr9mv",0
"zqfj6",1,2.05915665626526,1967,8.97147941589355,1945,"aojxh",1
"l12dz",2,45.2161750793457,1975,3.85722994804382,1956,"tpfxl",1
"l2vwn",1,3.90270280838013,1963,2.63963961601257,1944,"z4zka",1
"sktyn",2,3.17747020721436,1985,3.11831331253052,1952,"bjo1v",0
"kj24h",1,2.55726861953735,1976,5.38264989852905,1944,"ls0ok",1
"dcp5h",2,1.98364186286926,1965,8.02304077148438,1933,"wn7gt",0
"xxmlb",1,2.91981410980225,1972,3.83107352256775,1950,"pbmn4",1
"psm3c",2,2,1975,4.56090927124023,1956,"r5ly0",1
"ea9ww",1,3.799471616745,1972,2.54191708564758,1948,"gly17",1
"u9z3o",1,2.30285000801086,1961,0.383934497833252,1940,"h9cme",1
"z27fx",1,1.50536668300629,1974,3.11831331253052,1952,"bjo1v",0
"vxzbm",2,4.66754150390625,1973,3.40658068656921,1948,"bfgby",0
"grehe",2,3.22454714775085,1972,0.923470258712769,1933,"lcjg5",0
"b5aos",1,2.61634683609009,1976,0.492142558097839,1951,"yponu",0
"dzeh2",2,2.64930558204651,1962,4.74167776107788,1935,"a8krl",0
"a9ll5",1,6.37659120559692,1958,7.85878658294678,1931,"ybevk",0
"tuz6a",2,4,1969,4.63644123077393,1928,"pi0jd",0
"xf94p",2,1.62991142272949,1975,1.86378741264343,1934,"t1l3s",1
"agqmm",1,2.17370510101318,1975,2.41047596931458,1946,"tz2m2",0
"jcj0v",1,9.65775394439697,1967,2,1945,"pi4y8",1
"sm3c8",2,1.2983500957489,1974,2.46008229255676,1950,"gmm2k",1
"dfap5",1,8.74386405944824,1965,3.13090562820435,1934,"nmxcr",1
"sufx3",1,1.58873510360718,1974,1.22786390781403,1959,"zn6d0",1
"kddx7",1,NA,1972,1.86378741264343,1934,"t1l3s",1
"azn1s",2,3.41595315933228,1975,2.41595315933228,1943,"ln4pq",0
"yp8o5",1,1.05073416233063,1972,3.50249028205872,1940,"duu4w",0
"tdsso",2,2,1972,1.96226012706757,1951,"n1g9n",1
"bia9n",2,1.52509796619415,1967,1.02116692066193,1942,"mp4sq",0
"byibh",1,4.37729740142822,1970,14.8319034576416,1940,"p7zgm",0
"b15cj",1,3.80686211585999,1976,0.682120800018311,1957,"potvy",1
"ld76c",2,10.8255395889282,1970,0.626820027828217,1950,"uzjkz",1
"j12t4",2,4.13653802871704,1984,4.35633277893066,1962,"dokgd",1
"kt7jh",2,3,1976,3,1947,"ydeaw",1
"a5c6j",1,0.911214649677277,1972,1.6965548992157,1952,"kmap8",1
"aqtz9",1,2.53298115730286,1981,0.571999728679657,1960,"qe38k",1
"c0gy8",1,2.49663209915161,1972,4.02780866622925,1938,"xdxql",0
"h1227",2,4,1962,3.55066084861755,1932,"qt07d",0
"do42r",1,1.3616110086441,1980,1.91666662693024,1960,"avuzz",0
"x4o1f",1,20.6674003601074,1978,2.76438856124878,1952,"mw12f",0
"lzuh3",1,2.80449557304382,1969,4.8842134475708,1952,"vngbz",1
"pdmd7",2,2.1519889831543,1976,3.4237687587738,1955,"md2ee",1
"ubwi2",1,0.886824607849121,1967,0.807692289352417,1942,"csgyn",1
"ixdjx",2,2.24926209449768,1966,4,1942,"fn4kg",1
"c5zn2",2,1,1938,3,1935,"h8ckz",1
"bfn6c",1,2.40411710739136,1968,10.9528713226318,NA,"sykp5",0
"rccb3",1,12.4707918167114,1963,3.13090562820435,1934,"nmxcr",1
"e6u9v",1,4.57859134674072,1973,3.10631227493286,1952,"ech3w",1
"hgtp8",1,2.64789175987244,1957,4.34883737564087,1932,"fj8ca",0
"q3yxc",1,11.3374643325806,1975,4.50428295135498,1951,"yjxaw",0
"fvw5x",2,0.572539627552032,1956,3.86060404777527,1930,"aff92",0
"p6rzi",2,5.29482555389404,1974,1.87396240234375,1950,"s94t0",1
"ydlit",2,7.4821982383728,1964,2,1944,"pnw5v",1
"l2vwn",1,3.90270280838013,1963,4.68216228485107,1939,"vf0vj",0
"er1uv",1,1.05866074562073,1968,0.861580908298492,1950,"kfzew",1
"hu10w",2,3,1962,1.48272788524628,1934,"kwd6p",0
"zud7a",2,3.17370510101318,1977,8.57377529144287,1951,"l3khn",0
"bxx6h",2,5.36579990386963,1967,2.16034317016602,1942,"prekt",0
"lts9y",2,3.799471616745,1961,6.00323152542114,1945,"lzqqv",1
"ycphx",2,4.97419738769531,1977,4.32830667495728,1946,"ymr0d",0
"qsrbs",2,2.84387254714966,1954,7.85878658294678,1931,"ybevk",0
"siqks",2,1,1978,2.06348729133606,1950,"dlt24",0
"kav0u",2,8.44537258148193,1976,4.00660800933838,1952,"ajbev",1
"c3ba3",1,5.3017430305481,1956,6.6400203704834,1932,"qxlmf",1
"rjkn3",1,7.58829879760742,1975,1.5,1952,"wwebp",1
"g7m5t",1,16.977029800415,1981,NA,1961,"on33c",1
"uy3qd",2,2.88179659843445,1953,6.6400203704834,1932,"qxlmf",1
"fhuuk",1,2.80396485328674,1964,5,1929,"hu8g7",0
"r0iju",1,2.92864871025085,1977,2.90874767303467,1956,"z43yz",1
"fhowh",2,0.887992441654205,1984,0.232844486832619,1962,"rdrdw",1
"mdnt6",1,6.33245277404785,1970,2.54191708564758,1948,"gly17",1
"trary",2,1,1966,3.64791393280029,1941,"mzld0",1
"c4max",1,4.06843376159668,1972,13.5923824310303,1940,"jr2c1",0
"auulf",2,1.28603434562683,1962,2.52536702156067,1929,"dkju3",0
"ri4bn",1,6,1967,4,1932,"j7b0g",0
"f60cu",1,1,1967,0.190524041652679,1945,"r4d1d",0
"zyy8f",2,2.03140449523926,1978,14.8319034576416,1940,"p7zgm",0
"qebvu",2,0.690891206264496,1944,20.1808242797852,1922,"l6n5d",0
"pkxq5",2,3.3693151473999,1983,4.40969181060791,1946,"em4d5",0
"sqn48",1,8.6184606552124,1971,1.40378391742706,1954,"zqcgj",1
"dcp5h",2,1.98364186286926,1965,3.92157292366028,1944,"j6piw",1
"llj99",2,2.53587985038757,1978,1.18611407279968,1957,"xhy0y",1
"aov85",2,1.82352936267853,1967,20.1291160583496,1941,"zylnb",1
"jn4xb",1,NA,1982,NA,1903,"bo4np",0
"ovrrl",1,50.5799179077148,1972,7,1947,"niv32",1
"hgci5",2,1.49479722976685,1979,0.750315368175507,1950,"qmiim",0
"lm29t",1,1.98626673221588,1974,2.10565638542175,1942,"uuwl7",0
"l73u1",2,2.0150260925293,1967,4.32068634033203,1938,"aorjp",0
"dlrey",2,2.83029842376709,1974,1.87092864513397,1949,"o97ay",1
"dhbfv",2,3.76412844657898,1976,7.75857782363892,1942,"sapc7",0
"x0k29",1,0.67392235994339,1961,2.88862752914429,1923,"ga209",0
"tuz6a",2,4,1969,4,1942,"fn4kg",1
"m7r7b",2,3,1964,3,1939,"kdk19",1
"fxm02",2,0.911214649677277,1981,4.11206436157227,1942,"vrbzp",0
"zl2im",1,3.86262011528015,1962,1.74763774871826,1933,"xddas",0
"j7doz",2,1.34968364238739,1976,1.40674519538879,1962,"s0jp2",1
"svver",1,3.86262011528015,1966,9.04601001739502,1939,"ox6sh",1
"akep3",2,3.44840025901794,1973,10.9528713226318,NA,"sykp5",0
"ub0o6",1,1.22731041908264,1953,1.86378741264343,1934,"t1l3s",1
"ao1ej",1,3.24681782722473,1957,4.12680912017822,1924,"dqak9",0
"zl2im",1,3.86262011528015,1962,9.04601001739502,1939,"ox6sh",1
"tb7yw",1,3.11484217643738,1955,2.85242295265198,1930,"bpad4",1
"elcp1",2,2.58873510360718,1982,3.11831331253052,1952,"bjo1v",0
"og9z9",1,4.83827590942383,1975,3.99101257324219,1954,"f67s6",1
"ydyv1",2,7.84574747085571,1975,1.27095854282379,1952,"xqk1e",1
"b969q",1,1.58873510360718,1967,3,1942,"hu42z",1
"jcj0v",1,9.65775394439697,1967,3,1942,"mbeez",0
"jlwod",2,8.71982288360596,1972,3.64900898933411,1954,"hja4u",1
"ulmgj",1,6.03496170043945,1962,5.88701200485229,1934,"q2qs6",0
"njehd",2,1.17524147033691,1964,5.88701200485229,1934,"q2qs6",0
"nko23",1,4.39125633239746,1964,19.2789211273193,1933,"k5ajy",0
"po6z5",2,0.590710878372192,1968,2.96721911430359,1940,"eu733",0
