"id","male","age","rs","mid","agem","rsm"
"r060g",0,41,NA,"hdupi",NA,NA
"iv6f6",1,48,NA,"hdo73",75,NA
"bfjqz",1,52,NA,"bscsy",NA,NA
"thdbb",0,17,0,"kj9e6",46,8
"ntllm",1,17,NA,"s6923",NA,NA
"qafxw",0,46,1,"gyuuo",65,4
"js0w0",0,24,2,"kj9e6",46,8
"zvnq2",1,31,1,"abdrh",49,5
"puxxq",0,42,0,"xujth",NA,5
"xajtk",1,72,NA,"o457c",NA,NA
"bcj7r",1,48,2,"f0fim",70,4
"nbtkf",0,15,NA,"x0o13",40,NA
"i6ivm",1,68,NA,"zo032",NA,NA
"fmk4x",0,45,7,"xc88g",70,5
"w4gkm",1,40,NA,"ddcul",NA,NA
"pj40m",0,35,0,"lzqz9",62,4
"sei1m",1,48,7,"pzryt",69,4
"tdonr",0,68,2,"x0n0c",90,3
"h0x69",0,29,NA,"nxclj",57,NA
"yrayx",1,36,4,"y1bvc",57,9
"hecfv",0,15,NA,"s6923",NA,NA
"d3v37",0,27,2,"epx6t",48,2
"kqo2p",1,57,1,"hdo73",75,9
"beyjl",0,19,1,"n7t17",38,2
"n57nx",0,34,NA,"hemnr",67,NA
"l754z",1,60,2,"twn5d",91,8
"khgi3",1,75,NA,"pc742",NA,NA
"eusgx",1,56,NA,"dut80",NA,NA
"pbbm1",0,67,5,"dpgbp",87,4
"c30dt",1,41,2,"nxclj",57,10
"kn0d3",0,22,3,"e2c56",45,5
"uwx7u",1,41,NA,"uhdju",65,NA
"g1h7v",0,22,3,"g6s1t",40,5
"pwq8y",0,33,5,"tbzn8",55,5
"m1fss",0,48,11,"vda58",64,3
"uuz8e",1,66,NA,"g1dc4",NA,NA
"s1ds6",1,49,NA,"a9upj",NA,NA
"zl840",0,42,NA,"jg3iv",NA,NA
"p2c8u",0,20,NA,"lfsaf",48,NA
"wuqet",0,71,4,"xoyn7",91,6
"uay9q",1,48,NA,"jf0vb",NA,NA
"gv8cc",0,27,3,"ohmy9",56,6
"j6pb6",0,33,4,"abdrh",49,5
"pgd8h",0,69,5,"z755l",87,1
"x8qj1",0,19,2,"zajqp",46,4
"oy8dl",1,40,NA,"nxclj",57,NA
"epxfo",1,34,0,"xujth",NA,5
"x1w3k",1,42,7,"gq07d",68,2
"kyejp",1,81,NA,"jtqqp",NA,NA
"lb7dk",0,48,3,"dvzsn",67,1
"y5lx9",1,39,0,"y2i29",71,3
"qbv9c",0,15,NA,"zajqp",46,4
"qvo9s",1,56,17,"mymfo",84,3
"bwlsv",1,23,0,"jhn9g",46,6
"yw7b3",1,44,5,"ffjr7",67,4
"fid1u",0,48,1,"cd0qo",NA,NA
"wd9vs",0,34,5,"a1uf7",65,4
"cd4sh",0,40,8,"ll8ha",64,7
"bkrmp",1,32,4,"jbvd2",60,4
"clpkg",1,41,NA,"zktoy",60,NA
"u7lm9",1,66,NA,"hrogl",NA,NA
"l1btq",0,40,NA,"hemnr",67,NA
"np5c4",0,16,NA,"x0o13",34,NA
"u1243",0,41,NA,"hsaes",NA,NA
"ih0t6",0,33,5,"diftp",49,9
"xix6u",0,53,4,"jps71",70,6
"ka7nz",0,19,2,"lmmy3",48,4
"vqstw",0,26,NA,"e2c56",45,5
"h4jto",1,59,5,"dpgbp",87,4
"qb6pg",1,32,NA,"vg9ge",NA,NA
"cxwsq",0,58,3,"lxied",79,2
"fl7xs",0,27,1,"xc77p",43,4
"cvj0b",0,70,2,"xrp7k",89,3
"v441c",0,47,NA,"hdupi",NA,NA
"a0rlq",0,29,NA,"utyw9",48,NA
"klshb",0,19,NA,"o0rp6",NA,7
"zm19i",0,48,3,"jps71",70,6
"mnbn6",1,44,7,"qplyo",70,2
"b0q37",1,20,NA,"nk67i",NA,NA
"ihoyp",1,36,1,"uimuc",69,5
"n0cqp",0,38,0,"juajc",NA,NA
"d2oqt",0,20,NA,"am1zk",NA,NA
"oigfe",0,43,3,"uimuc",69,5
"cwvb1",0,58,0,"a98kl",82,2
