"id","male","age","rs","idf","agef","rsf","code","idm","agem","rsm"
"z903e",0,40,2,NA,NA,NA,"md","qvlxh",71,4
"v1mc6",0,17,0,NA,NA,NA,"md","ksc75",40,2
"d79gf",0,30,1,NA,NA,NA,"md","i33wm",55,1
"ebrr7",0,25,3,NA,NA,NA,"md","c6fjq",42,3
"tch41",1,21,0,NA,NA,NA,"ms","mnjif",68,4
"ry42p",1,34,1,NA,NA,NA,"ms","qdgdq",62,6
"dc5ws",0,23,0,NA,NA,NA,"md","gsvse",43,2
"ua52n",1,40,0,NA,NA,NA,"ms","dfbht",72,5
"slh96",0,36,2,NA,NA,NA,"md","rot7v",80,8
"vndpg",0,23,0,"x522z",48,1,"fd",NA,NA,NA
"omba2",0,31,2,"qjb94",54,3,"fd",NA,NA,NA
"v1j3e",0,31,1,"la9qm",69,3,"fd",NA,NA,NA
"mt4bo",0,45,2,"wgvv3",67,5,"fd",NA,NA,NA
"xx8gc",1,24,0,NA,NA,NA,"ms","akeaq",53,4
"wocb8",1,23,0,"p5wb3",47,2,"fs",NA,NA,NA
"mjgfg",0,24,0,NA,NA,NA,"md","g2l8o",46,3
"t7uii",1,28,1,NA,NA,NA,"ms","ywuew",74,8
"mt4bo",0,45,2,NA,NA,NA,"md","iw9hx",63,5
"sx0c5",0,46,1,NA,NA,NA,"md","ogong",83,5
"om0z3",1,25,1,NA,NA,NA,"ms","vxw91",51,3
"x6mzd",1,22,0,NA,NA,NA,"ms","qy117",43,2
"qh4a4",1,38,1,NA,NA,NA,"ms","g22jt",67,4
"w4gbs",0,29,1,"ge189",62,4,"fd",NA,NA,NA
"swvf9",0,42,2,NA,NA,NA,"md","s4rmj",71,9
"nddc8",0,24,1,"w1s8d",54,3,"fd",NA,NA,NA
"bgjuh",1,28,1,"l6fkg",53,3,"fs",NA,NA,NA
"u5eli",0,45,2,NA,NA,NA,"md","dfbht",72,5
"t7xo9",1,40,0,NA,NA,NA,"ms","en9wq",79,5
"nazyp",0,36,2,NA,NA,NA,"md","k17i5",64,5
"jo354",1,46,2,NA,NA,NA,"ms","cxrym",66,5
"lvg3t",0,40,2,"v8caa",78,5,"fd",NA,NA,NA
"psw0o",0,18,0,NA,NA,NA,"md","cib0a",39,2
"y2f56",1,21,0,"e8v46",38,3,"fs",NA,NA,NA
"lzql2",1,39,3,NA,NA,NA,"ms","ykeq7",66,8
"lzt50",1,21,0,"lpzu0",51,2,"fs",NA,NA,NA
"lk1e6",1,45,2,"jiwri",71,7,"fs",NA,NA,NA
"isf5w",0,30,1,NA,NA,NA,"md","otb71",56,3
"xtsf7",0,27,2,NA,NA,NA,"md","s7ymr",56,3
"oj233",1,23,0,NA,NA,NA,"ms","hzzzo",52,2
"z4nek",0,18,0,"cdd1i",41,2,"fd",NA,NA,NA
"jqq3w",1,52,2,NA,NA,NA,"ms","khfui",72,6
"rb0xp",1,19,0,NA,NA,NA,"ms","hdtkx",39,3
"nl5g2",0,25,0,"ekgy1",49,3,"fd",NA,NA,NA
"w2hpr",1,39,2,NA,NA,NA,"ms","v8pe4",60,2
"iq228",1,27,0,NA,NA,NA,"ms","l7pq2",51,2
"y0yo3",0,24,0,NA,NA,NA,"md","su6r7",58,4
"fayaf",1,42,3,"wgvv3",67,5,"fs",NA,NA,NA
"ilhmk",1,51,2,NA,NA,NA,"ms","z47qi",79,6
"gjd1n",0,31,0,NA,NA,NA,"md","v4r1l",73,4
"bzzrh",1,22,0,"z85yr",49,3,"fs",NA,NA,NA
"da7vt",1,22,0,NA,NA,NA,"ms","mi7so",43,3
"a99pm",0,38,3,NA,NA,NA,"md","z8365",59,6
"i6jct",1,28,0,"okvvh",59,5,"fs",NA,NA,NA
"oe8cu",1,22,0,NA,NA,NA,"ms","fxnri",44,2
"bpwfv",1,44,2,NA,NA,NA,"ms","l0zjx",70,5
"qqsh7",1,34,2,"x7owx",50,3,"fs",NA,NA,NA
"owxek",0,21,0,"xvwvx",46,2,"fd",NA,NA,NA
"gw8ow",0,31,1,"rddfg",62,3,"fd",NA,NA,NA
"ueir6",0,37,2,NA,NA,NA,"md","murwa",64,4
"t7rx7",1,18,0,NA,NA,NA,"ms","njg5a",38,2
"gg2o1",1,46,2,NA,NA,NA,"ms","rot7v",80,8
"y84y3",1,17,0,"u8vb1",44,2,"fs",NA,NA,NA
"os5vs",1,51,2,NA,NA,NA,"ms","hsjh7",72,3
"dwfih",0,17,0,"i3j9o",43,2,"fd",NA,NA,NA
"mo8uc",1,39,1,NA,NA,NA,"ms","z52e2",65,8
"o0xgu",1,30,0,"krmkr",56,4,"fs",NA,NA,NA
"xc82h",0,28,1,"f5hyq",59,3,"fd",NA,NA,NA
"twp85",0,36,1,NA,NA,NA,"md","z52e2",65,8
"uybfe",1,42,2,"xettd",68,2,"fs",NA,NA,NA
"ivct5",0,17,0,"laejc",41,3,"fd",NA,NA,NA
"g2umi",0,42,2,NA,NA,NA,"md","jgm50",74,5
"er1q5",1,35,0,"k5hwb",60,3,"fs",NA,NA,NA
"exu1l",1,36,1,NA,NA,NA,"ms","blu2i",57,5
"jiiou",1,30,1,NA,NA,NA,"ms","y8mxf",65,4
"x522z",1,48,1,NA,NA,NA,"ms","v5x3d",82,5
"m63nm",0,29,1,NA,NA,NA,"md","iu8yu",63,7
"if79q",0,32,2,NA,NA,NA,"md","gescz",51,4
"zrrez",0,18,0,NA,NA,NA,"md","ulr8y",37,3
"sufht",0,37,3,"iyud6",65,3,"fd",NA,NA,NA
"blzj0",0,23,0,NA,NA,NA,"md","u2lrn",44,2
"zrc7l",0,25,0,"mau3w",46,3,"fd",NA,NA,NA
"w2hpr",1,39,2,"yghtg",70,2,"fs",NA,NA,NA
"gcivh",0,46,3,NA,NA,NA,"md","b54ff",68,5
"l1bbv",0,26,0,NA,NA,NA,"md","p28b4",67,4
"koc4x",0,37,2,NA,NA,NA,"md","i3s7n",55,4
"qbh2p",1,20,0,"gauu6",42,2,"fs",NA,NA,NA
"hv5vy",0,20,0,"mruwu",56,4,"fd",NA,NA,NA
"a06fe",1,35,2,NA,NA,NA,"ms","g22jt",67,4
"lyt1t",1,28,0,"lqjbw",55,6,"fs",NA,NA,NA
"vdest",1,39,3,NA,NA,NA,"ms","khfui",72,6
"hcmb4",0,38,1,NA,NA,NA,"md","sbt9w",75,7
"arxml",1,32,1,NA,NA,NA,"ms","mnjif",68,4
"jusb3",1,50,0,"y5svp",69,3,"fs",NA,NA,NA
"ty66s",0,34,2,"kld17",58,3,"fd",NA,NA,NA
"nl5g2",0,25,0,NA,NA,NA,"md","i4yk2",50,3
"ivjgf",0,53,3,NA,NA,NA,"md","sbt9w",75,7
"efc2r",0,32,2,NA,NA,NA,"md","layzg",58,3
"lga4o",0,30,2,NA,NA,NA,"md","t6hx7",51,3
"j5oq0",0,35,1,NA,NA,NA,"md","spy9y",67,3
"w0cvh",0,45,3,NA,NA,NA,"md","zk0kc",68,6
"i3tmb",1,31,0,NA,NA,NA,"ms","rot7v",80,8
"ewy1e",0,19,0,"a79fw",39,2,"fd",NA,NA,NA
"hrer0",0,29,3,"i4e4o",49,3,"fd",NA,NA,NA
"lczml",0,26,0,"m5dru",51,1,"fd",NA,NA,NA
"t1e61",1,30,0,NA,NA,NA,"ms","murwa",64,4
"qwehq",1,27,0,NA,NA,NA,"ms","r40p7",63,7
"ndzb9",1,43,1,NA,NA,NA,"ms","n53vg",64,7
