"id","male","age","rs","idf","agef","rsf","code","idm","agem","rsm"
"m4eay",0,37,1,NA,NA,NA,"md","ykeq7",66,8
"h5ixz",0,26,1,NA,NA,NA,"md","iu8yu",63,7
"o5o6o",0,21,1,"d2m52",54,3,"fd",NA,NA,NA
"i7m46",1,25,0,NA,NA,NA,"ms","ubbbo",50,3
"xsswl",0,25,1,NA,NA,NA,"md","vdh66",48,3
"spwxb",1,38,2,NA,NA,NA,"ms","xet7k",69,6
"jigdv",0,27,2,NA,NA,NA,"md","ilek2",49,2
"ez81e",1,38,2,NA,NA,NA,"ms","yfaon",70,7
"pr3wy",1,25,0,"uxrbt",43,3,"fs",NA,NA,NA
"s4phu",0,17,0,NA,NA,NA,"md","vs0la",43,2
"b0tyk",1,32,1,NA,NA,NA,"ms","i3s7n",55,4
"b5j6y",1,24,0,NA,NA,NA,"ms","kzrg5",46,4
"jigdv",0,27,2,"l1qn0",55,2,"fd",NA,NA,NA
"ufb40",1,43,2,NA,NA,NA,"ms","q6n3v",61,7
"i6jct",1,28,0,NA,NA,NA,"ms","bejs5",57,5
"zu5iz",1,18,0,NA,NA,NA,"ms","c8y3s",41,3
"oe8cu",1,22,0,"gauu6",42,2,"fs",NA,NA,NA
"rt4pk",1,34,1,"lqjbw",55,6,"fs",NA,NA,NA
"sy7ib",0,34,0,NA,NA,NA,"md","yfaon",70,7
"gmme2",0,27,0,NA,NA,NA,"md","dfbht",72,5
"twidb",1,21,0,NA,NA,NA,"ms","b0sze",44,2
