"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp"
"x6wdi",1,70.9599990844727,5,NA,NA,NA,NA,NA,NA,NA
"rsr6e",0,70.2200012207031,5,NA,NA,NA,NA,NA,NA,NA
"f9icz",1,50.7700004577637,5,NA,NA,NA,NA,NA,NA,NA
"ouj0k",1,83.9899978637695,6,NA,NA,NA,NA,NA,NA,NA
"gq9bn",0,61.2400016784668,4,NA,NA,NA,NA,NA,NA,NA
"jjbt7",1,66.6399993896484,5,NA,NA,NA,NA,NA,NA,NA
"svh80",0,31.1900005340576,6,NA,NA,NA,NA,NA,NA,NA
"oog2i",0,56.0699996948242,4,NA,NA,NA,NA,NA,NA,NA
"iajz7",1,41.0099983215332,2,"uebx0",65.9599990844727,NA,"yvynq",87.75,81.9199981689453,1
"zn621",1,53.1500015258789,5,NA,NA,NA,NA,NA,NA,NA
"svfr8",1,66.2099990844727,4,NA,NA,NA,NA,NA,NA,NA
"j1ytb",0,55.6100006103516,7,NA,NA,NA,NA,NA,NA,NA
"hmuaa",0,36.9900016784668,3,NA,NA,NA,NA,NA,NA,NA
"l1hki",1,65.2099990844727,3,NA,NA,NA,NA,NA,NA,NA
"oggi0",0,64.120002746582,7,NA,NA,NA,NA,NA,NA,NA
"sdjii",0,68.1999969482422,1,NA,NA,NA,NA,NA,NA,NA
"nuu5x",1,44.6500015258789,5,NA,NA,NA,NA,NA,NA,NA
"r336p",1,64.9199981689453,4,NA,NA,NA,NA,NA,NA,NA
"ux1q4",0,74.879997253418,6,NA,NA,NA,NA,NA,NA,NA
"zgpiq",0,69.7600021362305,4,NA,NA,NA,NA,NA,NA,NA
"q9vf1",1,52.7000007629395,5,NA,NA,NA,NA,NA,NA,NA
"wsce6",1,31.7199993133545,4,"ghazc",63.7999992370605,NA,"hz8de",66.9000015258789,60,4
