"male","age","ed","agem","edm","agef","edf"
1,19,0,47,0,NA,NA
2,4,0,34,0,NA,NA
2,2,0,22,3,40,10
1,10,1,40,3,NA,NA
2,44,0,NA,NA,NA,NA
2,4,NA,28,0,NA,NA
2,28,14,NA,NA,NA,NA
2,19,3,NA,NA,NA,NA
2,49,0,NA,NA,NA,NA
1,22,7,43,4,NA,NA
1,29,7,NA,NA,NA,NA
2,0,0,45,2,NA,NA
2,23,0,NA,NA,NA,NA
2,16,8,57,2,60,0
1,28,8,NA,NA,NA,NA
1,7,2,30,7,30,7
2,23,2,58,0,NA,NA
2,27,0,NA,NA,NA,NA
1,32,8,62,0,NA,NA
2,3,0,25,0,NA,NA
2,8,1,43,4,50,5
2,3,0,30,6,30,6
1,57,8,NA,NA,NA,NA
1,9,0,41,0,45,7
2,31,0,NA,NA,NA,NA
2,0,0,21,8,27,6
2,15,3,55,0,NA,NA
2,37,0,NA,NA,NA,NA
2,52,2,NA,NA,NA,NA
1,8,0,49,0,NA,NA
2,60,0,NA,NA,NA,NA
2,4,0,27,6,33,10
2,19,4,NA,NA,NA,NA
2,33,0,NA,NA,NA,NA
1,4,0,51,0,58,12
2,17,7,32,0,NA,NA
2,7,2,47,4,50,8
1,51,0,NA,NA,NA,NA
2,48,2,NA,NA,NA,NA
1,23,8,51,0,NA,NA
1,0,0,22,8,25,3
2,20,3,NA,NA,NA,NA
2,44,0,NA,NA,NA,NA
1,40,4,NA,NA,NA,NA
1,28,7,NA,NA,NA,NA
2,42,0,NA,NA,NA,NA
1,15,NA,NA,NA,NA,NA
2,11,0,34,3,38,6
1,8,0,24,0,28,8
1,2,0,37,0,NA,NA
2,11,0,37,0,NA,NA
2,3,0,23,0,33,5
2,5,0,29,0,31,6
2,9,1,25,3,32,3
2,23,0,NA,NA,NA,NA
1,24,8,NA,NA,NA,NA
1,17,0,63,0,NA,NA
2,7,1,33,0,39,8
1,18,6,39,0,45,8
1,42,5,NA,NA,NA,NA
2,23,5,NA,NA,NA,NA
2,29,5,NA,NA,NA,NA
2,8,0,35,0,NA,NA
1,13,2,52,0,NA,NA
2,17,5,37,0,NA,NA
2,18,10,NA,NA,NA,NA
2,50,3,NA,NA,NA,NA
2,16,2,39,0,NA,NA
1,16,3,33,3,NA,NA
1,27,8,60,6,68,3
2,8,2,35,2,40,3
2,4,0,27,0,30,7
1,21,4,48,0,NA,NA
2,22,6,44,0,NA,NA
1,12,0,37,0,41,0
2,29,0,59,0,NA,NA
1,5,0,32,0,NA,NA
2,7,0,29,0,35,8
1,19,NA,NA,NA,NA,NA
2,55,0,NA,NA,NA,NA
1,2,0,20,6,NA,NA
1,75,6,NA,NA,NA,NA
2,51,4,NA,NA,NA,NA
1,3,0,21,0,22,4
1,1,0,23,3,27,7
1,27,12,NA,NA,NA,NA
1,5,0,33,0,NA,NA
1,15,6,59,0,NA,NA
2,0,0,30,4,NA,NA
2,21,0,36,0,NA,NA
1,4,0,45,0,NA,NA
2,20,4,39,0,41,4
1,83,5,NA,NA,NA,NA
2,13,3,30,2,39,7
2,0,0,27,6,NA,NA
2,5,0,27,4,29,8
2,39,0,NA,NA,NA,NA
2,-2,0,NA,NA,NA,NA
2,19,4,NA,NA,NA,NA
1,15,2,37,0,43,0
1,18,8,41,0,NA,NA
2,1,0,23,4,27,8
2,17,4,38,0,43,5
1,7,0,27,8,47,8
1,30,6,NA,NA,NA,NA
1,19,5,42,4,47,7
2,19,5,46,7,50,0
2,11,2,48,0,67,5
1,20,5,39,0,42,2
2,16,3,34,0,NA,NA
2,1,0,39,0,43,0
1,23,4,49,0,NA,NA
2,0,0,19,0,20,7
1,13,3,48,2,65,4
2,22,0,NA,NA,NA,NA
2,3,NA,24,0,29,4
1,13,0,47,0,NA,NA
2,8,1,36,0,NA,NA
1,7,1,31,4,52,8
2,11,5,45,3,48,3
2,0,0,23,0,33,7
1,27,0,NA,NA,NA,NA
2,19,8,48,5,56,3
2,4,0,33,5,39,8
1,3,0,25,0,32,0
1,22,3,47,0,NA,NA
2,21,0,NA,NA,NA,NA
1,3,0,27,1,NA,NA
2,5,0,22,5,32,0
2,5,0,31,7,NA,NA
1,8,1,29,0,32,8
1,11,3,36,0,50,5
1,13,2,57,0,59,0
2,11,5,27,4,NA,NA
2,40,6,NA,NA,NA,NA
2,25,3,53,2,62,0
1,63,5,NA,NA,NA,NA
2,25,0,37,0,NA,NA
2,1,0,30,10,NA,NA
2,49,4,NA,NA,NA,NA
1,36,6,NA,NA,NA,NA
1,27,6,NA,NA,NA,NA
1,38,2,NA,NA,NA,NA
2,1,0,24,0,27,NA
1,10,3,50,0,47,8
1,4,0,20,5,NA,NA
2,21,5,NA,NA,NA,NA
2,43,4,NA,NA,NA,NA
1,42,0,NA,NA,NA,NA
1,5,0,24,0,27,NA
2,35,5,NA,NA,NA,NA
2,10,1,48,5,56,3
2,17,0,36,0,NA,NA
1,9,1,31,0,NA,NA
2,37,8,60,0,NA,NA
1,11,2,32,0,NA,NA
1,21,8,47,0,NA,NA
1,26,13,NA,NA,NA,NA
2,7,0,25,0,30,7
1,2,0,21,4,26,5
2,59,0,NA,NA,NA,NA
2,10,1,43,0,48,NA
1,5,1,32,2,48,4
2,0,0,22,5,25,6
1,32,12,57,3,65,1
1,40,7,NA,NA,NA,NA
1,50,0,NA,NA,NA,NA
2,58,0,NA,NA,NA,NA
1,52,4,NA,NA,NA,NA
1,17,0,65,0,NA,NA
2,4,0,18,4,23,0
1,17,0,47,0,NA,NA
1,33,12,NA,NA,NA,NA
2,1,0,28,0,32,6
1,25,0,NA,NA,NA,NA
1,1,0,33,0,33,0
2,8,0,23,3,32,8
1,21,4,NA,NA,NA,NA
2,5,0,23,7,27,6
2,49,5,NA,NA,NA,NA
2,11,3,30,6,33,8
2,32,0,NA,NA,NA,NA
1,0,0,23,0,29,8
1,57,5,NA,NA,NA,NA
1,16,0,46,0,51,0
1,55,0,NA,NA,NA,NA
1,30,14,NA,NA,NA,NA
1,14,5,35,3,43,6
2,4,0,29,2,33,7
1,33,8,NA,NA,NA,NA
1,0,0,25,4,27,10
2,22,8,41,0,43,0
2,23,5,NA,NA,NA,NA
1,5,0,32,7,NA,NA
2,20,0,NA,NA,NA,NA
2,4,0,27,8,29,10
2,23,5,NA,NA,NA,NA
2,1,0,20,4,22,8
1,15,6,45,3,48,3
1,17,NA,55,4,57,5
2,5,0,31,5,36,8
1,27,0,46,2,52,0
2,12,NA,NA,NA,NA,NA
1,24,0,NA,NA,NA,NA
1,6,1,27,8,29,10
2,57,1,NA,NA,NA,NA
1,48,7,NA,NA,NA,NA
1,36,3,NA,NA,NA,NA
1,15,12,34,0,35,0
1,16,5,43,2,49,8
1,61,0,NA,NA,NA,NA
2,13,2,41,0,33,8
1,11,NA,33,0,38,0
2,17,7,36,3,NA,NA
2,1,0,28,0,32,7
2,57,1,NA,NA,NA,NA
2,22,7,NA,NA,NA,NA
2,1,0,32,7,37,0
1,17,5,59,0,NA,NA
1,1,0,23,0,29,6
2,13,4,32,0,NA,NA
1,27,8,52,0,55,0
2,35,4,NA,NA,NA,NA
1,6,1,40,5,43,8
2,64,0,NA,NA,NA,NA
2,29,0,NA,NA,NA,NA
2,1,0,-2,7,NA,NA
1,7,NA,NA,NA,NA,NA
2,26,0,NA,NA,NA,NA
1,10,2,32,2,48,4
1,11,4,31,0,NA,NA
1,41,8,NA,NA,NA,NA
2,49,6,76,0,83,5
1,3,0,23,0,26,0
2,35,2,NA,NA,NA,NA
1,29,3,NA,NA,NA,NA
1,7,2,35,5,NA,NA
2,2,0,29,0,33,8
2,35,8,NA,NA,NA,NA
1,7,0,45,1,48,4
2,27,0,NA,NA,NA,NA
1,37,6,NA,NA,NA,NA
2,55,0,NA,NA,NA,NA
2,31,0,NA,NA,NA,NA
1,37,0,NA,NA,NA,NA
2,17,0,35,0,NA,NA
1,20,0,43,0,48,NA
2,31,3,NA,NA,NA,NA
1,10,2,28,0,NA,NA
2,27,2,NA,NA,NA,NA
2,41,0,NA,NA,NA,NA
1,41,0,NA,NA,NA,NA
2,6,2,36,3,NA,NA
1,17,11,37,13,42,10
1,39,3,NA,NA,NA,NA
2,19,5,53,3,57,5
1,67,8,NA,NA,NA,NA
2,13,0,46,4,53,6
1,24,12,45,0,52,4
1,19,7,35,0,NA,NA
2,20,0,45,0,55,0
2,39,3,NA,NA,NA,NA
2,27,8,NA,NA,NA,NA
2,3,0,26,3,30,2
1,21,NA,63,0,NA,NA
1,26,6,NA,NA,NA,NA
1,18,8,45,5,NA,NA
1,21,3,NA,NA,NA,NA
1,25,0,NA,NA,NA,NA
2,9,4,33,8,35,12
1,61,8,NA,NA,NA,NA
2,30,0,NA,NA,NA,NA
1,18,0,54,0,61,0
1,2,0,30,0,34,8
1,3,0,21,5,NA,NA
2,0,0,22,0,NA,NA
2,34,8,NA,NA,NA,NA
2,3,0,25,4,29,8
2,31,0,NA,NA,NA,NA
2,16,0,-2,0,NA,NA
1,35,10,NA,NA,NA,NA
2,14,0,36,0,NA,NA
2,19,2,NA,NA,NA,NA
2,4,NA,NA,NA,NA,NA
1,10,2,31,0,NA,NA
2,3,0,32,6,NA,NA
2,20,4,NA,NA,NA,NA
1,16,0,42,0,NA,NA
1,57,0,NA,NA,NA,NA
2,3,0,22,3,40,10
1,7,2,27,0,30,8
1,1,0,39,0,NA,NA
1,17,4,45,2,NA,NA
2,6,NA,24,0,26,4
2,19,0,NA,NA,NA,NA
2,12,4,35,6,39,8
2,14,7,30,6,NA,NA
2,1,0,25,6,30,12
1,35,0,NA,NA,NA,NA
2,10,4,35,0,37,0
1,61,2,NA,NA,NA,NA
2,1,0,26,4,NA,NA
2,29,2,50,0,NA,NA
2,10,1,32,0,37,7
1,22,6,46,0,51,0
2,17,8,51,7,57,8
2,6,0,44,0,NA,NA
2,1,NA,39,0,41,4
2,25,8,NA,NA,NA,NA
2,11,1,41,0,NA,NA
1,25,NA,NA,NA,NA,NA
1,62,0,NA,NA,NA,NA
2,13,3,46,0,52,6
1,0,0,23,2,29,8
2,0,0,16,3,25,8
2,10,4,34,8,NA,NA
2,29,4,NA,NA,NA,NA
1,15,5,30,0,37,0
1,14,5,32,5,37,5
1,5,0,34,0,37,6
1,30,8,NA,NA,NA,NA
1,78,4,NA,NA,NA,NA
2,25,5,68,0,70,0
2,59,0,NA,NA,NA,NA
2,3,0,36,5,NA,NA
2,12,2,37,0,40,5
2,18,7,40,3,NA,NA
1,2,0,25,5,29,8
2,10,2,34,0,40,5
2,1,0,42,0,47,0
2,15,0,48,6,NA,NA
2,32,2,NA,NA,NA,NA
2,22,2,NA,NA,NA,NA
1,13,2,34,0,41,0
1,25,12,NA,NA,NA,NA
2,11,1,29,0,31,6
1,6,1,32,7,35,6
2,66,0,NA,NA,NA,NA
2,25,5,NA,NA,NA,NA
1,34,6,NA,NA,NA,NA
1,6,0,30,4,NA,NA
1,35,4,NA,NA,NA,NA
1,25,7,NA,NA,NA,NA
2,39,0,NA,NA,NA,NA
2,3,0,37,0,40,5
1,7,0,36,0,NA,NA
2,63,0,NA,NA,NA,NA
1,7,0,36,0,42,5
2,5,0,31,0,41,8
2,69,0,NA,NA,NA,NA
2,3,0,36,0,NA,12
2,14,3,37,1,41,0
1,37,8,NA,NA,NA,NA
2,16,8,38,2,62,13
2,12,3,46,0,51,0
1,19,2,45,0,47,5
2,14,2,38,5,NA,NA
1,16,6,40,0,NA,NA
2,58,3,NA,NA,NA,NA
1,25,14,NA,NA,NA,NA
1,23,0,NA,NA,NA,NA
2,1,0,26,4,33,8
1,31,8,NA,NA,NA,NA
2,10,0,45,0,48,0
1,3,0,27,6,NA,NA
1,11,2,40,6,49,3
2,26,0,NA,NA,NA,NA
1,20,10,47,0,48,7
1,15,3,39,0,42,2
1,22,5,67,0,78,0
2,3,NA,NA,NA,NA,NA
1,9,0,46,4,53,6
2,5,1,31,0,32,0
1,5,0,32,5,NA,NA
1,7,1,44,5,50,7
1,71,0,NA,NA,NA,NA
2,24,0,NA,NA,NA,NA
2,5,0,21,0,22,4
1,27,3,NA,NA,NA,NA
2,5,0,32,0,39,0
2,27,0,NA,NA,NA,NA
2,40,5,NA,NA,NA,NA
2,21,0,NA,NA,NA,NA
2,65,0,NA,NA,NA,NA
2,13,3,30,4,33,7
2,3,0,21,0,26,0
2,25,0,NA,NA,NA,NA
2,20,10,45,0,52,4
2,36,0,NA,NA,NA,NA
2,55,2,NA,NA,NA,NA
1,7,1,29,8,48,12
2,15,1,34,1,43,1
1,9,3,28,0,32,6
1,5,NA,21,12,NA,NA
1,26,9,47,0,49,0
1,19,8,34,3,38,6
2,17,0,45,0,NA,NA
1,16,0,63,0,67,0
2,2,0,27,0,30,7
1,33,7,55,0,62,5
1,5,0,31,6,41,6
2,6,0,33,0,36,6
2,61,0,NA,NA,NA,NA
2,24,12,NA,NA,NA,NA
2,22,5,NA,NA,NA,NA
2,1,0,33,7,37,8
1,25,3,NA,NA,NA,NA
1,14,1,45,1,NA,NA
1,37,6,NA,NA,NA,NA
1,27,8,NA,NA,NA,NA
1,44,0,NA,NA,NA,NA
1,29,12,NA,NA,NA,NA
1,20,3,NA,NA,NA,NA
2,24,3,NA,NA,NA,NA
1,21,3,63,4,88,0
2,17,0,32,0,NA,NA
1,37,8,NA,NA,NA,NA
2,4,0,34,3,37,8
2,2,0,18,3,22,5
2,7,0,23,0,29,8
1,5,1,19,4,29,12
1,11,2,38,0,NA,NA
1,15,6,40,0,61,8
1,49,8,NA,NA,NA,NA
2,27,1,54,4,NA,NA
1,8,3,32,7,NA,NA
1,39,0,NA,NA,NA,NA
1,0,0,44,0,48,0
2,13,1,36,0,40,8
2,1,0,26,2,29,0
2,10,5,47,0,NA,NA
1,10,NA,NA,NA,NA,NA
2,1,0,27,0,32,6
2,3,0,42,0,47,0
2,13,0,38,0,NA,NA
1,23,10,50,3,NA,NA
2,10,1,40,0,NA,NA
1,3,1,37,0,NA,NA
2,7,1,31,5,36,8
2,6,1,33,2,39,7
1,8,3,27,0,NA,NA
1,30,12,NA,NA,NA,NA
1,13,NA,NA,NA,NA,NA
2,1,0,23,5,27,0
1,0,0,17,0,37,3
1,12,1,33,0,36,6
2,1,0,30,2,37,8
2,47,2,64,0,NA,0
1,47,10,NA,NA,NA,NA
2,4,0,28,0,NA,NA
1,43,5,NA,NA,NA,NA
2,17,NA,NA,NA,NA,NA
1,44,8,NA,NA,NA,NA
2,32,0,NA,NA,NA,NA
1,15,5,37,8,39,2
2,25,2,NA,NA,NA,NA
1,5,0,29,8,29,8
2,-2,0,NA,NA,NA,NA
2,36,0,33,0,NA,NA
2,60,0,NA,NA,NA,NA
2,19,4,55,2,55,4
2,16,5,41,0,NA,NA
2,49,0,NA,NA,NA,NA
2,5,0,22,7,27,8
1,28,5,NA,NA,NA,NA
2,12,2,37,0,NA,NA
2,27,0,53,0,NA,NA
2,17,6,47,3,NA,NA
2,2,0,36,5,38,2
2,12,3,45,0,52,4
1,39,9,61,0,NA,NA
2,2,NA,NA,NA,NA,NA
1,13,0,35,0,NA,NA
1,2,0,35,0,NA,NA
1,8,0,37,0,44,0
2,15,4,32,7,35,6
1,13,1,37,0,NA,NA
2,23,5,NA,NA,NA,NA
2,7,1,23,0,34,0
1,7,0,26,4,33,8
2,19,11,39,5,NA,NA
2,8,1,24,0,NA,NA
2,14,0,46,2,52,0
1,42,2,NA,NA,NA,NA
1,70,0,NA,NA,NA,NA
1,20,8,43,4,NA,NA
2,2,NA,36,5,40,3
1,39,6,NA,NA,NA,NA
1,3,NA,21,12,NA,NA
1,11,2,39,0,NA,NA
2,24,8,NA,NA,NA,NA
1,18,7,43,2,49,8
2,1,0,31,5,37,6
2,5,0,31,8,NA,NA
2,1,0,24,9,27,0
2,53,3,NA,NA,NA,NA
1,4,0,22,0,NA,NA
1,2,0,24,7,23,5
2,19,0,36,0,NA,NA
2,21,4,NA,NA,NA,NA
2,54,4,NA,NA,NA,NA
2,0,0,25,0,36,7
1,7,1,45,2,NA,NA
1,25,0,65,0,NA,NA
2,49,0,68,0,NA,NA
2,2,0,22,5,27,0
2,16,2,44,7,46,11
2,6,0,34,0,37,5
1,59,0,NA,NA,NA,NA
1,34,6,53,0,NA,NA
2,25,6,NA,NA,NA,NA
1,27,0,40,0,NA,NA
2,22,2,NA,NA,NA,NA
2,3,0,22,5,25,6
2,13,4,75,3,NA,NA
1,31,5,51,0,NA,NA
1,25,6,NA,NA,NA,NA
1,18,NA,NA,NA,NA,NA
2,18,10,NA,NA,NA,NA
1,50,7,NA,NA,NA,NA
1,49,2,NA,NA,NA,NA
2,58,0,NA,NA,NA,NA
2,2,0,22,8,27,8
2,4,0,42,0,NA,NA
2,13,NA,NA,NA,NA,NA
1,28,0,NA,NA,NA,NA
1,10,1,37,2,NA,NA
2,38,0,NA,NA,NA,NA
2,4,0,25,5,28,4
2,10,3,32,7,38,2
2,3,0,30,10,NA,NA
2,2,NA,17,0,NA,NA
1,22,NA,NA,NA,NA,NA
2,37,0,NA,NA,NA,NA
1,11,4,33,8,35,12
1,25,4,59,0,NA,NA
2,15,0,48,0,NA,NA
2,67,0,NA,NA,NA,NA
2,15,8,45,0,48,0
1,17,4,55,0,59,0
2,51,7,NA,NA,NA,NA
1,39,0,NA,NA,NA,NA
1,17,3,51,1,NA,NA
2,42,0,NA,NA,NA,NA
2,11,2,37,0,40,6
2,1,0,29,2,33,7
2,21,0,44,0,49,0
1,5,0,25,3,29,8
2,12,NA,38,0,NA,NA
2,11,3,33,0,37,6
2,1,0,21,1,27,7
1,28,6,NA,NA,NA,NA
2,59,0,NA,NA,NA,NA
1,19,6,NA,NA,NA,NA
2,24,0,NA,NA,NA,NA
2,21,12,39,0,NA,NA
2,14,4,40,0,NA,NA
1,17,2,59,0,NA,NA
1,3,0,26,6,46,8
1,35,8,NA,NA,NA,NA
2,32,7,58,0,NA,NA
2,7,0,33,8,35,12
1,72,0,NA,NA,NA,NA
2,21,8,57,0,66,6
2,26,0,NA,NA,NA,NA
1,27,12,57,0,NA,NA
2,5,0,27,3,29,3
2,1,0,23,0,37,0
2,53,0,NA,NA,NA,NA
2,12,1,41,0,49,4
2,29,8,63,0,NA,NA
1,2,0,24,0,26,5
1,7,0,27,0,32,6
1,25,5,NA,NA,NA,NA
1,9,1,32,4,NA,NA
2,2,0,25,5,27,0
2,7,1,29,0,NA,NA
2,40,0,NA,NA,NA,NA
2,13,NA,NA,NA,NA,NA
2,6,0,31,2,47,3
2,37,3,NA,NA,NA,NA
2,45,2,NA,NA,NA,NA
2,57,0,NA,NA,NA,NA
2,25,0,NA,NA,NA,NA
1,1,0,22,1,28,0
2,9,1,31,3,NA,NA
2,27,4,NA,NA,NA,NA
1,3,0,24,6,29,3
2,37,4,NA,NA,NA,NA
2,58,0,NA,NA,NA,NA
1,37,5,NA,NA,NA,NA
2,1,0,23,7,28,10
1,31,7,NA,NA,NA,NA
1,38,0,NA,NA,NA,NA
1,22,7,42,0,44,0
2,82,0,NA,NA,NA,NA
2,34,0,NA,NA,NA,NA
2,5,NA,24,0,29,4
2,50,0,NA,NA,NA,NA
2,0,0,38,0,43,5
2,3,0,23,8,31,8
2,-2,1,NA,NA,NA,NA
1,52,8,NA,NA,NA,NA
2,5,0,24,0,30,8
1,27,6,NA,NA,NA,NA
1,57,5,NA,NA,NA,NA
2,21,5,45,2,49,0
1,10,2,34,0,40,8
2,29,0,55,0,NA,NA
1,14,NA,NA,NA,NA,NA
2,5,0,36,2,38,7
2,50,0,NA,NA,NA,NA
1,33,8,NA,NA,NA,NA
2,26,4,NA,NA,NA,NA
1,20,0,51,0,57,7
2,6,1,24,2,NA,NA
2,43,0,67,0,NA,NA
1,18,NA,NA,NA,NA,NA
2,22,6,50,0,NA,NA
1,37,14,NA,NA,NA,NA
1,41,8,NA,NA,NA,NA
1,13,7,38,4,NA,NA
2,23,7,NA,NA,NA,NA
1,18,6,48,3,NA,NA
2,11,3,37,0,45,0
1,18,9,48,0,52,3
2,33,6,NA,NA,NA,NA
2,9,0,22,0,31,4
2,40,3,NA,NA,NA,NA
2,10,3,35,0,37,12
1,18,6,43,0,NA,NA
1,49,8,NA,NA,NA,NA
2,9,1,45,0,52,3
2,76,0,NA,NA,NA,NA
1,58,12,NA,NA,NA,NA
2,45,0,NA,NA,NA,NA
1,36,8,NA,NA,NA,NA
2,57,0,NA,NA,NA,NA
1,4,0,29,0,34,8
1,25,7,NA,NA,NA,NA
1,7,1,22,3,40,10
2,13,NA,NA,NA,NA,NA
1,27,8,NA,NA,NA,NA
1,43,6,NA,NA,NA,NA
1,62,9,NA,NA,NA,NA
2,8,1,32,0,NA,NA
1,0,0,34,0,35,0
2,24,8,NA,NA,NA,NA
1,17,5,40,0,NA,NA
1,27,0,NA,NA,NA,NA
1,31,7,NA,NA,NA,NA
2,3,0,24,1,33,7
2,12,2,27,0,36,3
1,57,0,NA,NA,NA,NA
2,37,0,58,0,NA,NA
1,4,0,24,0,27,0
2,28,0,NA,NA,NA,NA
1,20,4,67,0,78,0
1,9,3,42,0,47,0
1,24,4,53,0,63,5
2,10,5,32,5,32,6
2,1,0,21,2,27,5
2,15,0,37,0,NA,NA
2,14,0,45,0,55,0
1,0,0,21,4,NA,NA
1,37,8,NA,NA,NA,NA
2,31,6,55,2,62,3
2,15,0,45,0,NA,NA
2,28,5,NA,NA,NA,NA
2,14,8,32,0,NA,NA
1,9,2,30,0,37,8
1,29,14,NA,NA,NA,NA
2,17,4,46,7,50,0
2,21,4,NA,NA,NA,NA
1,18,NA,40,0,42,NA
2,10,4,37,0,NA,NA
2,19,2,NA,NA,NA,NA
1,15,NA,NA,NA,NA,NA
1,16,4,46,4,53,6
1,1,0,31,0,36,6
2,0,0,18,0,27,3
1,55,3,NA,NA,NA,NA
1,2,0,37,0,55,2
1,26,0,NA,NA,NA,NA
1,30,6,NA,NA,NA,NA
2,5,0,38,4,62,3
2,3,0,58,4,NA,NA
2,10,0,33,0,42,0
1,5,0,22,4,26,6
2,1,NA,24,7,31,8
2,7,1,31,7,37,0
1,42,11,NA,NA,NA,NA
1,21,2,58,0,NA,NA
1,28,14,55,2,62,3
1,36,7,NA,NA,NA,NA
1,18,NA,NA,NA,NA,NA
1,7,0,27,6,34,6
2,6,0,34,0,41,0
1,2,0,39,0,NA,NA
1,5,1,43,0,NA,NA
2,40,0,NA,NA,NA,NA
2,5,0,25,5,30,6
1,15,6,38,1,42,0
2,25,0,NA,NA,NA,NA
2,57,0,NA,NA,NA,NA
1,9,1,30,0,34,7
1,11,4,32,0,35,8
1,12,3,31,7,37,0
1,6,0,25,0,NA,NA
2,5,1,38,0,49,4
1,25,14,NA,NA,NA,NA
2,22,3,58,0,NA,NA
2,0,0,25,0,34,8
2,37,0,54,0,NA,NA
2,27,0,NA,NA,NA,NA
2,9,1,31,0,NA,NA
2,35,0,NA,NA,NA,NA
2,57,2,NA,NA,NA,NA
1,14,6,33,6,37,7
2,14,0,31,0,43,8
1,4,0,32,0,35,8
2,16,NA,NA,NA,NA,NA
1,13,0,37,2,39,3
2,14,2,37,0,41,0
1,17,3,48,0,67,5
2,7,1,23,3,NA,NA
1,26,8,NA,NA,NA,NA
2,30,0,NA,NA,NA,NA
1,3,0,24,0,30,3
2,0,NA,29,4,31,8
1,59,0,NA,NA,NA,NA
1,30,8,NA,NA,NA,NA
1,29,3,NA,NA,NA,NA
1,14,3,42,0,NA,NA
2,1,0,24,10,29,13
1,10,2,46,0,51,0
2,49,8,NA,NA,NA,NA
1,26,8,NA,NA,NA,NA
2,76,0,NA,NA,NA,NA
2,16,0,51,0,NA,NA
2,10,3,24,0,28,8
2,21,4,NA,NA,NA,NA
2,3,0,20,2,22,2
2,14,NA,NA,NA,NA,NA
2,12,NA,36,5,NA,NA
2,24,0,NA,NA,NA,NA
1,37,0,NA,NA,NA,NA
1,7,1,29,0,NA,NA
2,34,0,52,0,NA,NA
2,7,1,31,6,NA,NA
1,12,3,33,3,NA,NA
1,33,8,NA,NA,NA,NA
1,1,0,21,0,26,0
2,6,0,32,0,37,0
2,9,3,31,5,36,8
1,15,0,44,0,49,0
1,9,1,38,4,NA,NA
1,34,5,NA,NA,NA,NA
1,15,5,57,1,NA,NA
2,40,0,NA,NA,NA,NA
1,33,4,NA,NA,NA,NA
1,55,5,NA,NA,NA,NA
2,47,3,NA,NA,NA,NA
2,3,NA,27,6,31,8
1,14,3,35,8,38,12
2,34,0,NA,NA,NA,NA
2,32,2,NA,NA,NA,NA
2,19,2,NA,NA,NA,NA
1,16,2,33,0,42,0
2,45,8,NA,NA,NA,NA
2,9,1,29,4,43,6
2,5,0,35,2,41,4
1,10,0,35,0,39,8
1,27,0,NA,NA,NA,NA
1,12,NA,40,0,42,NA
2,62,0,NA,NA,NA,NA
2,6,0,21,4,26,5
1,7,NA,28,3,33,6
2,17,0,47,0,NA,NA
1,5,2,30,10,NA,NA
1,33,7,NA,NA,NA,NA
2,24,0,NA,NA,NA,NA
1,1,0,25,0,NA,NA
2,10,0,27,0,28,3
2,5,0,21,1,29,0
1,37,4,NA,NA,NA,NA
2,39,0,68,0,NA,NA
1,0,0,20,4,30,12
2,9,2,43,2,49,8
1,37,8,NA,NA,NA,NA
2,8,3,37,0,NA,NA
1,15,4,45,5,NA,NA
1,3,0,23,4,34,4
2,21,3,NA,NA,NA,NA
1,9,2,40,5,43,8
1,6,0,39,0,42,2
2,19,6,57,0,66,6
1,18,7,47,0,49,0
2,18,4,41,0,NA,NA
1,3,0,24,3,NA,NA
1,33,7,NA,NA,NA,NA
1,33,6,NA,NA,NA,NA
1,4,0,29,6,34,12
2,22,4,44,0,NA,NA
2,2,0,47,0,NA,NA
2,14,3,33,7,37,8
1,1,0,19,4,23,0
2,3,0,31,0,36,6
1,17,0,40,0,NA,NA
1,37,8,NA,NA,NA,NA
1,7,1,32,11,33,14
2,13,3,38,0,NA,NA
1,11,3,45,5,NA,NA
2,33,0,NA,NA,NA,NA
2,7,1,25,4,30,8
2,48,0,NA,NA,NA,NA
1,13,3,39,0,43,0
2,14,NA,NA,NA,NA,NA
1,34,12,NA,NA,NA,NA
1,27,0,NA,NA,NA,NA
2,6,NA,NA,NA,NA,NA
2,27,0,NA,NA,NA,NA
2,11,6,41,4,NA,NA
2,7,2,33,7,37,8
2,29,0,47,0,NA,NA
1,46,8,NA,NA,NA,NA
1,7,0,37,0,NA,NA
2,-2,4,NA,NA,NA,NA
1,15,5,55,2,55,4
2,9,0,27,1,NA,NA
2,33,7,68,2,NA,NA
1,16,4,53,0,63,0
2,39,8,NA,NA,NA,NA
2,44,0,NA,NA,NA,NA
2,4,0,24,5,28,12
2,67,0,NA,NA,NA,NA
2,6,6,44,3,NA,NA
2,34,0,NA,NA,NA,NA
2,18,5,40,0,NA,NA
1,6,NA,NA,NA,NA,NA
2,1,0,32,0,35,8
2,7,0,34,3,38,6
1,15,NA,NA,NA,NA,NA
2,37,8,NA,NA,NA,NA
2,2,0,17,5,NA,NA
2,10,0,45,0,NA,NA
1,42,5,NA,NA,NA,NA
2,19,0,40,0,NA,NA
2,46,8,NA,NA,NA,NA
2,1,0,27,8,29,10
1,64,4,NA,NA,NA,NA
2,36,5,NA,NA,NA,NA
1,9,1,34,4,39,6
1,8,3,48,7,55,9
2,25,7,45,0,NA,NA
2,1,0,29,0,NA,NA
2,6,0,29,4,43,6
2,23,4,NA,NA,NA,NA
2,25,5,NA,NA,NA,NA
2,7,NA,NA,NA,NA,NA
1,7,1,30,0,35,5
2,26,4,NA,NA,NA,NA
1,15,3,49,8,57,6
1,33,14,NA,NA,NA,NA
1,14,0,-2,0,NA,NA
1,43,8,NA,NA,NA,NA
1,27,3,71,0,NA,NA
1,1,0,23,2,NA,NA
