"id","idf","idm","ed","edf","edm","age","agef","agem","sex"
"ac9l5","diy26","ogktu",8,11,10,16.44626968,45,45,"F"
"zb6dj","lcoaw","cbx91",11,10,10,27.36755647,51,48,"F"
"pb8a1","vg9bu","w6j6f",9999,9999,9999,9999,9999,9999,"F"
"jospm","yh053","h1r4d",9999,9999,9999,9999,9999,91,"M"
"cwyy9","c99f8","qie2h",12,11,10,18.40657084,40,41,"M"
"z1moi","a2mvk","aatg4",9999,9999,10,23,9999,62,"M"
"xwpzt","a2mvk","aatg4",11,9999,3,34.00684463,9999,62,"M"
"xevje","d9k9j","qsbhm",9999,9999,9999,9999,9999,9999,"M"
"x5xzk","q5931","dbbd7",9999,9999,10,18,49,40,"M"
"b8np4","kdnwe","uexjh",9999,9999,9999,9999,9999,9999,"M"
"ghps3","h70yo","wdu5f",10,9999,9999,52.36413415,9999,75,"M"
"va92c","xulhb","jah6r",8,9999,9999,45.93292266,9999,59,"F"
"xs0pq","a2mvk","aatg4",9999,9999,3,9999,9999,62,"M"
"c1ozg","clv41","pqz0h",8,9999,9999,41.84257358,67,9999,"F"
"i79ao","hn7j0","ntphh",9,10,10,23.02532512,51,51,"M"
"ss9se","a2mvk","aatg4",9999,9999,3,28,9999,62,"F"
"cdrxa","njgyh","mas88",9,10,11,16,45,42,"F"
"y1aqm","lpc14","w8km2",11,10,11,9999,50,46,"M"
"bysdg",NA,"jwwt0",9999,9999,9999,9999,9999,39,"F"
"apx4n","h70yo","wdu5f",10,9999,9999,38.72689938,9999,75,"F"
"ehgqz","vxwkr","wej0a",11,10,10,17.02121834,42,39,"F"
"ymvdi","icb7n","bfxhf",9999,9999,9999,9999,9999,9999,"M"
"tij7k","mln9o",NA,11,10,9999,23.64134155,44,9999,"M"
"jsnf1","glc0r","hjc67",9999,9999,9999,9999,9999,9999,"M"
"ujr1m","t9241","x25k6",9999,9999,9999,9999,64,51,"F"
"l1roj","ymvdi","rxqcc",3,9999,9999,69.09240246,9999,9999,"M"
"nk97f","xtq07","ocv02",7,8,10,17.45106092,38,36,"M"
"lr1jl","s9nce","tq827",9,9999,10,17.07323751,9999,37,"F"
"fk3nn","awrn3","u6zp1",9999,9999,9999,42,70,9999,"M"
"kxzuf",NA,"dgeap",9999,9999,9999,9999,9999,9999,"F"
"xq3sm","cddyt","s2eww",9999,9999,10,31.42778919,9999,58,"F"
"l4i0b","dqksh","xclwz",9999,9999,9999,9999,9999,9999,"F"
"t3qpe",NA,"ql6mi",3,9999,8,41.5633128,9999,59,"M"
"vlua3","x5b6a","j5vu5",9999,9999,9999,9999,9999,9999,"M"
"mnlre","hwdji","ogktu",11,10,10,22.95140315,52,45,"M"
"ex138","ab8i2","ca77a",10,9999,3,47.55373032,67,67,"M"
"la1cc",NA,"ss9se",11,9999,9999,17.60438056,9999,28,"F"
"e95xe","vt4wt","wqgbc",11,9999,9999,31.52635181,57,9999,"M"
"g20p1",NA,"i39wg",11,9999,10,27.1430527,9999,62,"M"
"t7njp",NA,"ogfpx",9999,9999,9999,9999,9999,9999,"M"
"ptjxe","zmu07","blqu5",7,9999,10,19.08008214,9999,50,"M"
"i39wg","h70yo","wdu5f",10,9999,9999,62.02600958,9999,75,"F"
"x0s9h","ib2yl","y8wdv",6,9,9999,9999,32,9999,"M"
"ck6su","fc7jz","a2qtw",9,10,9999,19.64681725,41,33,"F"
"u88e7","mp6zg","aj20q",9,9999,3,34.36276523,9999,67,"M"
"cpo8q","ikek5",NA,9999,9999,9999,9999,9999,9999,"F"
"g1kpk",NA,"y4mtm",10,9999,9999,38.56810404,9999,52,"F"
"t2qwv","nrfan","i1lyu",9,11,10,25.50308008,48,45,"M"
"hd92l","gg8h0",NA,9999,9999,9999,9999,9999,9999,"M"
"j9h27","ikek5",NA,9999,9999,9999,9999,9999,9999,"F"
"n7fdk",NA,"r5wgd",11,9999,9999,34.9705681,9999,9999,"F"
"yeiqe","hf5cu","npo2h",11,10,9999,26.42847365,59,9999,"M"
"zv3e0","uj4uc",NA,9999,9999,9999,9999,42,9999,"F"
"seq1l","sl1w1","g7psp",9999,9999,9999,45,81,9999,"F"
"h6pyj","c7stz","ajfaf",8,9999,9999,63,9999,9999,"F"
"con88","a95wr","shm6o",9999,3,3,25,84,79,"F"
"hcvdc","ov5s1","gf1b9",10,9999,3,38.72142368,64,76,"M"
"wi9so","nrhgy","q5it9",9999,9999,9999,9999,9999,9999,"M"
"sf787",NA,"jp0uc",10,9999,3,18.6146475,9999,52,"F"
"p764z","njxz6","u0o3x",11,9999,10,19.60301164,9999,41,"F"
"ls68d","hn7j0","ntphh",9,10,10,19.35934292,51,51,"F"
"qoodv","cmrhe","dy3fj",11,9999,10,27.26078029,9999,52,"F"
"k9bh4","jcuow","arn3r",11,3,3,26.15468857,70,54,"F"
"hhlek","yrrk3","szaip",9,8,10,33.21013005,62,58,"F"
"h1up3","xulhb","jah6r",10,9999,9999,47.55920602,9999,59,"M"
"wbjdd","h70yo","wdu5f",9999,9999,9999,9999,9999,75,"M"
"cwt9e","pux44","fz9ta",10,11,9999,17.18275154,52,43,"F"
"vnc1b",NA,"a92sa",8,9999,9999,32,9999,57,"M"
"uqrf9","iujqi","s5m6k",9999,9999,9999,9999,9999,9999,"M"
"nd1ac","wa9k1","qiuo4",9999,9999,9999,9999,9999,9999,"M"
"shgw0","p0fqr","rlsnz",11,9999,9999,51.69062286,9999,9999,"F"
"dy3fj","f9wpo","pp35x",10,9999,9999,52.36413415,9999,74,"F"
"e2ee8","pcg89","dwrcg",9999,10,10,9999,42,38,"M"
"bm2ah","qt1pb","opy3k",3,9999,9999,69.42368241,9999,9999,"F"
"ejc6a","i2qw6","vntsk",8,9999,3,57.44284736,78,76,"M"
"cgfji","nkvfe",NA,11,9999,9999,48,9999,9999,"F"
"kej1n","srgb0","va60j",11,10,10,21.74401095,53,47,"M"
"swg1c","mammn","e6jc4",9999,9999,9999,9999,9999,9999,"M"
"acog7","mp6zg","aj20q",10,9999,3,39.95071869,9999,67,"M"
"esymt","xq4s3","c085w",11,3,9999,34.36276523,66,51,"M"
"a22d2","f9wpo","pp35x",10,9999,9999,50.00958248,9999,74,"F"
"ox6ku","r5poh","y8wdv",0,10,9999,9999,36,9999,"M"
"yvvfs","cpizp","gjx1s",10,3,9999,46,78,9999,"F"
"jkbqk",NA,"zsm0n",9999,9999,9999,9999,9999,9999,"F"
"ia1vt","pe4er","hh2mz",9999,9,11,9999,26,28,"F"
"aijlu","mzxrb","iqho9",10,9999,9999,43.05817933,9999,59,"F"
"i5exr",NA,"rwrd7",9999,9999,9999,38.13552361,9999,9999,"F"
"p3nis","umcs7",NA,9999,9999,9999,67,9999,9999,"F"
"oprex","hf5cu","npo2h",9999,10,9999,9999,59,9999,"M"
"zy815","h70yo","wdu5f",10,9999,9999,40.58042437,9999,75,"F"
"fwb1n","d9k9j","qsbhm",9999,9999,9999,9999,9999,9999,"M"
"f19d5","lcoaw","cbx91",11,10,10,24.862423,51,48,"M"
"f42mn","wa4y3","hfpsc",11,9999,9999,31.91238877,9999,9999,"F"
"p65d0","x5b6a","j5vu5",9999,9999,9999,9999,9999,9999,"F"
"dbbd7","mp6zg","aj20q",10,9999,3,40,9999,67,"F"
"g41f6","q5931","dbbd7",9,9999,10,22.41478439,49,40,"M"
"r5poh","xq4s3","c085w",10,3,9999,36.01368925,66,51,"M"
"xhooq","pkbz2","u9wi9",10,9999,9999,38.28884326,78,70,"F"
"motzt","iakce","ii382",9999,9999,9999,17,9999,48,"M"
"qsi6a",NA,"t141m",11,9999,3,39.62217659,9999,69,"F"
"vb4ea","h8zj9","yiyiy",9,11,11,25.95208761,53,51,"M"
"j49sm","xh4jb","ktwz5",9,10,11,18.36824093,52,62,"F"
"pvih7","mp6zg","aj20q",11,9999,3,27.18959617,9999,67,"M"
"o70nl","s4hca","g2cv3",11,9999,9999,44.02464066,70,9999,"F"
"tq827","mp6zg","aj20q",10,9999,3,36.60232717,9999,67,"F"
"kxckd","wsxy8","re3wj",11,11,9999,36.10951403,70,9999,"F"
"cqtsv","wa4y3","hfpsc",9999,9999,9999,9999,9999,9999,"F"
"g8qmk","bks0y","yjryr",7,10,9999,19.85489391,49,9999,"M"
"bg6o9","fkhs6","ne5lm",0,9999,9,9999,9999,9999,"F"
"prrk9","km66u","ruub2",3,9999,9999,74,9999,9999,"F"
"b5ozd","bb4om","yd602",11,10,10,21.36071184,45,43,"F"
"p9ytb","pcg89","dwrcg",9,10,10,17.00479124,42,38,"F"
"s5ox0","jospm","sjveu",9999,9999,10,18,9999,56,"M"
"i6zju","b8np4","hxyq8",9999,9999,9999,40,9999,9999,"F"
"qkblg","w4mcg","dr04j",8,9999,9999,57.62354552,9999,9999,"F"
"t5qkf","qm9iw","zxxoq",10,3,9999,37.98494182,68,52,"M"
"r8ui2","nrhgy","q5it9",9999,9999,9999,9999,9999,9999,"M"
"en685","g4rdd","p3nis",9999,9999,9999,9999,9999,67,"M"
"rn38y","f16hg","oqcz0",8,9999,9999,46.17659138,9999,9999,"F"
"g7psp","dhz2u","sns6c",9999,9999,9999,9999,9999,9999,"F"
"uu7fw","h70yo","wdu5f",10,9999,9999,42.86105407,9999,75,"M"
"pcg89","wsxy8","re3wj",10,11,9999,42.12457221,70,9999,"M"
"i97eg","xevje","hmc92",10,9999,9999,42.40930869,9999,9999,"F"
"wsxy8","yh053","h1r4d",11,9999,9999,69.75770021,9999,91,"M"
"s432f",NA,"pb8a1",11,9999,9999,9999,9999,9999,"F"
"bq173","c0k98","rn38y",9,10,8,23.21697467,50,46,"M"
"ih5k2","yrrk3","szaip",11,8,10,22.71047228,62,58,"M"
"jva7n","o47p4","zr2c2",9999,9999,9999,9999,9999,9999,"M"
"zoqd1","rqesi","kxckd",9,11,11,16.54483231,40,36,"M"
"t06r5","wbjdd","ji9zk",9,9999,9999,32.79671458,9999,9999,"M"
"wys13","yhgve","uukwy",9999,10,9999,9999,36,33,"F"
"q0124","igsc5","sffhs",9999,9999,9999,9999,9999,9999,"M"
"y4xc7","au8iz","wj99z",8,10,12,19.55646817,53,38,"F"
"rcykq","fk3nn","cgfji",11,9999,11,21.67556468,42,48,"M"
"k55g1","fw3we","owa5a",9999,9999,9999,9999,9999,78,"M"
"l4t7n","r5poh","y8wdv",9999,10,9999,9999,36,9999,"M"
"hiuka","lcoaw","cbx91",9,10,10,15.81930185,51,48,"M"
"qm7eu","a8teo","injdj",10,9999,9999,32,9999,57,"M"
"dy80e","mi0uj","qkblg",9999,9999,8,9999,9999,58,"F"
"woqko","igsc5","sffhs",9999,9999,9999,72,9999,9999,"M"
"lv03l","yiabg","l4i0b",9999,9999,9999,9999,9999,9999,"F"
"a15h5","p259o","rw9lt",9,9999,10,22,9999,50,"M"
"pqmri","mp6zg","aj20q",11,9999,3,27.18959617,9999,67,"M"
"xpgsw","c0k98","rn38y",9,10,8,21.58247775,50,46,"M"
"nl8cq","ab8i2","ca77a",10,9999,3,36.02464066,67,67,"M"
"gd1dd","ti150","yi7z6",10,9999,9999,15.79739904,30,29,"M"
"fgq6q","p259o","rw9lt",11,9999,10,17.41820671,9999,50,"F"
"awrn3","g3c1v","lk0mn",9999,9999,9999,70,9999,9999,"M"
"az9dk",NA,"bkofs",9999,9999,11,9999,9999,22,"M"
"wfc3s","l1roj","b6cbk",11,3,3,37.7412731,69,67,"F"
"tk56m","cmrhe","dy3fj",7,9999,10,18.97878166,9999,52,"M"
"h8zj9","kuso4","ssrx5",11,9999,9999,52.60506502,9999,9999,"M"
"e4so1","tro7x","jgc3c",10,10,10,18.68856947,49,40,"M"
"l1bpe","ab8i2","ca77a",10,9999,3,38.41204654,67,67,"F"
"xnhta","zmu07","blqu5",11,9999,10,26.17932923,9999,50,"F"
"jk851","tgejs","c1s6c",11,10,10,21.24572211,49,45,"M"
"km66u","t9yk0","v7szi",9999,9999,9999,9999,9999,9999,"M"
"e1ehz",NA,"y4mtm",9999,9999,9999,36,9999,52,"M"
"kj9iz","glc0r","hjc67",3,9999,9999,72,9999,9999,"M"
"cj10k",NA,"lswwx",10,9999,9999,37.88364134,9999,9999,"M"
"vm2gt","w8vpn","kdlxg",10,9999,9999,40.90622861,62,70,"M"
"kt4el","wo1xi","uzdfd",8,11,10,9999,35,38,"M"
"rwrd7","dhz2u","sns6c",9999,9999,9999,9999,9999,9999,"F"
"ldicm","ti150","yi7z6",6,9999,9999,17.88637919,30,29,"F"
"j9sls",NA,"dy80e",9,9999,9999,16.29568789,9999,9999,"M"
"q0wix",NA,"ej3mn",11,9999,11,20,9999,54,"F"
"oywy4",NA,"lv03l",8,9999,9999,34.95140315,9999,9999,"M"
"llw1q","t9241","x25k6",9,9999,9999,25.35523614,64,51,"M"
"dszww","d8pa5","fhurt",9999,9999,9999,34,9999,61,"M"
"ljaqy","q5931","dbbd7",10,9999,10,18.12731006,49,40,"F"
"t1je9","lsj8v","nb42s",11,11,10,18.52156057,47,42,"M"
"i89ff","i2qw6","vntsk",9999,9999,3,33,78,76,"F"
"k0d1z","a8teo","injdj",10,9999,9999,41.02395619,9999,57,"M"
"iq6uy","mebvv","i6zju",11,3,9999,21.4017796,9999,40,"F"
"pnlyn","wa9k1","qiuo4",9999,9999,9999,9999,9999,9999,"F"
"sl5r2","mi0uj","qkblg",9,9999,8,21.76865161,9999,58,"M"
"i68un",NA,"shgw0",11,9999,11,25.19917864,9999,52,""
"urok2","vlua3","cpo8q",9999,9999,9999,9999,9999,9999,"F"
"h18g6","atnjx","p65d0",9999,9999,9999,74,9999,9999,"F"
"jp0uc","x7ij2",NA,3,9999,9999,51.97809719,9999,9999,"F"
"xbqu2","h1up3","mzdnm",9,10,11,16.77481177,48,42,"M"
"k0eft","dszww","rk74u",10,9999,10,19.61670089,34,43,"M"
"tlhw6",NA,"ewdko",11,9999,11,30.91854894,9999,53,"M"
"ogktu","xevje","hmc92",10,9999,9999,45.12525667,9999,9999,"F"
"h9qg1",NA,"g42wh",9999,9999,9999,54.01232033,9999,9999,"F"
"jst0b","a2mvk","aatg4",9,9999,3,23.98631075,9999,62,"M"
"yjryr","uk7ot","nfiy3",9999,9999,9999,9999,9999,69,"F"
"u70rm","zmu07","blqu5",11,9999,10,28.7063655,9999,50,"F"
"gt9pu","w8vpn","kdlxg",10,9999,9999,43.33470226,62,70,"M"
"hysn2","kcfl0","rcsra",9999,9999,9999,9999,9999,9999,"F"
"hv43b","l1nom",NA,11,8,9999,30.55441478,55,9999,"F"
"z7nq2","r05kq","vmsrd",9999,10,8,9999,45,38,"M"
"t77xy","t7njp","oc9yw",10,9999,9999,37.36892539,9999,9999,"F"
"g5ymu","uhpfy","njev3",9,10,10,15.8329911,50,38,"F"
"bkofs","dszww","rk74u",11,9999,10,22.0752909,34,43,"F"
"rdft4","ihnid","va92c",9,8,8,24.13963039,56,46,"M"
"d27ar","t9241",NA,10,9999,9999,35.96440794,64,9999,"F"
"eikmy","pkbz2","u9wi9",11,9999,9999,47.03901437,78,70,"F"
"q5931","supi3","cv4ea",9999,9999,9999,48.82956879,9999,61,"M"
"lc9wr","nl8cq","f42mn",9999,10,11,9999,36,32,"F"
"bavfb","hn7j0","ntphh",9,10,10,23.01711157,51,51,"F"
"c1s6c","d8pa5","fhurt",10,9999,9999,45.01574264,9999,61,"F"
"pkbz2","nmo3k","cfqj0",9999,9999,9999,78,9999,9999,"M"
"t6h7j","kd3wy","kjd2t",9,10,11,29.36071184,73,68,"M"
"b0617","yf040","urok2",11,9999,9999,29,9999,9999,"M"
"nvvji","hw1o5","i68un",9999,9999,11,9999,9999,25,"M"
"nm2uj","msvqx","ljwsl",9999,9999,9999,9999,9999,9999,"M"
"cf1jk","hw1o5","o8z7x",12,9999,8,29.72758385,9999,53,"F"
"npo2h","wayb4","n0l9b",9999,9999,9999,9999,9999,9999,"F"
"lswwx","klr2v","c61qw",9999,9999,9999,9999,9999,9999,"F"
"y524x","yf040","urok2",11,9999,9999,22.19028063,9999,9999,"F"
"pb7g1",NA,"l9g1n",11,9999,8,23,9999,56,"F"
"s4hca","qt1pb","opy3k",9999,9999,9999,70,9999,9999,"M"
"jgc3c","x7ij2",NA,10,9999,9999,40.05201916,9999,9999,"F"
"oc9yw","gsqqi","kbrx7",9999,9999,9999,9999,9999,9999,"F"
"erlvw","xq174","i97eg",9,10,10,16.13415469,48,42,"M"
"o0nzl","woqko",NA,8,9999,9999,43.50171116,72,9999,"M"
"wgmdt","uk7ot","nfiy3",3,9999,9999,46.99794661,9999,69,"F"
"ab8i2","ikek5",NA,9999,9999,9999,67,9999,9999,"M"
"y4mtm","ymvdi","rxqcc",9999,9999,9999,52,9999,9999,"F"
"u98el","ho2rr","zjel8",9999,9999,9999,48,9999,9999,"F"
"ql6mi","atnjx","p65d0",8,9999,9999,59,9999,9999,"F"
"e7vul","srgb0","va60j",11,10,10,22.88569473,53,47,"M"
"dl4yh",NA,"o0k8h",4,9999,10,21.13347023,9999,45,"M"
"g42wh","klcqp","qvgrk",9999,9999,9999,9999,9999,9999,"F"
"o2ph0","njxz6","u0o3x",1,9999,10,17.8973306,9999,41,"F"
"wiord","pkbz2","u9wi9",9999,9999,9999,35,78,70,"M"
"oqcz0","igsc5","sffhs",9999,9999,9999,9999,9999,9999,"F"
"nfyys","y0vkl","zi7fz",9,11,8,17,45,36,"F"
"gducz","l1roj","b6cbk",10,3,3,35.59479808,69,67,"M"
"dytcv","klr2v","c61qw",11,9999,9999,59.79466119,9999,9999,"F"
"v9wvk",NA,"sqfua",9,9999,9999,16.66255989,9999,35,"F"
"bjv0f","y43x0","jgy04",11,10,9999,25.14168378,56,56,"F"
"y90de",NA,"i89ff",10,9999,9999,16.62970568,9999,33,"F"
"qie2h","uk7ot","nfiy3",10,9999,9999,41.229295,9999,69,"F"
"yak1d","ex138","fj4ex",10,10,9999,16.25188227,47,9999,"M"
"j5mtm","wa4y3","hfpsc",9999,9999,9999,23,9999,9999,"F"
"tgejs","pkbz2","u9wi9",10,9999,9999,49.05407255,78,70,"M"
"h8oaa","pux44","fz9ta",9,11,9999,23.39767283,52,43,"F"
"mqj5y","bks0y","yjryr",11,10,9999,26.32443532,49,9999,"M"
"vnrt1","gptwx","seq1l",11,10,9999,22.70499658,53,45,"F"
"sorl8","st0fm","l9g1n",9999,9999,8,20,35,56,"M"
"s2oo3","meq9g","r5wgd",11,9999,9999,32.8843258,9999,9999,"F"
"dzs7q","au8iz","s5a2e",10,10,10,19.24435318,53,45,""
"u8pwr","yrrk3","szaip",9,8,10,21.10882957,62,58,"F"
"h1wpv","a95wr","shm6o",10,3,3,36.76933607,84,79,"M"
"ly4uy","t9241","x25k6",10,9999,9999,37.45653662,64,51,"M"
"g906x","lot37","h1ish",8,9999,9999,39,66,9999,"F"
"p1rsi",NA,"fx0m4",9,9999,10,16.64339493,9999,47,"F"
"t9241","glc0r","hjc67",9999,9999,9999,64.07939767,9999,9999,"M"
"f614l","xulhb","jah6r",8,9999,9999,35.41957563,9999,59,"F"
"g9oun","diy26","ogktu",8,11,10,18,45,45,"M"
"gsmna","iujqi","s5m6k",10,9999,9999,54.4421629,9999,9999,"M"
"yfefo","hn7j0","ntphh",9,10,10,26.09993155,51,51,"M"
"aywb3","x3fwf","j2bzi",3,9999,9999,75.20602327,9999,9999,"M"
"rq2fo","x48v6","t77xy",9,10,10,17.82067077,39,37,"F"
"q1es5","bks0y","yjryr",9999,10,9999,17,49,9999,"M"
"onhj9","fk3nn","cgfji",11,9999,11,19.66324435,42,48,"F"
"l25cs","hx5zf","o70nl",11,11,11,19.17316906,50,44,"F"
"y49yq",NA,"dytcv",11,9999,11,30.0752909,9999,60,"M"
"mxo0j",NA,"jgy04",9999,9999,9999,27,9999,56,"M"
"nkvfe","d9k9j","qsbhm",9999,9999,9999,9999,9999,9999,"M"
"yd68b","bks0y","yjryr",11,10,9999,22.10540726,49,9999,"M"
"x25k6","yiabg","l4i0b",9999,9999,9999,51,9999,9999,"F"
"jnu01","qm9iw","zxxoq",9999,3,9999,9999,68,52,"M"
"fz9ta","opg10","jpcf2",9999,9999,9999,43,9999,9999,"F"
"yhuzt",NA,"jwwt0",11,9999,9999,18.42847365,9999,39,"M"
"o8z7x","i2qw6","vntsk",10,9999,3,52.62696783,78,76,"F"
"og1cs","cwv2x","g906x",4,9999,8,17.90554415,61,39,"M"
"yy7cd","zmu07","blqu5",7,9999,10,20,9999,50,"F"
"yzwlz",NA,"o0k8h",9,9999,10,19.04722793,9999,45,"F"
"jpsuo","qt1pb","opy3k",9999,9999,9999,9999,9999,9999,"F"
"bd4ky","uhpfy","njev3",9,10,10,19.71526352,50,38,"F"
"sjveu","q0124","cwqjd",10,9999,9999,56.47091034,9999,9999,"F"
