"id","idf","idm","ed","edf","edm","age","agef","agem","sex"
"rr9af","ghps3","r7e4y",9,10,10,20.41341547,52,49,"M"
"s373w","aefyh","h6pyj",8,9999,8,39.8384668,9999,63,"M"
"lxpc8","h8zj9","yiyiy",8,11,11,18.41204654,53,51,"M"
"vt4wt","atnjx","p65d0",9999,9999,9999,57,9999,9999,"M"
"cyp18",NA,"fx0m4",9,9999,10,25.02121834,9999,47,"M"
"blqu5","m1c7w","cm7ow",10,9999,9999,50,9999,9999,"F"
"o0mki","sl1w1","g7psp",10,9999,9999,34.75975359,81,9999,"M"
"u9wi9","klcqp","qvgrk",9999,9999,9999,70,9999,9999,"F"
"pxy2e","hn7j0","ntphh",9,10,10,16.99931554,51,51,"F"
"in9f3","go9n9","a615m",9999,10,8,9999,46,38,"F"
"zbim8","k212r","i88z9",9999,11,11,9999,64,51,"F"
"ukj5r","dszww","sqfua",11,9999,9999,22.91033539,34,35,"F"
"luju3","r5poh","y8wdv",9999,10,9999,9999,36,9999,"M"
"ux52d","lez6g","fyh5q",11,10,10,18.11362081,50,52,"F"
"ayg9x","f81j8","zy815",9,9999,10,19,39,41,"M"
"p8cnd","mp6zg","aj20q",9,9999,3,32.33675565,9999,67,"M"
"l8l9x","fk3nn","cgfji",9,9999,11,17.60985626,42,48,"M"
"sq8uw","ghps3","r7e4y",10,10,10,17.01300479,52,49,"F"
"atnjx","ikek5",NA,9999,9999,9999,9999,9999,9999,"M"
"lonb4","fkhs6","ne5lm",2,9999,9,9999,9999,9999,"F"
"ztus0","fwb1n","cxl2c",9999,9999,9999,9999,9999,9999,"M"
"detkz","zmu07","blqu5",11,9999,10,30.5982204,9999,50,"F"
"tckmo","nrhgy","q5it9",9999,9999,9999,9999,9999,9999,"M"
"ubcq7","r4u2e","bkpdn",9,11,9999,26,55,9999,"M"
"nfiy3","yh053","h1r4d",9999,9999,9999,69,9999,91,"F"
"i31z0","bks0y","yjryr",9,10,9999,17.47022587,49,9999,"F"
"btu5w","vt4wt","mz2h0",9,9999,10,31,57,60,"M"
"cbx91","nd1ac",NA,10,9999,9999,48,9999,9999,"F"
"tjehh","gsmna","q16j2",11,10,10,20.3504449,54,52,"F"
"zxxoq","f9wpo","pp35x",9999,9999,9999,52,9999,74,"F"
"vwwe5","zmu07","blqu5",9,9999,10,24.44079398,9999,50,"F"
"yd602","fw3we","owa5a",10,9999,9999,42.5982204,9999,78,"F"
"ouaqs","f81j8","zy815",11,9999,10,17,39,41,"F"
"rjlz1","fwb1n","cxl2c",9999,9999,9999,42,9999,9999,"F"
"oi580","aefyh","h6pyj",8,9999,8,41.04859685,9999,63,"M"
"ebzkw","y0vkl","cqtsv",10,11,9999,16.76933607,45,9999,"F"
