"id","male","age","rs","mid","agem","rsm","fid","agef","rsf"
"xueef",1,NA,3,"qx4yu",78,4,"p07sz",NA,4
"pcyy9",0,NA,1,NA,NA,NA,"zw9rj",NA,3
"hfu56",0,15.63039014,0,"iuhgj",38,8,"em5pk",42,2
"ngerz",1,21.15263518,0,"cutu6",23,1,NA,NA,NA
"lm9gw",1,36.01368925,3,"fsnj2",51,5,"x4i4p",66,5
"ua0m9",0,NA,1,"b0zrd",NA,2,"iabs8",NA,2
"j87dx",1,NA,3,"lf4bv",NA,3,"uww65",NA,3
"zf5ot",1,38.72142368,0,"xvc6k",76,3,"kq41v",64,3
"o2c1y",0,19.39219713,0,"x50rk",43,3,"msth3",NA,2
"atrhk",0,38.72689938,4,"popci",75,8,"vibg0",NA,8
"thbyl",0,17.31143053,0,"gx1no",35,5,NA,NA,NA
"cesyq",1,32.80766598,0,NA,NA,NA,"kagxz",55,5
"oqa5x",1,22.32717317,0,"qhb3b",28,2,NA,NA,NA
"sef8a",1,37.88364134,2,"jd0g1",NA,5,NA,NA,NA
"pef4h",0,NA,0,"so4tc",NA,1,NA,NA,NA
"zpieh",1,25.00752909,0,"twp17",54,5,"jaf2h",70,4
"iws3a",0,42,0,"unkxy",NA,3,"z4pux",NA,4
"j28gd",0,30.55441478,2,NA,NA,NA,"kagxz",55,5
"k0vjj",0,NA,1,"duhef",NA,2,"uo15k",NA,2
"tl23p",0,67,3,NA,NA,NA,"ur9lu",NA,1
"dhi79",1,42.05612594,2,"svf0l",62,9,NA,NA,NA
"rrlv4",1,17.60985626,0,"dnkzd",48,6,"m5p9u",42,6
"olqm4",0,59,1,"jpwsm",NA,4,"zh3sw",NA,4
"a5u72",1,16.54483231,0,"m6zsx",36,3,"rdo4e",40,3
"odw43",1,NA,2,"p3vfn",NA,3,"tlxyn",NA,3
"wmpm9",0,17.8973306,0,"z29oi",41,2,"or3wh",NA,2
"hrved",1,47.55373032,3,"q3abf",67,3,"j69dw",67,3
"jpwsm",0,NA,4,"yr113",NA,4,"o1r1m",NA,4
"lz3kh",1,57,5,"jpwsm",NA,4,"zh3sw",NA,4
"fs83h",0,17.60438056,0,"qhb3b",28,2,NA,NA,NA
"ggop1",1,24.24366872,0,"scjva",51,3,"un86t",53,3
"pay57",1,15.61396304,0,"dnkzd",48,6,"m5p9u",42,6
"t9kba",1,NA,1,"p3vfn",NA,3,"tlxyn",NA,3
"zttn7",1,55.77002053,1,"yjnvw",79,5,"d4fwk",84,5
"qx4yu",0,78,4,"fe0rr",NA,3,"s1cku",NA,3
"zhred",0,34.38466804,3,"h95an",NA,4,NA,NA,NA
"vm0fc",1,NA,0,"m2j45",52,4,"oaxqd",50,4
"slxxf",0,22.91033539,0,"jvu5n",35,3,"s6tnk",34,4
"ystm9",1,15.95345654,0,"lv8hm",38,4,"n5jt7",42,4
"na0s4",1,27.02532512,0,"j2x6y",53,3,"szttu",NA,4
"hushb",0,19.68240931,0,"oxadt",43,3,"n7w9o",45,3
"i163d",0,41.99589322,2,"bbode",NA,2,"ykntj",NA,2
"ifs9c",1,22.9650924,1,"x50rk",43,3,NA,NA,NA
"nlamw",0,69.42368241,3,"wh6ce",NA,4,"cpsn0",NA,4
"id9na",1,NA,0,"fx4t9",NA,4,"lth2t",NA,4
"ksbkm",0,23.01711157,0,"ujiv0",51,6,"voill",51,6
"mj545",0,NA,0,"gz74t",20,1,"plh62",24,1
"mo17f",1,NA,0,"bdacc",38,1,"x3x4t",35,1
"nwlnd",0,17.01026694,0,"ur9gn",42,1,NA,NA,NA
"xvc6k",0,75.87679671,3,"ilpjq",NA,2,"hr3v8",NA,2
"plh62",1,23.72347707,1,"cqd0w",49,4,"jt96l",NA,2
"ncxtd",1,25.35523614,0,"mfmrd",51,4,"d26vi",64,5
"o25v4",0,38.56810404,2,"og28y",52,2,NA,NA,NA
"jzgei",1,33.23203285,4,"flcy5",58,3,"i8cik",NA,3
"evu6q",1,36.76933607,0,"yjnvw",79,5,"d4fwk",84,5
"x8rc4",1,16.13415469,0,"zei3x",42,6,"y01hx",48,6
"zbhvr",0,17,0,"pxs9i",41,2,"i4pc3",39,2
"te5a1",0,17.01300479,0,"cgunn",49,5,"lhapd",52,5
"w8uec",0,27.38124572,0,"jcu87",50,2,"hajjk",50,2
"mfciu",0,36.26557153,2,"w02f6",NA,3,"xc0a2",52,3
"bcbxd",1,NA,1,"jg2vv",NA,4,NA,NA,NA
"e5mhw",1,NA,4,"ccss0",NA,3,"j87dx",NA,3
"vdd7h",1,34,0,"xvc6k",76,3,"kq41v",64,3
"dwzqx",0,29.45927447,1,"svf0l",62,9,"xcypz",NA,8
"xsib1",1,50.78439425,0,"jel8y",70,6,"w1mcu",78,6
"awdj2",1,18.42847365,0,"d9djy",39,3,NA,NA,NA
"q6z6b",1,43.50171116,0,NA,NA,NA,"hl4bv",72,1
"c138k",0,25.19917864,2,"mawzw",52,4,NA,NA,NA
"jo0iz",0,28.7063655,2,"jj7rw",50,10,"nxtt2",NA,10
"oxlu2",1,18.82819986,0,"cqd0w",49,4,"t43vm",44,2
"bdacc",0,37.55509925,1,"qo7v2",69,5,"ydgtw",NA,5
"xo4ai",0,NA,0,"xcw5u",NA,3,"c3j7k",66,3
"hh5q1",0,17.00752909,0,"xwj09",41,5,"x1u1x",40,5
"f3x3i",1,17,0,"j8610",NA,5,"v1zp5",49,5
"l6521",1,NA,0,"lv8hm",38,4,"n5jt7",42,4
"o503z",0,30.5982204,3,"jj7rw",50,10,"nxtt2",NA,10
"pgcnt",0,40.05201916,1,"ct2f3",NA,4,"g9dwx",NA,4
"kq9x9",0,19.60301164,1,"z29oi",41,2,"or3wh",NA,2
"tj1f7",1,21.24572211,0,"zmcg6",45,2,"tl9pa",49,2
"vfj9g",0,47.03901437,0,"jel8y",70,6,"w1mcu",78,6
"ze5ac",1,52.01368925,2,"kr8ae",NA,2,"i5myz",72,2
"ot0y5",1,NA,2,"fe0rr",NA,3,"s1cku",NA,3
"euwy3",1,37.98494182,3,"swwvp",52,3,"fk913",68,3
"cutu6",0,23,1,"d3y0k",NA,3,"e1o0p",NA,3
"a4q1a",1,36.02464066,2,"q3abf",67,3,"j69dw",67,3
"xjxwc",0,NA,1,"yuw8b",NA,7,"na4vv",NA,7
"hv1bx",1,31.52635181,0,"t6y9s",NA,3,"lz3kh",57,5
"w60tl",1,NA,2,"wh6ce",NA,4,"cpsn0",NA,4
"rsbzx",1,NA,0,"ct2f3",NA,4,"g9dwx",NA,4
"gevkk",0,17.41820671,0,"i1ojd",50,4,"yodsq",NA,3
"akssz",1,21.76865161,0,"wdqbt",58,3,"lkyco",NA,3
"tac7u",1,NA,0,"tc426",NA,6,"kjezt",59,6
"cv58e",0,16.66255989,0,"jvu5n",35,3,NA,NA,NA
"x3x4t",1,35.4715948,1,"flcy5",58,3,"i8cik",NA,3
"axap4",0,NA,3,"wdqbt",58,3,"lkyco",NA,3
"ulri0",1,27,1,"xjxwc",NA,1,NA,NA,NA
"ekrpr",1,NA,0,"svf0l",62,9,"xcypz",NA,8
"yj07v",1,NA,1,"duhef",NA,2,"uo15k",NA,2
"vfkx0",1,27.18959617,0,"lfv5d",67,9,"uoxxy",NA,11
"ibvdn",0,63,3,"ktun4",NA,3,"lljxx",NA,3
"gx3ug",1,23.64134155,1,NA,NA,NA,"lkjte",44,2
"rbpo5",0,27.26078029,1,"hsn5e",52,2,"oy56f",NA,2
"kagxz",1,55.14031485,5,"tl23p",67,3,"leps1",NA,3
