"id","age","male","rs","idm","agem","rsm","idf"
"a80yk",31,1,2,"kcg3b",NA,NA,"kcg3b"
"z3ypi",68,2,6,"kcg3b",NA,6,"kcg3b"
"vz70o",70,1,5,"kcg3b",NA,1,"kcg3b"
"t16aa",12,2,NA,"c6aeb",35,4,"ogz2g"
"hyo4c",15,1,NA,"ce0qc",40,5,"xbpqi"
"dxmqv",13,1,NA,"dcs7a",32,6,"kcg3b"
"frl2m",5,2,NA,"jjyol",25,5,"tb6x8"
"kwjgr",37,1,2,"kcg3b",NA,2,"kcg3b"
"f8aiy",7,2,NA,"jjyol",25,5,"tb6x8"
"kr93f",12,2,NA,"kcg3b",NA,NA,"kcg3b"
"nwhmh",25,2,2,"ujdta",37,7,"kcg3b"
"wpu8y",53,2,7,"kcg3b",NA,1,"kcg3b"
"xfs77",4,2,NA,"zezxy",18,2,"k0kcr"
"xvemj",35,1,3,"kcg3b",NA,6,"kcg3b"
"b6ufu",17,2,1,"kcg3b",NA,5,"kcg3b"
"eo238",37,2,5,"kcg3b",NA,8,"kcg3b"
"q8da5",27,1,2,"kcg3b",NA,NA,"kcg3b"
"u2d12",8,1,NA,"ezw9i",35,6,"qxtf5"
"jlx29",31,2,4,"kcg3b",NA,2,"kcg3b"
"xzsln",46,2,6,"kcg3b",NA,3,"kcg3b"
"ytrco",25,1,NA,"voi08",55,8,"kcg3b"
"snslu",23,2,5,"kcg3b",NA,6,"kcg3b"
"nqo4u",16,2,NA,"hvjhy",48,3,"zp30c"
"a36c0",57,2,1,"kcg3b",NA,1,"kcg3b"
"llw9e",3,1,NA,"b2u2y",29,5,"kcg3b"
"cntgl",22,1,NA,"o7gf5",42,3,"kcg3b"
"hxiej",13,1,NA,"bey8g",32,6,"lemrr"
"jbxb4",59,1,3,"kcg3b",NA,4,"kcg3b"
"ob0mv",17,2,NA,"sbrzx",47,2,"kcg3b"
"a6a67",0,2,NA,"becnp",20,1,"kcg3b"
"c1n5x",9,2,NA,"i5qhu",43,7,"t12ts"
"k2pa4",7,2,NA,"aeufj",25,4,"p6j3q"
"o9980",17,1,NA,"sfik4",39,8,"c63zt"
"aasyg",11,2,NA,"imhmw",30,7,"rbgxs"
"w9tfy",18,2,NA,"kcg3b",NA,NA,"kcg3b"
"x6678",1,2,NA,"op6yi",19,1,"sogn4"
"q5qn0",17,2,0,"kcg3b",NA,3,"kcg3b"
"svqoy",30,1,5,"kcg3b",NA,NA,"kcg3b"
"vi180",10,2,NA,"kcg3b",NA,NA,"kcg3b"
"b3oty",16,1,NA,"nzj3n",35,5,"kcg3b"
"yn2pc",43,2,4,"kcg3b",NA,6,"kcg3b"
"fp0vn",7,2,NA,"q12ni",37,6,"kcg3b"
"z7ekl",0,1,NA,"xwyw8",21,2,"zvteg"
"ogl63",24,1,NA,"rtfuh",45,8,"pfks5"
"y4xqm",0,2,NA,"g2eht",19,1,"rpzbe"
"kioqq",10,2,NA,"kcg3b",NA,NA,"kcg3b"
"q9xvv",16,2,NA,"kw4o3",35,6,"jc71l"
"c1axe",39,1,3,"kcg3b",NA,6,"kcg3b"
"a4jy4",14,2,NA,"f2txn",41,10,"kcg3b"
"dosmf",15,1,NA,"ngtup",37,10,"b0ikf"
"h858k",55,2,8,"kcg3b",NA,1,"kcg3b"
"in1el",16,2,NA,"kill9",32,5,"ju83q"
"zcoy4",15,1,NA,"v0xbp",50,6,"kcg3b"
"g7wyt",50,1,3,"kcg3b",NA,5,"kcg3b"
"ri8y9",6,1,NA,"zlxsv",27,2,"yt4b4"
"zqa85",9,1,NA,"ngtup",37,10,"b0ikf"
"xwq7h",16,1,NA,"szm6o",63,2,"j478g"
"m5wdb",31,2,2,"kcg3b",NA,7,"kcg3b"
"tmyln",8,2,NA,"g0x5g",35,6,"lwjty"
"p2z1v",1,2,NA,"uuwr4",19,2,"kcg3b"
"uywgr",4,2,NA,"py2hj",29,2,"e6bp3"
"qvv47",22,1,2,"kcg3b",NA,8,"kcg3b"
"bfpw0",13,1,NA,"tym3z",36,4,"w08cn"
"tef4l",16,1,NA,"r68ev",42,8,"kcg3b"
"iiyz5",26,1,0,"kcg3b",NA,3,"kcg3b"
"sff50",33,2,1,"qb34v",58,3,"kcg3b"
"r66f7",7,2,NA,"pm6js",53,5,"kcg3b"
"fjd2d",16,1,NA,"mjmco",49,7,"hxxnr"
"su9uc",15,1,NA,"q893z",37,8,"aa1cm"
"joqzq",36,1,3,"kcg3b",NA,4,"kcg3b"
"yz6oo",32,1,4,"kcg3b",NA,6,"kcg3b"
"dvrej",6,2,NA,"xndm9",34,8,"z8s6l"
"xubk1",13,2,NA,"kcg3b",NA,NA,"kcg3b"
"cv5l3",25,2,3,"vex7l",47,4,"kcg3b"
"zw8wt",29,1,3,"kcg3b",NA,8,"kcg3b"
"z5ii8",3,2,NA,"eo238",37,5,"y6wi0"
"yeh7a",37,2,3,"kcg3b",NA,2,"kcg3b"
"ltdth",0,1,NA,"hgzqn",34,4,"zkvd5"
"bto4o",9,2,NA,"dm6qo",32,3,"xvemj"
"rxx3w",5,2,NA,"k1sos",33,5,"xrvu6"
"vyd3j",14,1,NA,"nzj3n",35,5,"kcg3b"
"nexjo",6,1,NA,"rwu0d",39,6,"x4pr2"
"zgj7l",5,2,NA,"z0any",35,6,"wnguu"
"tiibg",13,2,NA,"j798z",33,5,"j798z"
"pij94",11,2,NA,"dhg36",37,1,"kcg3b"
"ra07g",37,1,7,"kcg3b",NA,4,"kcg3b"
"nfl4w",11,2,NA,"m7a8a",36,6,"na5jq"
"zvjqi",0,2,NA,"kw4o3",35,6,"jc71l"
"hzo83",33,1,4,"kcg3b",NA,6,"kcg3b"
"a4m69",43,1,6,"kcg3b",NA,9,"kcg3b"
"foo5f",14,2,NA,"i5qhu",43,7,"t12ts"
"f4gqb",10,1,NA,"f8gxp",38,5,"lc68l"
"fjkea",11,2,NA,"ahkgg",25,1,"qu4jk"
"iaaji",39,1,6,"kcg3b",NA,6,"kcg3b"
"sfaji",5,2,NA,"le0xj",24,2,"lmjte"
"diilu",1,1,NA,"wzb2s",20,1,"qpsu6"
"ovmmx",8,2,NA,"arfkh",30,3,"bcyhp"
"oap5e",3,2,NA,"pdcus",23,2,"a80yk"
"jyu6l",18,1,NA,"lkns2",38,4,"kcg3b"
"fgrld",12,2,NA,"n37by",36,6,"ed1hz"
"vkbyh",17,2,NA,"aa1dy",40,4,"kcg3b"
"avbc9",0,2,NA,"i9pny",20,2,"sgewf"
"ax2vp",39,2,2,"kcg3b",NA,3,"kcg3b"
"xxrh4",51,1,4,"kcg3b",NA,5,"kcg3b"
"qwlan",8,1,NA,"sjdkw",31,3,"y8k5e"
"jbfzz",6,2,NA,"s3y9w",27,4,"qjsp3"
"pi839",7,1,NA,"voxwi",30,5,"p8fua"
"ubbbh",3,2,NA,"decrn",36,5,"t8l2n"
"sh8jj",6,2,NA,"qgrwg",35,4,"ep79t"
"lwl7q",23,2,1,"kcg3b",NA,4,"kcg3b"
"as73r",10,1,NA,"puxgj",29,2,"mm2z9"
"h25da",16,2,0,"kcg3b",NA,3,"kcg3b"
"f9f7x",2,2,NA,"lyrq1",36,6,"qebiz"
"czylk",15,1,NA,"he1rd",39,3,"lcmhh"
"vl9eb",21,1,NA,"kcg3b",NA,NA,"kcg3b"
"mr58c",12,1,NA,"tkbar",33,4,"aasp5"
"zc6gd",5,2,NA,"kcg3b",NA,NA,"kcg3b"
"jzm3u",28,1,2,"kcg3b",NA,6,"kcg3b"
"rvxjs",23,2,1,"kcg3b",NA,10,"kcg3b"
"foace",30,2,3,"kcg3b",NA,3,"kcg3b"
"p6mdt",23,2,2,"kcg3b",NA,5,"kcg3b"
"fy56u",2,1,NA,"pdgz9",23,2,"yvxac"
"deah4",12,2,NA,"ipu6e",45,3,"nc0gw"
"vq4f9",0,1,NA,"yeigz",27,6,"fjjog"
"k8rdf",15,2,NA,"vg0tx",49,2,"g356e"
"lkbqv",28,2,3,"kcg3b",NA,2,"kcg3b"
"tai68",29,1,1,"kcg3b",NA,7,"kcg3b"
"feq1v",13,1,NA,"zt3z9",45,10,"kcg3b"
"plupt",16,1,NA,"f8gxp",38,5,"lc68l"
"wujhi",37,1,3,"kcg3b",NA,4,"kcg3b"
"kynni",14,2,NA,"f1f64",31,4,"zh7u2"
"v275s",7,2,NA,"x5rid",28,2,"kcg3b"
"qlbif",33,2,3,"kcg3b",NA,5,"kcg3b"
"tzc6e",18,1,NA,"n6jrs",39,2,"m7nc7"
"bm8yp",22,1,NA,"hi01q",68,4,"kcg3b"
"andgs",2,2,NA,"kcg3b",NA,NA,"kcg3b"
"mfeqv",18,1,NA,"mpze0",39,5,"kcg3b"
"hw0oc",21,2,2,"hj26a",37,5,"kcg3b"
"yed8s",35,2,6,"kcg3b",NA,7,"kcg3b"
"rdafu",56,2,6,"kcg3b",NA,3,"kcg3b"
"voiq4",-2,2,NA,"kcg3b",NA,NA,"kcg3b"
"fwnhx",13,2,NA,"kozga",53,6,"mp7fe"
"d2bhs",7,1,NA,"pjeve",44,5,"sj9fo"
"qnvug",9,1,NA,"jpj72",28,6,"zb5sj"
"orew8",1,2,NA,"ds0cd",28,6,"dr9ob"
"wk9wr",23,2,1,"kcg3b",NA,3,"kcg3b"
"s1az6",5,2,NA,"zxknm",26,3,"cgkjj"
"azb7z",1,2,NA,"pmgbh",45,6,"qqx6b"
"zr4cn",-2,2,8,"kcg3b",NA,4,"kcg3b"
"r68ev",42,2,8,"kcg3b",NA,5,"kcg3b"
"q4i0y",17,2,NA,"u9eea",35,3,"a8b79"
"vkurv",0,1,NA,"dxvxn",44,3,"doad0"
"ffl4d",2,2,NA,"s9xjr",26,4,"kcg3b"
"u7h29",26,1,1,"h8a30",55,7,"kxvau"
"genuk",1,2,NA,"mehin",32,3,"kcg3b"
"bam1x",4,1,NA,"s9xjr",26,4,"kcg3b"
"ulnvz",11,1,NA,"ur917",37,5,"kcg3b"
"ekkui",19,2,NA,"divpa",52,3,"ezi8x"
"l8jbj",50,2,3,"kcg3b",NA,6,"kcg3b"
"p31sw",20,2,1,"kcg3b",NA,3,"kcg3b"
"kthco",4,1,NA,"llaox",22,2,"kcg3b"
"exl1v",5,1,NA,"rprc8",31,4,"lkswv"
"blmpq",37,2,3,"kcg3b",NA,7,"kcg3b"
"b95m6",22,2,NA,"t372j",47,5,"oridl"
"mlbc5",10,1,NA,"su370",58,2,"kcg3b"
"yai7i",8,2,NA,"fiq2t",39,8,"j5ctv"
"n7tt9",20,1,NA,"qbg5t",59,10,"kcg3b"
"f0jw2",33,1,1,"kcg3b",NA,4,"kcg3b"
"m6t5y",16,1,NA,"yt7c6",37,2,"mqrw2"
"w9xh6",12,2,NA,"a4969",45,6,"nhbov"
"s9xjr",26,2,4,"kcg3b",NA,9,"kcg3b"
"ykbt7",1,2,NA,"f15bo",25,3,"wjibo"
"sru8o",72,1,3,"kcg3b",NA,1,"kcg3b"
"izzu6",22,1,NA,"kcg3b",NA,NA,"kcg3b"
"zmzk8",5,2,NA,"wb6eb",30,6,"ekobx"
"n63m1",11,2,NA,"q893z",37,8,"aa1cm"
"iv02q",16,1,NA,"hvdtv",39,8,"kcg3b"
"kqg4u",18,1,NA,"krbcj",41,4,"juboz"
"rcxgp",3,2,NA,"jsfne",26,3,"kcg3b"
"iy77y",0,1,NA,"weu6q",31,5,"q1zzv"
"az5sz",7,2,NA,"nqujw",35,6,"ycn98"
"lxqb9",12,1,NA,"sjdkw",31,3,"y8k5e"
"agch7",1,2,NA,"gp3b7",30,5,"bmxhi"
"w0kwt",19,1,NA,"aybyo",37,5,"vhdnq"
"q6ltd",25,2,2,"kcg3b",NA,7,"kcg3b"
"od55v",49,2,1,"kcg3b",NA,6,"kcg3b"
"avvsq",23,1,NA,"epckp",46,6,"yr28x"
"lihmb",12,1,NA,"yr2w2",37,5,"tjk9x"
"d9jz1",3,1,NA,"xwyw8",21,2,"zvteg"
"szvgy",38,1,8,"kcg3b",NA,6,"kcg3b"
"ffvah",37,1,1,"kcg3b",NA,4,"kcg3b"
"muqnx",18,2,1,"kcg3b",NA,2,"kcg3b"
"lc9l0",15,2,NA,"k598q",48,7,"kcg3b"
"u9952",8,1,NA,"wgxgd",24,2,"dxz65"
"l8jgy",24,2,3,"ya42q",55,3,"kcg3b"
"gslaq",31,1,3,"kcg3b",NA,3,"kcg3b"
"c3l2u",19,2,NA,"kcg3b",NA,NA,"kcg3b"
"b4sf3",11,1,NA,"j185m",38,6,"kcg3b"
"t9glq",21,2,2,"kcg3b",NA,6,"kcg3b"
"z24hx",19,2,NA,"epckp",46,6,"yr28x"
"bc4hp",32,1,5,"kcg3b",NA,NA,"kcg3b"
"jldwo",12,2,NA,"gj36j",32,4,"kcg3b"
"b7lf4",9,2,NA,"gidgl",42,10,"kcg3b"
"s3sp7",5,1,NA,"qo4rv",26,5,"r7y2n"
"s2l66",10,2,NA,"ny50p",30,5,"z70q4"
"kmwu9",28,1,1,"kcg3b",NA,3,"kcg3b"
"edq8a",19,2,1,"hu5nb",32,5,"kcg3b"
"ut402",3,1,NA,"llo9e",24,3,"oa5zk"
"dm6qo",32,2,3,"kcg3b",NA,5,"kcg3b"
"phv99",16,1,NA,"yf37a",28,5,"v27sz"
"n3cmi",1,2,NA,"edq8a",19,1,"y403b"
"nvmfl",71,1,4,"kcg3b",NA,1,"kcg3b"
"xxgt2",3,2,NA,"kcg3b",NA,NA,"kcg3b"
"p5ged",13,2,NA,"kcg3b",NA,NA,"kcg3b"
"yr28x",50,1,6,"kcg3b",NA,8,"kcg3b"
"aav5p",1,1,NA,"gbg2v",22,2,"ghzrj"
"ecepg",3,2,NA,"gbg2v",22,2,"ghzrj"
"qjw7o",24,2,0,"kcg3b",NA,4,"kcg3b"
"bqpqm",27,2,6,"kcg3b",NA,5,"kcg3b"
"yt4b4",30,1,2,"kcg3b",NA,5,"kcg3b"
"cndn5",3,1,NA,"kcg3b",NA,NA,"kcg3b"
"m81sz",6,1,NA,"zxzcs",32,8,"yai9s"
"p7ia6",43,1,3,"kcg3b",NA,2,"kcg3b"
"fu543",57,1,9,"kcg3b",NA,5,"kcg3b"
"cmkbk",-2,2,6,"kcg3b",NA,2,"kcg3b"
"c8sen",12,2,NA,"fxdrr",-2,5,"kcg3b"
"uz1rh",33,2,3,"iph1j",55,4,"kcg3b"
"ypiaj",1,2,NA,"kcg3b",NA,NA,"kcg3b"
"eqgxo",9,2,NA,"z603v",31,8,"zcuoi"
"c7i2b",5,1,NA,"nwhmh",25,2,"b2ngr"
"gsvl9",19,2,1,"kcg3b",NA,4,"kcg3b"
"qex9d",0,2,NA,"ofjq4",25,1,"wqrhc"
"dyk8q",1,2,NA,"eitrl",29,2,"kcg3b"
"m7r8l",22,1,NA,"kddbh",57,4,"kcg3b"
"axe45",63,2,6,"kcg3b",NA,2,"kcg3b"
"qg6q9",5,1,NA,"zp0se",21,3,"kcg3b"
"k4dek",1,1,NA,"lt1d0",23,2,"e48k6"
"qbdrv",11,2,NA,"xndm9",34,8,"z8s6l"
"b0vcv",49,2,3,"kcg3b",NA,5,"kcg3b"
"yhfmd",21,2,NA,"mys49",37,7,"f9jhw"
"ypltw",7,1,NA,"xulur",27,3,"a3j33"
"lnk4i",20,1,NA,"kcg3b",NA,NA,"kcg3b"
"nm7xa",25,1,1,"kcg3b",NA,5,"kcg3b"
"m6hso",21,2,1,"kcg3b",NA,7,"kcg3b"
"s25y1",9,1,NA,"jg2us",29,4,"altk7"
"dziy3",9,1,NA,"jkpfc",24,4,"hznxr"
"eckkb",27,1,3,"kcg3b",NA,3,"kcg3b"
"altk7",33,1,4,"kcg3b",NA,7,"kcg3b"
"k5bbx",2,2,NA,"g8uea",33,5,"hfqgd"
"orgn6",1,1,NA,"km1x3",25,1,"e2hb8"
"ug6y7",17,1,NA,"aybyo",37,5,"vhdnq"
"ocrvu",1,1,NA,"qo4rv",26,5,"r7y2n"
"k4ffz",25,1,1,"kcg3b",NA,7,"kcg3b"
"gh76h",15,1,NA,"x1h63",49,5,"kcg3b"
"d59is",6,1,NA,"dcs7a",32,6,"kcg3b"
"nqy78",14,1,NA,"ggo0f",43,9,"oqrqe"
"ia0au",11,1,NA,"zt3z9",45,10,"kcg3b"
"i1wyi",27,1,NA,"gpipt",51,5,"kcg3b"
"jvgn0",10,1,NA,"uvhg3",41,2,"troo0"
"zes9u",66,2,3,"kcg3b",NA,1,"kcg3b"
"wcwb9",4,2,NA,"lkns2",38,4,"kcg3b"
"xex95",31,1,2,"kcg3b",NA,4,"kcg3b"
"a337f",23,1,NA,"gnl0t",59,8,"kcg3b"
"zhycw",21,1,NA,"soqas",45,3,"kcg3b"
"w1fgl",25,1,1,"kcg3b",NA,5,"kcg3b"
"u4d0s",57,2,7,"kcg3b",NA,NA,"kcg3b"
"tszu3",15,1,NA,"vwi61",37,4,"kcg3b"
"ho8b3",11,1,NA,"vjtwb",37,7,"kcg3b"
"wjhad",19,1,NA,"vz56h",69,4,"z0jc1"
"ngtup",37,2,10,"kcg3b",NA,6,"kcg3b"
"q1pf6",10,1,NA,"pg07x",26,2,"haog2"
"tav62",3,2,NA,"u36ys",22,4,"zohlh"
"o3aoc",29,1,NA,"kcg3b",NA,NA,"kcg3b"
"w32pq",10,1,NA,"k1sos",33,5,"xrvu6"
"wcsvv",1,2,NA,"kill9",32,5,"ju83q"
"o3khu",5,1,NA,"pr3p0",34,4,"l0ki6"
"uwezn",8,2,NA,"nmljp",31,3,"xfhcx"
"q41jd",18,1,NA,"si0za",46,10,"myewp"
"pg7gt",20,1,NA,"wn5rh",38,5,"kcg3b"
"fyi91",1,1,NA,"n1itd",17,1,"smr5f"
"mnem2",3,1,NA,"inoxj",21,2,"kcg3b"
"pcuh3",26,1,NA,"t372j",47,5,"oridl"
"kelus",2,2,NA,"oxa06",29,3,"teruv"
"p8fua",35,1,5,"kcg3b",NA,6,"kcg3b"
"j8l63",1,2,NA,"tcnxg",34,6,"ix3mp"
"rjz1t",9,1,NA,"gp3b7",30,5,"bmxhi"
"mcvuy",21,1,NA,"blmpq",37,3,"kcg3b"
"vwi61",37,2,4,"gkgs5",31,2,"kcg3b"
"p7um6",10,1,NA,"b41gf",39,5,"lqxh3"
"vmecz",16,1,NA,"ua6pb",45,6,"rqtxz"
"npdzg",35,2,5,"kcg3b",NA,3,"kcg3b"
"lry9u",10,1,NA,"wi29p",41,4,"kcg3b"
"fw9fg",46,2,7,"kcg3b",NA,3,"kcg3b"
"ssbum",32,2,4,"kcg3b",NA,6,"kcg3b"
"knghe",17,2,1,"kcg3b",NA,5,"kcg3b"
"b2ngr",27,1,2,"kcg3b",NA,6,"kcg3b"
"qgtrt",34,2,1,"kcg3b",NA,7,"kcg3b"
"jhvzo",16,1,NA,"q1dpr",45,5,"kcg3b"
"f1tlb",4,1,NA,"byxxg",40,7,"j2dcv"
"rf2g8",21,2,2,"kcg3b",NA,8,"kcg3b"
"o0pit",38,2,5,"kcg3b",NA,3,"kcg3b"
"t06ks",2,2,NA,"qd8el",31,3,"owkon"
"s44uj",13,2,NA,"kcg3b",NA,NA,"kcg3b"
"bpnev",27,2,2,"kcg3b",NA,5,"kcg3b"
"u44wk",4,1,NA,"qdsea",27,1,"kcg3b"
"mv4q5",13,2,NA,"kcg3b",NA,NA,"kcg3b"
"dgdo8",53,2,5,"kcg3b",NA,1,"kcg3b"
"n5303",49,2,4,"isvzn",71,7,"kcg3b"
"f0834",16,1,NA,"wr8b6",33,5,"rf0rk"
"mdz1q",18,2,NA,"zjcy1",44,8,"b7uy2"
"eglcu",17,2,NA,"kcg3b",NA,NA,"kcg3b"
"kyl2h",5,1,NA,"mehin",32,3,"kcg3b"
"dwi27",11,2,NA,"k0fwz",17,2,"kcg3b"
"lluda",34,2,1,"kcg3b",NA,4,"kcg3b"
"bletw",4,2,NA,"jjr0u",31,7,"kcg3b"
"lwfe4",24,2,2,"kcg3b",NA,2,"kcg3b"
"z2jp4",42,1,2,"kcg3b",NA,4,"kcg3b"
"trqx6",23,2,2,"kcg3b",NA,6,"kcg3b"
"bsk0w",15,1,NA,"xgiki",36,3,"kcg3b"
"mzmo1",1,2,NA,"d1w1l",31,4,"nml89"
"td2mi",15,1,NA,"kcg3b",NA,NA,"kcg3b"
"ovpb3",19,1,NA,"wj6w8",49,6,"kcg3b"
"ew52x",28,1,3,"kcg3b",NA,2,"kcg3b"
"p46xq",28,1,2,"kcg3b",NA,2,"kcg3b"
"lnsio",74,2,4,"kcg3b",NA,3,"kcg3b"
"olpat",20,2,2,"kcg3b",NA,NA,"kcg3b"
"xsz64",12,1,NA,"o1d2d",31,2,"kwjgr"
"xllzu",7,2,NA,"izd14",45,7,"kcg3b"
"dap71",33,2,8,"kcg3b",NA,5,"kcg3b"
"axpvd",54,2,5,"kcg3b",NA,5,"kcg3b"
"ynfrf",35,1,3,"kcg3b",NA,9,"kcg3b"
"oqh7i",12,2,NA,"l391p",30,1,"mph5j"
"swr4n",16,2,NA,"fzfhf",31,5,"kcg3b"
"q1zzv",36,1,5,"kcg3b",NA,7,"kcg3b"
"llwqh",24,1,2,"kcg3b",NA,3,"kcg3b"
"nvj7c",33,1,2,"kcg3b",NA,3,"kcg3b"
"s4k8n",52,1,11,"kcg3b",NA,2,"kcg3b"
"odjou",1,2,NA,"bfnc4",17,1,"kcg3b"
"qvva5",16,2,NA,"jdvev",50,5,"jk5z2"
"doi1s",28,2,2,"gtl46",56,3,"kcg3b"
"jrdzb",39,1,4,"kcg3b",NA,5,"kcg3b"
"h2i96",3,2,NA,"jklt2",58,8,"kcg3b"
"pebja",42,1,4,"kcg3b",NA,1,"kcg3b"
"zdpqb",23,1,0,"kcg3b",NA,1,"kcg3b"
"r335o",27,1,2,"kcg3b",NA,4,"kcg3b"
"dnv2t",0,2,NA,"lzpi4",29,5,"fcxxd"
"tw3de",12,1,NA,"d1w1l",31,4,"nml89"
"pnesk",6,2,NA,"tkbar",33,4,"aasp5"
"ej60h",50,1,9,"kcg3b",NA,7,"kcg3b"
"xlu3s",18,1,NA,"rm7rt",38,7,"kcg3b"
"x82g0",13,2,NA,"up3zr",35,3,"kcg3b"
"n6tug",51,2,1,"kcg3b",NA,1,"kcg3b"
"wtruu",21,2,0,"kcg3b",NA,8,"kcg3b"
"aq3rb",30,1,2,"kcg3b",NA,4,"kcg3b"
"icw1u",6,1,NA,"g6p6w",23,3,"gvaox"
"ckonb",2,2,NA,"en1s0",25,3,"c3ixw"
"p6tlf",28,1,2,"kcg3b",NA,4,"kcg3b"
"x2oy2",37,2,2,"kcg3b",NA,1,"kcg3b"
"x0csk",18,2,NA,"wetlk",48,5,"kcg3b"
"egzp0",17,2,0,"kcg3b",NA,6,"kcg3b"
"da8ru",5,1,NA,"owjil",25,3,"go3ks"
"dt48m",11,2,NA,"kcg3b",NA,NA,"kcg3b"
"jayny",16,2,NA,"zlx1h",38,4,"srfkr"
"ss7q1",27,2,NA,"ooa43",57,6,"kcg3b"
"lkoj5",73,2,3,"kcg3b",NA,5,"kcg3b"
"lu0lh",49,1,NA,"j5npa",77,7,"fjlit"
"dujue",13,1,NA,"r52le",57,10,"kyscs"
"l9pbb",18,2,NA,"inepd",51,6,"bo97z"
"zohlh",25,1,4,"kcg3b",NA,6,"kcg3b"
"ws93a",27,2,1,"kcg3b",NA,NA,"kcg3b"
"oa78w",14,1,NA,"x1ody",29,6,"kcg3b"
"k7h7s",22,1,1,"kcg3b",NA,8,"kcg3b"
"d9uzo",37,1,4,"kcg3b",NA,5,"kcg3b"
"rsta2",9,1,NA,"cmaep",33,5,"y638y"
"yt7c6",37,2,2,"kcg3b",NA,1,"kcg3b"
"j5kf2",12,1,NA,"pg07x",26,2,"haog2"
"rbhje",43,2,0,"kcg3b",NA,1,"kcg3b"
"kkct7",37,1,3,"kcg3b",NA,1,"kcg3b"
"iuuu1",17,1,NA,"k598q",48,7,"kcg3b"
"tjn6j",21,2,1,"kcg3b",NA,7,"kcg3b"
"zb8as",13,2,NA,"wb6eb",30,6,"ekobx"
"wn38c",39,1,5,"kcg3b",NA,2,"kcg3b"
"qartu",15,1,NA,"kcg3b",NA,NA,"kcg3b"
"biu1p",57,2,5,"kcg3b",NA,1,"kcg3b"
"ukoyl",14,1,NA,"wetlk",48,5,"kcg3b"
"v4h5x",1,2,NA,"fvb28",21,1,"kcg3b"
"de23c",12,1,NA,"q1dpr",45,5,"kcg3b"
"eowmo",7,1,NA,"djzde",27,5,"qk2dy"
"limdw",0,2,NA,"s69bg",22,4,"ok32n"
"odzfd",27,2,3,"kcg3b",NA,NA,"kcg3b"
"h93ae",5,2,NA,"qr7mt",27,3,"kcg3b"
"yar84",13,1,NA,"ntz5u",33,3,"e4brh"
"n0h7d",5,1,NA,"xcjhz",24,1,"vea38"
"l3dym",27,2,5,"kcg3b",NA,7,"kcg3b"
"qbz4w",10,1,NA,"qlbif",33,3,"f8ems"
"uiy53",9,2,NA,"x1ody",29,6,"kcg3b"
"lzk0l",60,1,3,"kcg3b",NA,3,"kcg3b"
"dhne7",20,1,NA,"jw7y0",44,5,"az9iy"
"zjo67",11,1,NA,"si22y",33,3,"ghhn9"
"ah4t3",23,2,NA,"mys49",37,7,"f9jhw"
"bwo2a",5,1,NA,"mwm52",35,4,"ne0vw"
"p7kse",1,2,NA,"padn0",23,2,"cdam1"
"w66db",49,1,4,"kcg3b",NA,5,"kcg3b"
"c0ajf",25,2,2,"kcg3b",NA,9,"kcg3b"
"t1nfk",14,2,NA,"x7tg3",44,7,"bm9ex"
"ijmnd",55,2,5,"kcg3b",NA,4,"kcg3b"
"ld42k",37,1,5,"kcg3b",NA,5,"kcg3b"
"g9z0w",13,1,NA,"kill9",32,5,"ju83q"
"pbpxl",33,1,0,"q4chh",55,8,"iark3"
"rs6vj",38,2,5,"kcg3b",NA,NA,"kcg3b"
"yo4mn",0,2,NA,"zwimo",29,3,"ua1kx"
"gxb2h",18,2,NA,"q4chh",55,8,"iark3"
"shlkf",0,1,NA,"oa2tx",33,5,"cpd78"
"spagd",22,1,NA,"deoo5",42,2,"pd5xp"
"gfp84",12,1,NA,"cbd86",57,7,"kcg3b"
"vbtdg",66,2,6,"kcg3b",NA,4,"kcg3b"
"yo3wd",12,2,NA,"yn2pc",43,4,"w7ou8"
"lyv9y",21,2,2,"kcg3b",NA,2,"kcg3b"
"jpvma",19,2,NA,"h27w0",39,5,"kcg3b"
"vo3qd",2,1,NA,"d8dr0",21,1,"khsfx"
"roly4",61,2,2,"kcg3b",NA,1,"kcg3b"
"m7ifw",47,2,6,"jq8qk",76,5,"ome5w"
"iboi7",17,2,NA,"s5zk3",53,6,"kcg3b"
"a8i2i",15,2,NA,"ihade",58,5,"uoimz"
"me77s",27,1,NA,"biu1p",57,5,"rza63"
"p1aod",21,1,NA,"ftt4e",63,9,"kcg3b"
"pt686",5,2,NA,"ufgvy",25,3,"kcg3b"
"gymo9",25,1,0,"kcg3b",NA,2,"kcg3b"
"u401t",57,2,3,"kcg3b",NA,2,"kcg3b"
"i8wir",11,1,NA,"oaeoy",34,3,"k7fvw"
"g0x1r",11,1,NA,"zl5l9",55,6,"kcg3b"
"mfbfo",3,1,NA,"egspe",29,2,"rmw9i"
"xm2tm",13,1,NA,"si22y",33,3,"ghhn9"
"pi5es",17,1,NA,"m7a8a",36,6,"na5jq"
"f35kj",6,2,NA,"fw9fg",46,7,"sniww"
"wgxgd",24,2,2,"kcg3b",NA,4,"kcg3b"
"gqokx",13,2,NA,"m7a8a",36,6,"na5jq"
"aaqzr",16,2,NA,"lcqr5",41,10,"kcg3b"
"c7sx7",13,2,NA,"kzl4s",41,4,"te0s9"
"xc13b",10,2,NA,"s8tmi",29,2,"uijey"
