"id","age","male","rs","idm","agem","rsm","idf"
"hdh4h",45,2,1,"kcg3b",NA,2,"kcg3b"
"lfwcy",0,1,NA,"h1may",18,1,"muslr"
"zwimo",29,2,3,"lnsio",74,4,"kcg3b"
"gro0a",5,2,NA,"bk4rn",36,2,"lkcak"
"lzpi4",29,2,5,"kcg3b",NA,5,"kcg3b"
"keip9",37,1,1,"kcg3b",NA,3,"kcg3b"
"l2qpa",32,2,4,"zr4cn",-2,8,"kcg3b"
"lga63",4,2,NA,"lkbqv",28,3,"ot139"
"n8zo0",23,2,1,"i8d6m",49,2,"kcg3b"
"wua00",30,2,5,"kcg3b",NA,4,"kcg3b"
"x7tg3",44,2,7,"kcg3b",NA,8,"kcg3b"
"yu4bz",22,1,NA,"pghhn",52,6,"kcg3b"
"zi6mv",2,1,NA,"ylcke",18,1,"pvd50"
"jremh",48,2,1,"kcg3b",NA,5,"kcg3b"
"ha70v",4,2,NA,"lcbiv",33,4,"hs79i"
"gp8uf",11,2,NA,"gwstt",47,6,"kcg3b"
"lkcak",38,1,2,"kcg3b",NA,3,"kcg3b"
"lv8zv",14,1,NA,"mefgv",47,3,"kcg3b"
"hvrbu",8,2,NA,"cp5f1",25,3,"gb8uy"
"dz1eh",34,1,2,"kcg3b",NA,NA,"kcg3b"
"bz5bg",9,1,NA,"vc36j",32,5,"mhrog"
"atua8",4,1,NA,"zk30b",43,4,"kcg3b"
"ijivx",16,2,NA,"d69iw",41,5,"kcg3b"
"v7v97",39,2,6,"oamn5",68,5,"kcg3b"
"qjojh",32,1,2,"kcg3b",NA,4,"kcg3b"
"kodzk",13,2,NA,"krbcj",41,4,"juboz"
"tnm32",9,2,NA,"up3zr",35,3,"kcg3b"
"v0gp9",6,1,NA,"g6pe8",27,3,"rpn0v"
"thsyo",6,2,NA,"aa1dy",40,4,"kcg3b"
"x28pe",14,1,NA,"w55k9",38,6,"ncmc6"
"aenmt",0,1,NA,"lqepo",19,2,"rg33w"
"y1yq7",14,1,NA,"lc8pt",35,7,"uv0tj"
"a9i0c",55,1,6,"kcg3b",NA,5,"kcg3b"
"nojit",15,2,NA,"u3due",45,6,"e8ftb"
"z4szh",9,2,NA,"bb919",27,4,"suo8q"
"cctnd",43,1,9,"kcg3b",NA,5,"kcg3b"
"bnsjw",15,1,NA,"hgzqn",34,4,"zkvd5"
"k0fwz",17,2,2,"anoey",75,5,"kcg3b"
"awxxh",12,2,NA,"fp9ah",34,6,"rlt2t"
"njh1d",21,2,NA,"kcg3b",NA,NA,"kcg3b"
"xc0nr",1,1,NA,"svfdb",23,2,"vnre8"
"dm3ki",64,2,5,"kcg3b",NA,5,"kcg3b"
"zv2h2",28,2,2,"kcg3b",NA,3,"kcg3b"
"g0vlj",28,2,NA,"kcg3b",NA,NA,"kcg3b"
"gwrp4",13,1,NA,"kcg3b",NA,NA,"kcg3b"
"ak2zk",35,2,5,"k4gvv",58,5,"kcg3b"
"k4bjo",11,1,NA,"wmi5z",33,5,"fu1wq"
"zpf2y",30,2,0,"kcg3b",NA,NA,"kcg3b"
"lu6dt",10,2,NA,"ybn2q",32,2,"e5ov1"
"jj0h8",37,2,5,"kcg3b",NA,4,"kcg3b"
"rav7v",2,2,NA,"bb178",25,2,"ilfh2"
"row43",11,1,NA,"k9hxl",33,5,"ld42k"
"deoo5",42,2,2,"kcg3b",NA,2,"kcg3b"
"m1qci",11,2,NA,"pxrq4",37,4,"kcg3b"
"oyamp",55,1,5,"kcg3b",NA,4,"kcg3b"
"kb405",4,1,NA,"d1spv",28,3,"okixa"
"gtnu8",18,2,4,"kcg3b",NA,1,"kcg3b"
"ek7mm",27,1,2,"kcg3b",NA,NA,"kcg3b"
"zd0ng",75,1,5,"kcg3b",NA,4,"kcg3b"
"ol78n",27,1,2,"kcg3b",NA,6,"kcg3b"
"fobxp",29,2,1,"q3l5h",63,7,"kcg3b"
"n1fvl",25,1,0,"kcg3b",NA,NA,"kcg3b"
"e87w1",7,1,NA,"u36ys",22,4,"zohlh"
"expxn",33,1,1,"kcg3b",NA,5,"kcg3b"
"fh6bu",4,1,NA,"en1s0",25,3,"c3ixw"
"gbg2v",22,2,2,"kcg3b",NA,1,"kcg3b"
"rtfuh",45,2,8,"kcg3b",NA,2,"kcg3b"
"a0gj4",51,2,5,"kcg3b",NA,1,"kcg3b"
"yi2dt",17,1,NA,"frhrh",35,1,"kcg3b"
"sjx7s",22,1,NA,"rn6jr",62,7,"kcg3b"
"ltxo4",11,1,NA,"fw9fg",46,7,"sniww"
"uwbab",25,1,2,"kcg3b",NA,3,"kcg3b"
"e36eq",27,2,0,"kcg3b",NA,2,"kcg3b"
"e36gc",5,2,NA,"n9o3h",23,2,"fohuu"
"izdkf",5,1,NA,"ceynl",29,3,"fi1zb"
"i8d6m",49,2,2,"kcg3b",NA,4,"kcg3b"
"zpndh",24,1,1,"kcg3b",NA,3,"kcg3b"
"c1376",-2,1,2,"kcg3b",NA,1,"kcg3b"
"qjlza",2,1,NA,"wb6eb",30,6,"ekobx"
"nu0f5",27,1,2,"kcg3b",NA,1,"kcg3b"
"tkbar",33,2,4,"kcg3b",NA,5,"kcg3b"
"nt79j",11,2,NA,"sjigy",37,4,"kcg3b"
"gdhkj",25,1,NA,"mdbvm",49,3,"kcg3b"
"hxh29",10,1,NA,"y5mfj",46,9,"vgthu"
"g0x5g",35,2,6,"kcg3b",NA,6,"kcg3b"
"m2vim",7,1,NA,"z603v",31,8,"zcuoi"
"z3ws6",36,2,6,"h68ud",59,8,"hbosg"
"xwd8n",19,1,NA,"z603v",31,8,"zcuoi"
"og7pj",6,2,NA,"tyuem",23,3,"dlb7f"
"l30j4",5,1,NA,"fgjjm",36,3,"mhbuu"
"uj8u1",57,2,4,"kcg3b",NA,1,"kcg3b"
"pvyko",4,2,NA,"hzwf4",25,3,"cnrrf"
"l9caj",1,2,NA,"nub7y",23,2,"o7ywi"
"iw9vr",1,2,NA,"l3dym",27,5,"bc4hp"
"zgt8t",3,1,NA,"lt8fu",24,2,"wb51a"
"ddesm",13,1,NA,"kcg3b",NA,NA,"kcg3b"
"ojkfm",12,1,NA,"rg7ef",37,4,"exe4e"
"byxxg",40,2,7,"kcg3b",NA,8,"kcg3b"
"m58fh",13,2,NA,"xldkr",38,3,"kcg3b"
"vm4rv",36,2,4,"c7rai",67,10,"kcg3b"
"mhpfk",24,1,1,"kcg3b",NA,6,"kcg3b"
"fz36l",10,1,NA,"mjmco",49,7,"hxxnr"
"yow8h",60,1,8,"kcg3b",NA,1,"kcg3b"
"huas2",39,1,1,"kcg3b",NA,3,"kcg3b"
"ntz5u",33,2,3,"kcg3b",NA,5,"kcg3b"
"oatek",35,2,2,"kcg3b",NA,4,"kcg3b"
"asg7s",15,1,NA,"u1via",36,6,"kcg3b"
"ps1th",7,2,NA,"sngi4",41,5,"rar1p"
"pt36q",9,2,NA,"iiasz",31,4,"kcg3b"
"on0tc",16,1,NA,"rtfuh",45,8,"pfks5"
"fqgim",5,2,NA,"ccdar",27,3,"m69di"
"vflm1",27,1,NA,"tadaj",40,6,"kcg3b"
"vnd3b",4,2,NA,"kcg3b",NA,NA,"kcg3b"
"oasyb",11,1,NA,"byxxg",40,7,"j2dcv"
"esft7",11,2,NA,"xlzye",32,3,"pvs7m"
"is3qm",10,1,NA,"kcg3b",NA,NA,"kcg3b"
"i1ccu",5,2,NA,"qqagl",27,2,"hpwt8"
"mbhk2",14,2,NA,"bebdd",52,6,"kcg3b"
"ydx5q",8,1,NA,"q6ay3",32,3,"kcg3b"
"bh1o2",6,2,NA,"j1dz5",31,5,"cxh84"
"hfqgd",41,1,5,"kcg3b",NA,5,"kcg3b"
"k1lly",38,2,4,"kcg3b",NA,1,"kcg3b"
"jie7p",3,1,NA,"b1uqt",29,1,"asx24"
"f7bc4",13,2,NA,"anoey",75,5,"kcg3b"
"gji2j",29,1,3,"kcg3b",NA,4,"kcg3b"
"sitir",2,1,NA,"ymab3",22,2,"ek7mm"
"ozhqy",16,1,NA,"n37by",36,6,"ed1hz"
"d0e4u",10,2,NA,"wymvq",52,8,"v6ggc"
"jsfne",26,2,3,"kcg3b",NA,8,"kcg3b"
"umqdy",57,1,4,"kcg3b",NA,5,"kcg3b"
"icpbl",60,1,1,"kcg3b",NA,NA,"kcg3b"
"fhkz9",53,2,6,"kcg3b",NA,6,"kcg3b"
"a0edu",5,2,NA,"kcg3b",NA,NA,"kcg3b"
"x8kae",22,2,3,"kcg3b",NA,6,"kcg3b"
"qxv92",5,2,NA,"zwt2q",24,5,"csszb"
"gp8o6",14,1,NA,"oswqd",37,7,"feiq0"
