"id","sex","age","height","fid","mid"
"zwt40",1,"42.5",159,"a54s6","erfcv"
"swq4f",2,"24.9",149.2,"sts1q","q530l"
"w2li0",1,"36.7",155.2,"pp3ug","yw9e6"
"tjarg",2,"60.8",140.3,"ssrlg","f9mmx"
"umgxj",2,"38.3",144,"hoipd","nbdvk"
"hiaad",1,"34.9",149,"dfsxw","iwotm"
"pop14",1,"54.1",154.7,"tje5k","xiz1m"
"yv8lp",1,"76.3",149.2,"objqj","zbjve"
"dpays",1,"45.6",154,"bt2lk","jkkic"
"ko5h7",1,"45.0",160.4,"hoipd","nbdvk"
"dfsxw",1,"58.5",144,"s0bh0","tndl6"
"r2p4d",2,"26.1",NA,"mze3k","i5z44"
"tiu4d",1,"68.6",147,"s0bh0","tndl6"
"koohu",1,"23.5",157.9,"j0zlt","dh63n"
"o78ed",2,"34.3",148.4,"ov7il","thfh2"
"o7yow",1,"47.3",150.1,NA,NA
"yy34z",1,"47.1",146.7,"r317p","lfu36"
"vag24",2,"20.2",138.7,"y2cdx","qfq4s"
"eh7o5",2,"21.7",NA,"rbx4p","jkvkz"
"ujgk0",2,"58.1",141,"xdh34","t5w88"
"x72r9",2,"31.5",NA,"sts1q","q530l"
"ai7pa",2,"24.7",NA,"jxb70","dadmr"
"q94es",1,"42.1",152.5,"sra8x","zlpcl"
"c3ozv",2,"44.3",139.6,"mze3k","i5z44"
"v92ta",2,"34.9",139.4,"yv8lp","khsu3"
"pvays",2,"28.1",149.2,"may3q","q2d4z"
"hnh3s",1,"22.2",151.5,"vj9l7","lmuzm"
"sxlq3",1,"19.1",146.9,"jxb70","dadmr"
"b5h6j",2,"23.1",NA,"k9auq","uuelm"
"sra8x",1,"61.3",155,"xhg6j","e0b1j"
"p74cv",2,"20.7",NA,NA,NA
"gedma",1,"21.7",NA,"wldhj","kbsr4"
"rsf50",2,"26.4",143,"ijfrb","ms2tt"
"ujb9k",2,"20.9",NA,"mhb52","vr5h2"
"bjwga",1,"40.6",161.1,"hv584","k5kbh"
"krzs6",1,"21.9",NA,"i2sal","cpd6j"
"rtpec",1,"38.6",153.5,"k55q8","trbtq"
"dn8ul",2,"28.2",149.1,"sts1q","q530l"
"thfh2",2,"67.3",141.6,"xmjwu","ikvzm"
"er9n2",2,"41.3",141.9,"k55q8","trbtq"
"uno7d",1,"29.2",148.5,"ne8oj","o4evo"
"ug1zu",1,"25.2",163.5,"nynn6","ndejr"
"eb4f2",1,"19.9",153.1,"i2sal","cpd6j"
"ih81k",2,"27.8",146.6,"bdwb9","wackq"
"l8ce9",1,"38.5",153.5,"j3jnw","f0mm5"
"um7yo",2,"30.9",146.4,"t35ro","qfy91"
"yusg6",1,"47.9",146.9,"s0bh0","tndl6"
"jkvkz",2,"40.7",NA,"qd02a","ys4ei"
"x2djq",1,"70.0",150.5,"owq2p","tht8b"
"lmuzm",2,"47.4",138.8,"qd02a","ys4ei"
"pcsrm",1,"20.8",149.3,"k9auq","uuelm"
"uuelm",2,"48.7",136.2,"p5m7b","d1a7n"
"vg3s1",2,"19.6",145.9,"ko5h7","la3pd"
"yafn6",1,"22.3",152.6,"m1ht1","ib7kx"
"v0idb",2,"19.9",140.9,"ijfrb","ms2tt"
"ixxdr",1,"38.4",153.7,"pp3ug","yw9e6"
"gq9on",1,"37.8",159.9,"higde","dutee"
"jxt86",2,"25.7",NA,"lptct","cugoo"
"ls1xp",1,"28.7",NA,"mze3k","i5z44"
"low2x",2,"27.3",144,"sra8x","zlpcl"
"tl3sx",2,"23.6",NA,"iz0fl","t5rnq"
"ugcsf",1,"24.4",163.6,NA,NA
"trbtq",2,"60.2",139.2,"s0bh0","tndl6"
"p9ax9",2,"39.5",146.7,"tiu4d","tjarg"
