"id","age","sex","livestock","fid","agef","livestockf"
"hfe4o",37.5,"d",NA,"xh37n",67.5,34.5
"b2320",22.5,"s",5,"zwnva",72.5,499.200012207031
"wqyad",42.5,"d",NA,"xh37n",67.5,34.5
"kjv3w",42.5,"s",12.3999996185303,"t0esr",67.5,100.400001525879
"k34ai",32.5,"s",0.5,"elcev",62.5,13.8999996185303
"xczxl",42.5,"d",5,"gz5tt",72.5,64.6999969482422
"eeolu",22.5,"s",17,"jtw3m",42.5,39.4000015258789
"k2q03",27.5,"d",18,"cxsso",47.5,50.2000007629395
"czatg",17.5,"s",30,"mfg36",62.5,168.600006103516
"fjrek",52.5,"s",30,"gz5tt",72.5,64.6999969482422
"ucgm6",27.5,"s",4,"nszsd",72.5,116.800003051758
"s3fak",17.5,"s",24,"gz5tt",72.5,64.6999969482422
"tgobq",22.5,"d",NA,"bhaks",52.5,234.800003051758
"n9x0l",47.5,"s",7,"c3ztr",77.5,25.6000003814697
"b432p",32.5,"s",12,"cs37j",72.5,61.7999992370605
"milme",27.5,"d",NA,"i9p6g",47.5,105.199996948242
"kbumm",17.5,"s",1,"xb90n",42.5,0.5
"jjpo4",27.5,"d",NA,"e17h0",67.5,63.4000015258789
"wr1ko",27.5,"s",9,"xh37n",67.5,34.5
"e4lo1",22.5,"s",2,"qi939",47.5,2.70000004768372
"v9ud0",47.5,"d",NA,"nszsd",72.5,116.800003051758
"offnu",32.5,"s",12,"rsh3b",57.5,43.4000015258789
"e2eyh",17.5,"s",16.1000003814697,"kw245",37.5,37
"jk59g",17.5,"d",NA,"bhaks",52.5,234.800003051758
"hvvcx",22.5,"s",4,"cjd9x",37.5,16.2000007629395
"huysu",22.5,"s",4,"vo53y",42.5,14.1999998092651
"pyvk8",42.5,"d",NA,"t0esr",67.5,100.400001525879
"kwoeg",27.5,"d",26,"xa858",57.5,276.399993896484
"lwjnv",47.5,"d",34.9000015258789,"t0esr",67.5,100.400001525879
"r446t",37.5,"d",NA,"him0j",67.5,19
"g9e8m",22.5,"s",NA,"n0l98",37.5,3.70000004768372
"tmy9r",27.5,"d",NA,"bhaks",52.5,234.800003051758
"l54dx",32.5,"s",NA,"rrzmd",62.5,275.399993896484
"lz3df",17.5,"d",NA,"gh0kj",67.5,66.5
"bhchj",27.5,"s",2,"qi939",47.5,2.70000004768372
"m26re",37.5,"d",11,"ij4r2",57.5,77.1999969482422
"okcni",37.5,"d",70,"c7e2l",77.5,249
"ynn1r",32.5,"s",8,"jkua7",42.5,16.3999996185303
"eucje",42.5,"d",NA,"c7e2l",77.5,249
"ijlhs",22.5,"s",10,"uxm5x",37.5,34.9000015258789
"a9qgg",52.5,"d",NA,"c3ztr",77.5,25.6000003814697
"l9qze",22.5,"s",20,"bolzd",52.5,115
"vsu6j",27.5,"d",NA,"b7ofy",47.5,22
"jyrcv",32.5,"d",NA,"e17h0",67.5,63.4000015258789
"kg1hf",27.5,"s",10,"wr1vm",52.5,13.5
"ogzvl",17.5,"s",4,"c3ztr",77.5,25.6000003814697
"nn380",27,"s",25,"cs37j",72.5,61.7999992370605
"y194t",32.5,"s",24,"mkdc1",57.5,44
"zccfp",17.5,"s",4,"him0j",67.5,19
"fng27",27.5,"d",10,"e17h0",67.5,63.4000015258789
"vrus1",32.5,"d",NA,"qi939",47.5,2.70000004768372
"ubqni",52.5,"s",24,"t40eg",82.5,8.39999961853027
"oblqm",17.5,"s",3,"i1ogn",37.5,12.3999996185303
"e7n4r",22.5,"s",6,"ofagd",57.5,38
"btlgw",27.5,"d",0.5,"i9p6g",47.5,105.199996948242
"o9kiw",27.5,"s",10,"i54xq",47.5,22.2000007629395
"z8cfg",27,"s",20,"cs37j",72.5,61.7999992370605
"szzsx",32.5,"d",20,"y69kv",62.5,51.9000015258789
"iku8b",47.5,"s",0.5,"t40eg",82.5,8.39999961853027
"bpk2p",32.5,"s",10,"him0j",67.5,19
"lz4qp",22.5,"s",NA,"n0l98",37.5,3.70000004768372
"gb6bt",22.5,"d",22.7000007629395,"t0esr",67.5,100.400001525879
"g0vr2",32.5,"s",4,"e17h0",67.5,63.4000015258789
"r8qgd",47.5,"s",16,"e17h0",67.5,63.4000015258789
"q7pav",32.5,"d",8,"c3ztr",77.5,25.6000003814697
"pddbt",32.5,"s",16,"dex7o",52.5,75.6999969482422
"u0b4w",42.5,"d",NA,"t0esr",67.5,100.400001525879
