"RP_INC_LOG","HP_INC_LOG","CF_INC_LOG","RF_AGE","RF_AGE_DEATH","RF_YRS_SINCE_DEATH","RM_AGE","RM_AGE_DEATH","RM_YRS_SINCE_DEATH","HF_AGE","HF_AGE_DEATH","HF_YRS_SINCE_DEATH","HM_AGE","HM_AGE_DEATH","HM_YRS_SINCE_DEATH","HUS_AGE","RESP_AGE"
12.5061772379805,9.10497985631836,9.89343721668263,55,NA,NA,50,NA,NA,NA,52,9,52,NA,NA,27,28
11.7610347623022,NA,9.39266192877014,62,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
10.6454248972655,NA,11.0974100210086,NA,67,24,NA,55,8,NA,66,20,NA,57,15,50,40
10.6454248972655,8.29404964010203,11.6952470217642,100,NA,NA,90,NA,NA,NA,95,20,NA,85,10,60,56
9.68034400122192,8.51719319141624,10.3089526606443,NA,70,12,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
11.0348896640272,NA,NA,55,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
NA,8.69951474821019,9.7981270368783,NA,40,37,75,NA,NA,NA,60,19,NA,55,7,50,44
10.4912742174382,10.6454248972655,10.8967393255464,60,NA,NA,50,NA,NA,65,NA,NA,54,NA,NA,40,37
NA,NA,9.90348755253613,NA,70,15,80,NA,NA,NA,55,38,NA,45,40,NA,57
11.982929094216,11.289781913656,11.0666383623418,80,NA,NA,NA,25,45,NA,85,12,NA,80,1,65,49
NA,NA,NA,NA,80,12,NA,70,7,NA,60,35,NA,80,15,75,50
11.8204101647182,11.6082356447746,12.1007121298723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
10.4912742174382,11.0020998412042,10.77895628989,75,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
9.61580548008435,11.982929094216,12.3883942023241,NA,67,10,62,NA,NA,NA,55,4,54,NA,NA,31,28
12.4090134895269,10.5966347330961,11.0020998412042,NA,67,3,64,NA,NA,70,NA,NA,NA,58,8,37,28
11.8844890214027,NA,NA,46,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
8.51719319141624,NA,10.77895628989,NA,65,20,60,NA,NA,NA,70,11,60,NA,NA,36,34
NA,8.98719682066197,10.9508065468167,NA,NA,38,NA,67,30,NA,NA,NA,NA,NA,NA,73,63
8.13153071060425,NA,NA,67,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
11.1562505210315,9.21034037197618,9.90348755253613,75,NA,NA,70,NA,NA,90,NA,NA,NA,40,48,50,38
8.79482492801452,7.9373746961633,10.2255710517052,NA,63,16,NA,37,24,NA,70,12,NA,58,10,67,51
10.3734911817819,10.1266311038503,11.6952470217642,NA,70,15,NA,65,8,NA,NA,NA,NA,NA,NA,NA,60
8.00636756765025,NA,11.0020998412042,NA,75,6,NA,60,5,NA,NA,NA,NA,NA,NA,NA,60
NA,NA,9.90348755253613,NA,70,30,NA,55,15,NA,75,35,NA,35,23,69,62
10.0858091093301,7.78322401633604,10.360912399575,68,NA,NA,57,NA,NA,NA,NA,NA,67,NA,NA,38,26
NA,NA,NA,90,NA,NA,80,NA,NA,NA,98,3,NA,45,30,65,64
10.3089526606443,10.8780471925343,9.39266192877014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
10.77895628989,NA,11.8775685785581,80,NA,NA,75,NA,NA,NA,82,13,85,NA,NA,50,42
12.2060726455302,11.0020998412042,11.0020998412042,78,NA,NA,72,NA,NA,75,NA,NA,67,NA,NA,36,29
8.29404964010203,8.98719682066197,10.0858091093301,NA,72,17,70,NA,NA,NA,67,30,NA,50,34,69,51
9.21034037197618,NA,NA,NA,50,40,85,NA,NA,NA,70,30,NA,65,25,60,56
9.90348755253613,NA,9.7981270368783,NA,45,19,NA,39,20,NA,NA,NA,NA,NA,NA,NA,23
11.7360690162844,NA,10.7363966754712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
9.39266192877014,NA,11.6952470217642,NA,75,5,80,NA,NA,NA,NA,NA,NA,NA,NA,36,28
11.3385720778255,NA,9.21034037197618,NA,68,9,70,NA,NA,NA,85,18,NA,65,20,70,58
9.90348755253613,NA,12.3883942023241,69,NA,NA,55,NA,NA,NA,70,15,64,NA,NA,34,23
7.09007683577609,8.69951474821019,12.3883942023241,82,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
NA,NA,11.0666383623418,85,NA,NA,NA,65,7,NA,105,11,NA,80,11,59,47
10.7363966754712,NA,NA,45,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
10.1023384112813,9.91837616502988,10.96992094284,74,NA,NA,68,NA,NA,75,NA,NA,58,NA,NA,34,31
NA,NA,11.1844213979982,NA,NA,45,90,NA,NA,NA,90,1,NA,85,2,50,43
NA,NA,11.6952470217642,NA,65,40,NA,80,1,NA,50,45,NA,40,38,58,48
NA,10.77895628989,11.47210347045,100,NA,NA,NA,60,2,NA,75,4,80,NA,NA,60,50
NA,NA,7.60090245954208,NA,70,33,NA,60,35,NA,NA,NA,NA,NA,NA,73,41
10.3089526606443,NA,8.98719682066197,55,NA,NA,40,NA,NA,NA,80,4,NA,75,NA,30,25
11.6439537273766,9.90348755253613,11.8775685785581,48,NA,NA,41,NA,NA,NA,95,1,80,NA,NA,34,41
NA,NA,11.4727907342301,NA,65,19,75,NA,NA,NA,115,3,90,NA,NA,53,46
NA,NA,NA,85,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
11.4616321705827,NA,11.6952470217642,88,NA,NA,80,NA,NA,NA,NA,3,70,NA,NA,50,48
9.90348755253613,10.1266311038503,11.7752897294377,NA,85,4,75,NA,NA,NA,60,24,NA,NA,NA,65,66
NA,NA,9.74096862303835,NA,55,15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
8.00636756765025,NA,9.68034400122192,NA,65,10,NA,48,4,NA,NA,NA,NA,NA,NA,NA,52
10.8395809117065,10.9331069697173,11.0508900053737,NA,50,10,55,NA,NA,75,NA,NA,60,NA,NA,36,29
10.6919449129004,10.77895628989,11.1844213979982,NA,68,22,NA,58,25,NA,76,15,NA,86,NA,58,46
NA,NA,10.0858091093301,70,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,35,32
10.4912742174382,NA,12.1007121298723,70,NA,NA,43,NA,NA,95,NA,NA,70,NA,NA,NA,24
8.98719682066197,NA,8.47637119689598,NA,70,16,60,NA,NA,NA,80,14,NA,70,7,50,43
9.61580548008435,NA,NA,NA,NA,30,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,60
NA,NA,10.3089526606443,75,NA,NA,60,NA,NA,NA,70,12,70,NA,NA,45,35
10.8197782844103,10.4912742174382,11.1272629841582,60,NA,NA,50,NA,NA,NA,80,5,76,NA,NA,41,28
11.0020998412042,9.39266192877014,11.1844213979982,75,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
12.3883942023241,11.6952470217642,12.3883942023241,55,NA,NA,45,NA,NA,58,NA,NA,50,NA,NA,26,25
9.90348755253613,10.1266311038503,10.9681982895286,NA,90,10,90,NA,NA,NA,70,30,NA,75,18,NA,49
NA,NA,10.0858091093301,NA,54,38,NA,64,2,NA,57,15,NA,70,2,68,54
12.1007121298723,NA,NA,58,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
8.00636756765025,NA,9.40919123072135,NA,99,5,NA,35,50,NA,45,50,NA,25,52,65,64
10.6454248972655,10.4912742174382,10.9937315915337,80,NA,NA,NA,45,36,85,NA,NA,NA,70,5,52,44
9.61580548008435,NA,10.1266311038503,NA,75,20,NA,90,7,NA,62,45,NA,95,11,NA,54
8.98719682066197,NA,10.8967393255464,51,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
11.0186291431554,11.0020998412042,11.0020998412042,55,NA,NA,45,NA,NA,78,NA,NA,57,NA,NA,38,27
9.90348755253613,12.1547793511426,11.7360690162844,80,NA,NA,NA,70,7,NA,NA,11,85,NA,NA,NA,49
10.8197782844103,10.8197782844103,10.5966347330961,NA,75,27,85,NA,NA,NA,75,27,NA,80,4,60,49
NA,NA,10.8780471925343,75,NA,NA,NA,60,4,NA,50,70,NA,40,60,NA,58
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
NA,11.7440371859336,11.6952470217642,50,NA,NA,39,NA,NA,75,NA,NA,60,NA,NA,39,24
10.5453414387085,10.3089526606443,12.7938593104323,75,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
10.4912742174382,10.77895628989,11.4075649493124,NA,55,32,90,NA,NA,NA,80,10,NA,56,40,50,42
10.1266311038503,9.51044496442652,11.1844213979982,55,NA,NA,45,NA,NA,78,NA,NA,NA,NA,18,31,33
11.0020998412042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
10.9681982895286,NA,NA,48,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
NA,NA,NA,NA,60,30,NA,75,5,NA,NA,NA,NA,50,30,NA,59
NA,NA,12.2830336866663,75,NA,NA,65,NA,NA,NA,NA,NA,NA,60,28,60,50
