"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"ilksk",0,31,NA,24,20,4,"vjk8z",92,3,75,100,29,FALSE
"wwupa",0,50,2,24,18,5,"z68w8",79,1,30,32,20,FALSE
"enxuy",1,11,NA,NA,NA,NA,"ls6vw",84,3,70,90,24,FALSE
"o83oc",0,21,NA,NA,NA,NA,"hi02h",84,4,150,300,41,FALSE
"epl7m",0,37,NA,6,18,7,"ycewa",73,0,10,15,11,FALSE
"iccyv",1,34,NA,4,5,6,"uudcs",78,1,45,20,16,FALSE
"e1rdl",1,51,1,40,7,9,"mdy6x",85,3,110,100,32,FALSE
"bvexo",0,58,1,14,10,6,"mdy6x",85,3,110,100,32,FALSE
"m2klb",1,78,NA,60,70,31,NA,NA,NA,NA,NA,NA,FALSE
"keqdu",0,35,1,10,12,5,"lnlna",75,3,100,50,17,FALSE
"xphrb",0,32,NA,8,6,3,"lnlna",75,3,100,50,17,FALSE
"elg6q",1,41,NA,7,4,9,"z68w8",79,1,30,32,20,FALSE
"xwbhk",0,35,1,14,10,3,"mi8au",90,2,110,160,31,FALSE
"c1n75",1,62,1,31,8,11,"mi8au",90,2,110,160,31,FALSE
"rfzgi",1,17,NA,NA,NA,NA,"uaf9m",80,1,60,55,14,FALSE
"g31ke",0,36,NA,20,18,7,"hi02h",84,4,150,300,41,FALSE
"xr8gf",1,49,NA,38,25,12,NA,NA,NA,NA,NA,NA,FALSE
"okgi2",1,40,NA,7,6,8,"j9eh9",74,0,30,33,13,FALSE
"v65oc",1,84,4,150,300,41,NA,NA,NA,NA,NA,NA,TRUE
"qfa1j",0,41,0,6,8,4,"heo0y",68,3,125,160,26,FALSE
"ga0jc",1,35,NA,12,15,5,"yareh",73,3,95,120,12,FALSE
"i1n9t",1,35,NA,13,14,6,NA,NA,NA,NA,NA,NA,FALSE
"ual82",0,41,NA,4,4,5,"ntlb9",73,0,35,20,22,FALSE
"xa10k",0,33,1,18,12,0,"qz761",66,1,40,25,10,FALSE
"f0z5x",1,45,1,6,4,5,"nux05",77,1,35,30,14,FALSE
"vzj1o",0,37,NA,4,6,5,"j9eh9",74,0,30,33,13,FALSE
"npwdx",1,39,NA,6,5,7,NA,NA,NA,NA,NA,NA,FALSE
"wm0fj",1,53,NA,3,4,8,"nux05",77,1,35,30,14,FALSE
"s318n",0,43,NA,NA,NA,NA,"lnlna",75,3,100,50,17,FALSE
"juarh",1,45,2,12,4,8,NA,NA,NA,NA,NA,NA,FALSE
"szqd8",1,41,0,14,6,8,"qz761",66,1,40,25,10,FALSE
"mtkc3",1,32,NA,5,4,10,NA,NA,NA,NA,NA,NA,FALSE
"lb8dp",1,43,NA,9,5,6,NA,NA,NA,NA,NA,NA,FALSE
"a6ln5",1,73,0,35,20,22,NA,NA,NA,NA,NA,NA,TRUE
"x9i4g",0,30,NA,5,6,6,NA,NA,NA,NA,NA,NA,FALSE
"rwx5h",1,19,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"rjpw8",0,34,NA,4,2,4,"zxfs0",90,1,12,20,23,FALSE
"ms39m",1,47,NA,11,17,5,"hi02h",84,4,150,300,41,FALSE
"isl3m",1,35,NA,10,13,4,"heo0y",68,3,125,160,26,FALSE
"phohd",0,54,3,9,14,10,NA,NA,NA,NA,NA,NA,FALSE
"xbxjy",1,41,2,3,3,2,NA,NA,NA,NA,NA,NA,FALSE
"cgkxa",1,66,2,23,7,4,"mi8au",90,2,110,160,31,TRUE
"tfkfi",1,75,3,100,50,17,NA,NA,NA,NA,NA,NA,TRUE
"q10jx",1,31,1,16,15,3,"yareh",73,3,95,120,12,FALSE
"ww59r",0,31,NA,6,15,8,NA,NA,NA,NA,NA,NA,FALSE
"vdvk8",1,36,NA,5,4,12,NA,NA,NA,NA,NA,NA,FALSE
"rk33k",0,43,NA,11,7,7,NA,NA,NA,NA,NA,NA,FALSE
"o98jt",0,57,NA,6,4,2,"pdszl",83,0,20,20,14,FALSE
"hk3vg",0,30,NA,5,6,6,NA,NA,NA,NA,NA,NA,FALSE
"bz9n8",1,44,0,18,5,6,"dzg2c",87,2,60,45,21,FALSE
"iiqaw",1,60,NA,38,20,16,NA,NA,NA,NA,NA,NA,TRUE
"r5q77",0,36,0,10,4,5,"sigh5",85,0,55,70,21,FALSE
"sc8b8",1,53,0,15,40,14,NA,NA,NA,NA,NA,NA,FALSE
"uhcmd",1,41,2,10,11,8,"mi8au",90,2,110,160,31,FALSE
"rlz26",1,73,0,10,15,11,NA,NA,NA,NA,NA,NA,TRUE
"xm0ji",0,51,NA,6,2,5,"fiaob",93,2,70,150,25,FALSE
"nsp2e",0,37,0,10,6,4,"sigh5",85,0,55,70,21,FALSE
"i6gs7",0,73,NA,3,5,7,NA,NA,NA,NA,NA,NA,FALSE
"s6wva",1,55,1,16,17,9,"hi02h",84,4,150,300,41,FALSE
"ah857",1,42,NA,9,4,7,"sp0dp",76,1,45,20,9,FALSE
"qj9wq",0,34,NA,6,10,5,"hi02h",84,4,150,300,41,FALSE
"z9c26",1,83,0,20,20,14,NA,NA,NA,NA,NA,NA,TRUE
"yb63v",1,81,NA,50,62,26,NA,NA,NA,NA,NA,NA,FALSE
"zzujl",0,77,NA,4,6,7,NA,NA,NA,NA,NA,NA,TRUE
"gst9j",1,55,2,35,7,9,"mdy6x",85,3,110,100,32,FALSE
"min7b",0,17,NA,NA,NA,NA,"ls6vw",84,3,70,90,24,FALSE
"h41yb",0,32,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"x9i8a",0,61,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"ksp01",1,31,NA,NA,NA,NA,"j9eh9",74,0,30,33,13,FALSE
"v0x3g",0,50,NA,6,8,8,"sigh5",85,0,55,70,21,FALSE
"b5en0",1,58,1,11,5,8,"dzg2c",87,2,60,45,21,FALSE
"qn6ku",1,44,NA,7,4,9,"nux05",77,1,35,30,14,FALSE
"vn403",0,49,NA,6,4,2,"mdy6x",85,3,110,100,32,FALSE
"cbu2u",0,41,1,5,5,5,NA,NA,NA,NA,NA,NA,FALSE
"tn0i2",1,44,1,30,11,10,"lnlna",75,3,100,50,17,FALSE
"yua8m",1,37,NA,3,3,5,"zgl66",71,2,35,30,24,FALSE
"c94uo",1,44,NA,14,13,5,"heo0y",68,3,125,160,26,FALSE
"kw3wl",1,35,NA,2,2,8,NA,NA,NA,NA,NA,NA,FALSE
"j51bf",0,37,0,4,8,6,"mi8au",90,2,110,160,31,FALSE
"lsix5",0,27,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"c2tno",0,53,NA,NA,NA,NA,"hi02h",84,4,150,300,41,FALSE
"n267a",1,33,2,10,11,1,"lnlna",75,3,100,50,17,FALSE
"x2nhg",0,63,2,10,14,11,"fiaob",93,2,70,150,25,FALSE
"w6fjg",1,42,0,11,7,11,"vjk8z",92,3,75,100,29,FALSE
"do3y9",1,58,1,12,15,6,NA,NA,NA,NA,NA,NA,TRUE
"vwpka",0,34,NA,14,10,5,"hi02h",84,4,150,300,41,FALSE
"xmels",1,36,NA,8,4,7,NA,NA,NA,NA,NA,NA,FALSE
"yu9f2",0,21,NA,NA,NA,NA,"qz761",66,1,40,25,10,FALSE
"g12jb",0,42,1,12,10,4,"dzg2c",87,2,60,45,21,FALSE
"x0ke3",1,44,NA,9,7,6,NA,NA,NA,NA,NA,NA,FALSE
"yeq8a",0,30,NA,4,4,2,"yareh",73,3,95,120,12,FALSE
"jtzzl",1,60,NA,55,45,10,NA,NA,NA,NA,NA,NA,TRUE
"nlkgu",1,40,NA,3,3,13,NA,NA,NA,NA,NA,NA,FALSE
"ad08j",1,33,NA,NA,NA,NA,"pdszl",83,0,20,20,14,FALSE
"k6tk0",0,39,NA,NA,NA,NA,"ls6vw",84,3,70,90,24,FALSE
"diddt",0,56,NA,NA,NA,NA,"mi8au",90,2,110,160,31,FALSE
"t8yhs",0,36,NA,NA,NA,NA,"hi02h",84,4,150,300,41,FALSE
"q0ur7",1,50,NA,10,3,9,"pdszl",83,0,20,20,14,FALSE
"bxkpv",0,23,NA,NA,NA,NA,"z68w8",79,1,30,32,20,FALSE
"xrzsk",0,36,2,10,20,8,"ntlb9",73,0,35,20,22,FALSE
"qb8jg",1,42,NA,2,3,9,"uudcs",78,1,45,20,16,FALSE
"lj9xz",1,47,NA,10,5,4,NA,NA,NA,NA,NA,NA,FALSE
"frx1w",0,36,NA,8,12,6,"j9eh9",74,0,30,33,13,FALSE
"xgbm0",0,45,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"wv1f9",1,38,NA,4,6,5,"ycewa",73,0,10,15,11,FALSE
"nc7vf",0,54,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"f9efv",0,36,NA,6,4,6,"dzg2c",87,2,60,45,21,FALSE
"q8k0i",1,33,1,15,15,19,"yareh",73,3,95,120,12,FALSE
"k5eon",1,63,2,54,40,21,NA,NA,NA,NA,NA,NA,TRUE
"hhrhm",0,28,NA,NA,NA,NA,"z68w8",79,1,30,32,20,FALSE
"k77tz",1,51,NA,11,10,7,"mi8au",90,2,110,160,31,FALSE
"rphxf",0,53,0,14,16,9,"pdszl",83,0,20,20,14,FALSE
"xfg02",0,33,NA,8,4,4,"ls6vw",84,3,70,90,24,FALSE
"hmd2b",1,48,NA,1,2,7,"wmcef",79,0,20,45,23,FALSE
"hferr",1,63,2,85,80,13,NA,NA,NA,NA,NA,NA,TRUE
"uroz1",0,39,NA,4,5,5,"sigh5",85,0,55,70,21,FALSE
"od0ot",0,15,NA,NA,NA,NA,"ls6vw",84,3,70,90,24,FALSE
"zaspc",1,66,1,40,25,10,NA,NA,NA,NA,NA,NA,TRUE
"o4sd6",0,36,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"hknaf",0,56,NA,10,12,3,"vjk8z",92,3,75,100,29,FALSE
"p9bv3",0,39,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"ei01z",0,43,NA,4,6,9,"sigh5",85,0,55,70,21,FALSE
"sftup",0,74,0,5,7,9,NA,NA,NA,NA,NA,NA,FALSE
"gx4hi",1,56,NA,17,16,5,"fiaob",93,2,70,150,25,FALSE
"qhvg4",1,42,NA,7,17,7,"hi02h",84,4,150,300,41,FALSE
"yiyp7",1,63,3,90,60,24,NA,NA,NA,NA,NA,NA,TRUE
"bs4cz",1,44,NA,4,6,12,"j9eh9",74,0,30,33,13,FALSE
"t5dyt",1,60,NA,11,15,9,"fiaob",93,2,70,150,25,FALSE
"qeqe9",0,45,NA,10,4,3,"uudcs",78,1,45,20,16,FALSE
"mje4o",0,36,0,12,6,7,"zgl66",71,2,35,30,24,FALSE
"wl91j",0,32,NA,8,18,4,"ls6vw",84,3,70,90,24,FALSE
"fmgaz",1,54,NA,6,5,4,"dzg2c",87,2,60,45,21,FALSE
"anb2x",0,18,NA,NA,NA,NA,"zxfs0",90,1,12,20,23,FALSE
"c4vt2",0,39,NA,NA,NA,NA,"nux05",77,1,35,30,14,FALSE
"zl7lz",0,39,0,10,6,7,"zxfs0",90,1,12,20,23,FALSE
"qf7mc",1,51,NA,7,4,8,"z68w8",79,1,30,32,20,FALSE
"z5kq5",0,36,NA,6,10,5,"wmcef",79,0,20,45,23,FALSE
"r5as1",0,32,NA,6,8,5,"qz761",66,1,40,25,10,FALSE
"lrrra",1,31,2,7,15,8,"sigh5",85,0,55,70,21,FALSE
"g7u3z",0,43,0,12,6,7,"zgl66",71,2,35,30,24,FALSE
"piqfb",1,36,NA,5,4,6,NA,NA,NA,NA,NA,NA,FALSE
"f5ig7",0,20,NA,NA,NA,NA,"z68w8",79,1,30,32,20,FALSE
