"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"ppzwu",0,33,NA,10,20,6,"uudcs",78,1,45,20,16,FALSE
"lrv3n",0,21,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"iqyf6",0,21,NA,NA,NA,NA,"wmcef",79,0,20,45,23,FALSE
"kxj2j",1,85,0,55,70,21,NA,NA,NA,NA,NA,NA,TRUE
"g38p1",1,58,2,45,52,14,NA,NA,NA,NA,NA,NA,TRUE
"gipug",1,73,3,95,120,12,NA,NA,NA,NA,NA,NA,TRUE
"sob03",1,78,3,100,100,23,NA,NA,NA,NA,NA,NA,FALSE
"d5e94",1,87,2,60,45,21,NA,NA,NA,NA,NA,NA,TRUE
"zzhgj",1,34,NA,2,2,9,NA,NA,NA,NA,NA,NA,FALSE
"uqx0a",1,44,NA,11,7,9,"vjk8z",92,3,75,100,29,FALSE
"zzfs2",1,47,NA,38,7,9,NA,NA,NA,NA,NA,NA,FALSE
"lbhhq",0,53,NA,NA,NA,NA,"pdszl",83,0,20,20,14,FALSE
"u16ks",1,42,NA,4,5,6,NA,NA,NA,NA,NA,NA,FALSE
"vx5oj",1,38,NA,2,5,10,"sigh5",85,0,55,70,21,FALSE
"p7uia",1,49,NA,4,4,5,"z68w8",79,1,30,32,20,FALSE
"yq3dv",0,48,NA,5,5,8,NA,NA,NA,NA,NA,NA,FALSE
