"id","sex","age","rs","fid","mid"
"z26qy",2,"38.3",5,"wbfl4","rzilg"
"piwqk",1,"80.7",4,"xijtl","i423a"
"gnry6",2,"22.3",0,"hl7qs","f1bvp"
"v872h",2,"20.2",0,"xes7k","i0y0q"
"xlee8",1,"26.1",0,"sw3lp","zqhs8"
"joocy",1,"34.9",4,"bh2vw","jmw13"
"znfyj",2,"44.0",6,"wbfl4","rzilg"
"azuf7",1,"23.8",1,"jc77z","eyzt4"
"py2py",2,"63.0",9,"oojgc","ira7p"
"nbwn8",1,"24.7",0,"k3myx","hgy8b"
"l0b6v",2,"27.8",3,"v2ttr","dr99y"
"n9vdj",1,"69.9",7,"e4zuf","bwo8l"
"vk0ux",1,"50.5",0,"akazv","j1ggy"
"zrz11",1,"30.0",2,"ff0if","thijm"
"tu0bj",1,"49.4",6,"f2zng","eq45w"
"npppy",2,"24.7",2,"m759l","oz99x"
"fjqcj",2,"19.4",0,"t91b5","fqgw8"
"fk28m",1,"20.8",0,"qe4pf","v7rru"
"xyjm0",1,"42.1",2,"asbyd","wea58"
"s3hna",2,"38.8",0,"dlnwe","py2py"
"owisa",1,"76.3",7,"xijtl","i423a"
"f2zng",1,"61.0",5,"su46c","y46p7"
"zg243",2,"18.3",0,"ilmfz","jj6xx"
"zezqr",1,"40.7",0,"asbyd","wea58"
"sw3lp",1,"46.3",7,"gk4uc","g846x"
"g8fa1",2,"49.4",4,"f2zng","eq45w"
"evjeo",2,"46.1",5,"x0x2u","zpznx"
"bh2vw",1,"58.5",8,"m069x","neshn"
"peyl5",2,"31.7",NA,"vrves","zg89p"
"m069x",1,"74.0",9,"lt7um","dvkxd"
"yibq7",1,"19.9",1,"jv3dg","tp5as"
"ov9ns",1,"56.1",8,"wknl2","grodx"
"qq0qm",1,"25.2",0,"sdc49","znfyj"
"ad12t",2,"18.1",0,"qe4pf","v7rru"
"fa7k8",1,"65.0",7,"qip65","wwgfx"
"neh9h",1,"26.2",2,"z4fs5","c9281"
"fmjck",1,"86.7",5,"y4rcc","rvcr0"
"dyzfa",2,"57.1",4,"dguv4","rdwc7"
"mni1t",2,"31.6",0,"qjeh0","qtnyw"
"smzk7",2,"38.7",2,"dlnwe","py2py"
"mp99o",1,"47.3",5,NA,NA
"vnig6",1,"20.0",0,"rz82v","klm26"
"julze",1,"22.3",0,"sw3lp","zqhs8"
"thijm",2,"67.3",10,"vldzu","aw0o3"
"tp5as",2,"43.4",8,"owisa","b3ziq"
"ralfv",2,"37.1",3,NA,NA
"jv3dg",1,"43.9",8,"m069x","neshn"
"eyzt4",2,"46.3",13,"cn2zb","pg214"
"s27pb",2,"20.7",1,NA,NA
"cn2zb",1,"78.1",6,"dci2b","vdrsw"
"iob7c",1,"51.3",3,"n9vdj","x1ih6"
"f1bvp",2,"46.6",10,"piwqk","a3vpm"
"vcfez",1,"#REF!",0,"tnli7","sspbj"
"j9avy",1,"40.6",4,"k1xnk","d9ibi"
"j1ggy",2,"85.0",2,"wpgch","wdhz4"
"pg2bl",2,"26.1",NA,"dlnwe","py2py"
"fa9f1",2,"25.7",0,"ilmfz","jj6xx"
"o7opo",2,"41.9",2,"ff0if","thijm"
"hqfgs",2,"49.0",3,"irugv","c618m"
"yfgdf",2,"50.5",8,"piwqk","a3vpm"
"dk30f",2,"48.6",5,"piwqk","a3vpm"
"sdc49",1,"45.5",6,"f2zng","eq45w"
"rffu8",1,"24.1",0,"ilmfz","jj6xx"
"w1l38",2,"60.8",6,"e4zuf","bwo8l"
