"id","sex","age","weight","fid","mid"
"j1nbq",1,"20.0",56.3,"keojj","hoxm0"
"bkpbh",2,"33.8",60.9,"u6r7b","u8y2s"
"pq85u",2,"22.9",43.4,"kt74u","utzss"
"bc99k",2,"27.3",44.2,"wobat","rfczg"
"nfyce",2,"37.1",67.8,"kt74u","utzss"
"h77bt",1,"53.3",67.5,"fjrkq","hb7kw"
"o0gar",1,"52.8",54.9,"fjrkq","hb7kw"
"p0k4t",1,"19.9",NA,"uol70","p4rca"
"ys391",1,"59.7",71.7,"dxvjr","bbiia"
"rl7jy",1,"56.3",43.2,"badz3","l88oj"
"uol70",1,"51.0",54.9,"qdgnm","apx76"
"c4xp6",1,"29.7",59,"keojj","hoxm0"
"zcix4",1,"23.0",NA,"j73z5","hz7vg"
"s437p",2,"34.7",NA,"lco18","c2hy0"
"q8mpt",1,"65.0",62.6,"ht8q5","kh3l9"
"ja0zu",1,"19.7",NA,"u6r7b","u8y2s"
"lwugc",2,"85.0",42.8,"ch0ok","cenxn"
"ch2an",2,"55.0",58.1,"ajzmk","j9204"
"aydko",1,"21.9",NA,"svrof","c5tv4"
"j6j4a",1,"23.5",62,"yyfaj","xv1g3"
"a429v",1,"34.9",63.2,"gieui","ufb3f"
"gieui",1,"58.5",48.6,"dxvjr","bbiia"
"s93mt",1,"69.9",76.1,"ooh1d","dtv3m"
"bhgk5",1,"41.8",52.2,"grso8","ch2an"
"f12jg",2,"20.7",NA,NA,NA
"onxq5",1,"39.1",69.7,"f6uo6","b1kdz"
"y44aa",1,"20.8",47.9,"pbdiw","afy2x"
"vfo5y",1,"50.3",62.5,"rl7jy","s69q4"
"u0ck7",2,"25.0",NA,"lco18","c2hy0"
"xhpwr",2,"19.4",48.7,"ys391","t69zd"
"ddwuu",2,"39.9",53.4,"frf8b","woytm"
"onoxc",2,"67.3",44.7,"iorvf","ec85a"
"gpplb",2,"27.8",52.5,NA,NA
"t976a",2,"54.1",54.8,"q8mpt","st4kv"
"wx7am",1,"25.2",NA,"jq227","cg7vl"
"iks64",1,"19.9",62.5,"svrof","c5tv4"
"hoxm0",2,"50.7",78.9,"f6uo6","b1kdz"
"ahssb",1,"46.5",69.2,"mdwef","onoxc"
"sa8am",2,"28.2",73.3,"y4h1b","d8ijc"
"n6wzd",2,"45.7",55.3,NA,"zrskb"
"dasuv",2,"43.7",63.2,"s3jhl","qd2d8"
"elar3",1,"36.0",83.3,"ys391","t69zd"
"r7qjl",2,"46.3",55.3,"ktmr6","tdamr"
"u6r7b",1,"56.1",56.3,"an79l","h5fzz"
"d2h54",1,"46.3",54.5,"frf8b","woytm"
"rfkzv",1,"20.9",62,"d2h54","g4zq4"
"xa4dz",2,"20.2",46.4,"o0gar","xi57y"
"u65y3",2,"25.1",43.7,"kj128","pdi5v"
"e4fbp",2,"63.0",61.6,"fjrkq","hb7kw"
"jn1xa",1,"23.4",NA,"mdwef","onoxc"
"yd5ut",1,"23.2",NA,"o0gar","xi57y"
"svrof",1,"43.9",53.9,"dxvjr","bbiia"
"zqkt5",2,"21.1",49.8,"o0gar","xi57y"
