"id","male","age","ed","idf","agef","edf","code","idm","agem","edm"
"ij35t",1,31,0,NA,NA,NA,"ms","ohduy",61,3
"ucdyd",0,39,0,"kbzgk",66,0,"fd",NA,NA,NA
"hnjo7",0,36,0,NA,NA,NA,"md","vwxsy",61,0
"v03mt",1,20,4,"ju28f",60,0,"fs",NA,NA,NA
"g1uex",0,30,12,NA,NA,NA,"md","znk20",70,0
"w7cjd",0,22,9,"wtlmm",49,6,"fd",NA,NA,NA
"uesel",1,21,6,NA,NA,NA,"ms","gdjni",44,0
"erxcw",1,23,12,NA,NA,NA,"ms","febh0",46,0
"v28v0",0,25,13,NA,NA,NA,"md","rmudr",44,3
"p9wkf",0,52,0,NA,NA,NA,"md","npvvy",74,0
"rkbbl",1,31,9,NA,NA,NA,"ms","ewtnl",75,0
"ab3na",0,51,0,NA,NA,NA,"md","uooum",74,0
"y6plf",1,22,14,NA,NA,NA,"ms","lsco1",45,0
"nvv5w",0,32,8,"hk4ni",71,0,"fd",NA,NA,NA
"f1aft",0,26,8,"uzug6",62,3,"fd",NA,NA,NA
"pmyz3",1,18,10,"ajdwf",38,4,"fs",NA,NA,NA
"gjc2m",1,25,6,"hmz30",50,0,"fs",NA,NA,NA
"cfoo7",0,19,11,NA,NA,NA,"md","vpsdw",37,3
"gb1gf",0,18,9,"n9jz3",41,5,"fd",NA,NA,NA
"mvu3l",0,41,0,NA,NA,NA,"md","yuyda",69,0
"pcgtg",0,39,6,NA,NA,NA,"md","ljd2v",62,0
"p5b67",0,23,6,"kfyoa",52,0,"fd",NA,NA,NA
"enmu3",0,18,10,NA,NA,NA,"md","zm4y9",36,0
"q65wc",1,41,0,NA,NA,NA,"ms","blmp6",80,0
"hmfob",1,44,12,NA,NA,NA,"ms","pf36b",68,0
"sy9cg",0,19,12,NA,NA,NA,"md","untip",39,0
"pzg82",1,23,6,"qawdz",53,0,"fs",NA,NA,NA
"zvyj1",0,22,14,"hk4ni",71,0,"fd",NA,NA,NA
"p3jq3",1,35,6,NA,NA,NA,"ms","d7q5r",70,0
"pvixe",0,43,9,"g4jvl",70,5,"fd",NA,NA,NA
"p5b67",0,23,6,NA,NA,NA,"md","zny2x",44,0
