"id","male","age","ed","idf","agef","edf","code","idm","agem","edm"
"hxa2y",0,28,6,NA,NA,NA,"md","znk20",70,0
"ekh3y",0,35,6,NA,NA,NA,"md","jxhqi",65,0
"rn4vk",0,50,0,NA,NA,NA,"md","yuyda",69,0
"stbcu",1,26,6,NA,NA,NA,"ms","hniud",65,0
"e5ws1",0,28,9,"aqry0",76,0,"fd",NA,NA,NA
"ih2bz",1,55,3,NA,NA,NA,"ms","g7gzw",75,0
"srrh5",0,38,0,"hk4ni",71,0,"fd",NA,NA,NA
"gwn92",0,36,0,"dh644",61,0,"fd",NA,NA,NA
"neaqh",1,23,9,"h7y0g",46,9,"fs",NA,NA,NA
"r7u8w",0,28,9,NA,NA,NA,"md","w1ly9",58,0
"gupqo",0,29,6,NA,NA,NA,"md","af5sv",59,0
"qnbbq",1,24,9,NA,NA,NA,"ms","vti8r",53,0
"hfst1",0,17,10,NA,NA,NA,"md","f0s4v",39,1
"hbo87",0,42,6,"vju3z",78,0,"fd",NA,NA,NA
"pw8xf",0,23,0,"n1qzu",49,9,"fd",NA,NA,NA
"v6mad",1,21,7,NA,NA,NA,"ms","ixiqe",40,0
"bnwa0",1,18,12,"brax9",43,5,"fs",NA,NA,NA
"uwspw",1,22,6,NA,NA,NA,"ms","pg902",51,0
"cds90",0,17,9,NA,NA,NA,"md","r2yn6",39,2
"xhkjg",0,27,0,NA,NA,NA,"md","qbvjo",61,0
"uldmw",0,40,9,"f262g",69,0,"fd",NA,NA,NA
"fmqzs",1,33,0,NA,NA,NA,"ms","w5u0x",68,0
"w1ly9",0,58,0,NA,NA,NA,"md","mea4s",79,0
"k1oc7",0,22,16,NA,NA,NA,"md","dmi0m",51,0
"wb5sr",1,22,6,"avh6a",50,6,"fs",NA,NA,NA
"mi8pa",0,26,6,NA,NA,NA,"md","vwxsy",61,0
"piw0c",1,23,9,NA,NA,NA,"ms","rmudr",44,3
"dkgd5",1,36,0,NA,NA,NA,"ms","su58r",67,0
"ycgz2",1,27,6,NA,NA,NA,"ms","ez092",52,0
"gc3e2",0,36,9,NA,NA,NA,"md","fld5u",61,0
"vk9cv",1,23,9,"u5pd6",43,6,"fs",NA,NA,NA
"afzna",1,17,9,NA,NA,NA,"ms","dkech",37,4
"azgfp",1,34,9,"hmz30",50,0,"fs",NA,NA,NA
"y18rc",0,23,7,NA,NA,NA,"md","rm0au",44,0
"owxwx",1,56,0,NA,NA,NA,"ms","mea4s",79,0
"nr78x",0,25,12,NA,NA,NA,"md","eoiq5",45,0
"baqt3",1,21,13,"v6v0o",75,0,"fs",NA,NA,NA
"zstt0",0,44,9,NA,NA,NA,"md","yurld",73,0
"v2jv0",1,32,6,"j2fcz",66,0,"fs",NA,NA,NA
"bfksg",1,36,6,NA,NA,NA,"ms","g6qzh",59,0
"vl6a1",0,23,16,NA,NA,NA,"md","a0ksr",40,0
"t3luq",0,34,6,NA,NA,NA,"md","ewtnl",75,0
"jm9a9",1,24,10,NA,NA,NA,"ms","ggi09",53,0
"z6rgz",1,30,9,NA,NA,NA,"ms","cvjyy",57,0
"f887t",1,22,9,NA,NA,NA,"ms","pb5kv",43,0
"ek74g",0,22,14,NA,NA,NA,"md","zcchx",40,0
"exp42",0,25,9,"dm5v0",60,0,"fd",NA,NA,NA
"a53g3",1,49,8,NA,NA,NA,"ms","tyj60",77,0
"xx094",0,58,0,NA,NA,NA,"md","rp5vu",83,0
"pvixe",0,43,9,NA,NA,NA,"md","yuyda",69,0
"neaqh",1,23,9,NA,NA,NA,"ms","esqmi",44,0
"vk9cv",1,23,9,NA,NA,NA,"ms","jvprb",46,0
"vjbf2",1,44,6,"jc7qj",76,0,"fs",NA,NA,NA
"scxwr",1,39,6,NA,NA,NA,"ms","v8m8j",64,0
"fwm5h",0,17,9,"uj2xa",42,0,"fd",NA,NA,NA
"rrtyx",1,21,9,NA,NA,NA,"ms","esqmi",44,0
"nh10j",1,27,12,NA,NA,NA,"ms","or8ok",46,0
"f0yq4",0,43,0,NA,NA,NA,"md","d3hhv",70,0
"ek74g",0,22,14,"xhk2v",51,0,"fd",NA,NA,NA
"oz4xx",1,17,12,NA,NA,NA,"ms","y66ti",46,6
"vcp0m",0,41,12,NA,NA,NA,"md","mea4s",79,0
"cfsog",0,35,0,NA,NA,NA,"md","jbg0v",56,0
"iaai4",1,33,5,"aqry0",76,0,"fs",NA,NA,NA
"ecfwl",1,22,12,NA,NA,NA,"ms","d8if8",43,0
"kzl50",1,26,9,NA,NA,NA,"ms","eujqb",48,0
"w28ke",0,21,9,NA,NA,NA,"md","qnpir",42,0
"xpvyf",0,26,6,NA,NA,NA,"md","xx094",58,0
"qnpir",0,42,0,NA,NA,NA,"md","xxcb2",65,0
"jriap",1,27,4,NA,NA,NA,"ms","wsmgs",66,0
"bojob",1,29,0,"hk4ni",71,0,"fs",NA,NA,NA
"wl3w1",0,31,9,NA,NA,NA,"md","dcg2d",52,0
"ni752",0,18,9,NA,NA,NA,"md","dtixk",40,0
"bvwpb",0,36,0,"hk4ni",71,0,"fd",NA,NA,NA
"kn3ob",0,25,12,NA,NA,NA,"md","il9la",51,0
"rn71g",0,32,0,NA,NA,NA,"md","jbg0v",56,0
"ducdo",0,33,0,NA,NA,NA,"md","d7q5r",70,0
"ipw5h",0,32,9,"mihe1",57,0,"fd",NA,NA,NA
"ctwqk",0,28,9,"xap9e",59,0,"fd",NA,NA,NA
"vz3xp",1,46,9,"ev6ni",71,0,"fs",NA,NA,NA
"si6o9",0,35,0,NA,NA,NA,"md","cpwgz",59,0
"guss3",1,19,6,NA,NA,NA,"ms","vomyc",36,0
"pmyz3",1,18,10,NA,NA,NA,"ms","hsq6e",38,2
"xjhl0",0,28,6,NA,NA,NA,"md","cjxd3",52,5
"q7lfa",0,21,9,NA,NA,NA,"md","hinp8",45,0
"s39ym",0,20,6,NA,NA,NA,"md","q5bdn",45,0
"l1x9e",1,22,9,NA,NA,NA,"ms","d8ebp",44,5
"yzfox",1,37,3,NA,NA,NA,"ms","dchvt",70,0
"ot1x6",1,26,6,NA,NA,NA,"ms","kn74n",43,0
"duwzw",1,35,3,NA,NA,NA,"ms","v2hhj",57,0
"wbwif",1,22,6,NA,NA,NA,"ms","crn3q",51,0
"pvugh",1,29,6,NA,NA,NA,"ms","d17jl",57,0
"pzg82",1,23,6,NA,NA,NA,"ms","f3436",55,0
"cwpbn",0,23,12,"uzo8w",47,2,"fd",NA,NA,NA
"r3z4g",1,23,12,"d8izv",47,9,"fs",NA,NA,NA
"mkde0",0,17,6,"on5lu",43,6,"fd",NA,NA,NA
"o1j74",1,21,6,NA,NA,NA,"ms","ro5ya",53,0
"n10xx",1,30,0,NA,NA,NA,"ms","crn3q",51,0
"beejp",1,29,12,"x9rqq",63,6,"fs",NA,NA,NA
"kfyoa",1,52,0,NA,NA,NA,"ms","w5u0x",68,0
"bfksg",1,36,6,"hrn6i",65,0,"fs",NA,NA,NA
"ijhll",1,32,9,NA,NA,NA,"ms","ez6rw",66,0
"aregf",1,17,10,NA,NA,NA,"ms","hbo87",42,6
"j9lg8",0,33,16,NA,NA,NA,"md","eleij",64,0
"jbc8j",0,36,0,NA,NA,NA,"md","blmp6",80,0
"qqjix",1,35,3,"svm7v",76,9,"fs",NA,NA,NA
"m4jrc",1,34,6,"kbzgk",66,0,"fs",NA,NA,NA
"x4jiw",1,33,4,"vk71d",67,0,"fs",NA,NA,NA
"gjhf9",1,40,2,NA,NA,NA,"ms","yagwa",63,0
"ipw5h",0,32,9,NA,NA,NA,"md","idjmh",51,3
"azirh",1,32,6,NA,NA,NA,"ms","ec5k1",54,0
"yvcs1",1,33,6,"isbkk",72,15,"fs",NA,NA,NA
"vy7je",0,20,8,NA,NA,NA,"md","fviv4",56,0
"b1rce",0,33,0,NA,NA,NA,"md","ec5k1",54,0
"zcw9w",0,27,12,"cjruj",55,9,"fd",NA,NA,NA
"jkn4w",0,38,0,NA,NA,NA,"md","g7gzw",75,0
"gw8pm",1,41,0,NA,NA,NA,"ms","gnst1",58,0
"op354",0,31,0,"pit7k",66,0,"fd",NA,NA,NA
"wl3w1",0,31,9,"oa21f",61,9,"fd",NA,NA,NA
"u6asr",1,39,6,NA,NA,NA,"ms","h60ab",67,0
"dume2",0,25,6,"lk2l8",49,0,"fd",NA,NA,NA
"seqbq",1,18,10,NA,NA,NA,"ms","oybv6",38,3
"kinxl",1,21,12,"e5wt3",55,6,"fs",NA,NA,NA
"qd1ia",0,31,0,"ju28f",60,0,"fd",NA,NA,NA
"vlac4",1,18,6,NA,NA,NA,"ms","flbke",39,0
"vdl1s",0,44,0,NA,NA,NA,"md","vcdmc",71,0
"i2a2c",0,37,0,NA,NA,NA,"md","cm1cw",55,0
"ksyel",0,34,0,NA,NA,NA,"md","mkyvm",75,0
"dsptb",1,35,0,NA,NA,NA,"ms","b8uuy",66,0
"sn4tj",1,21,9,"z0w7o",49,9,"fs",NA,NA,NA
"lmv0d",0,39,0,"soet5",83,0,"fd",NA,NA,NA
"kxa9b",0,21,9,NA,NA,NA,"md","bgxto",42,0
"o4dzk",0,53,3,NA,NA,NA,"md","g7gzw",75,0
"y07ua",1,27,6,"xiglu",54,6,"fs",NA,NA,NA
"ue5px",1,25,9,NA,NA,NA,"ms","g6r1a",49,0
"jnmd6",0,25,7,"qawdz",53,0,"fd",NA,NA,NA
"oawhl",1,45,0,NA,NA,NA,"ms","bls1j",71,0
"hbdva",1,29,4,NA,NA,NA,"ms","v2hhj",57,0
"sjno3",1,24,6,NA,NA,NA,"ms","svpq3",52,6
"v27s5",1,25,9,NA,NA,NA,"ms","rudxo",50,0
"pbw1q",1,39,99,NA,NA,NA,"ms","bls1j",71,0
"x4jiw",1,33,4,NA,NA,NA,"ms","n81c9",63,0
"vyb3z",1,37,0,NA,NA,NA,"ms","cpwgz",59,0
"cca4h",1,32,1,"z5vjj",65,9,"fs",NA,NA,NA
"hr7vx",0,20,13,"tvzv7",45,4,"fd",NA,NA,NA
"p0abc",1,40,6,NA,NA,NA,"ms","ewtnl",75,0
"mvjnb",0,44,0,NA,NA,NA,"md","l1wk4",67,0
"b1ziz",0,22,12,NA,NA,NA,"md","ro5ya",53,0
"qt3vy",0,33,0,NA,NA,NA,"md","vwxsy",61,0
"el3b8",0,17,12,NA,NA,NA,"md","kibpf",43,0
"ed20a",1,22,6,"gj276",55,6,"fs",NA,NA,NA
"guss3",1,19,6,"i0393",39,6,"fs",NA,NA,NA
"fpc79",1,22,16,NA,NA,NA,"ms","kn74n",43,0
"ygs8p",0,37,0,NA,NA,NA,"md","bls1j",71,0
"iq3wd",0,28,6,NA,NA,NA,"md","pg902",51,0
"v1a83",0,30,0,NA,NA,NA,"md","ez6rw",66,0
"sy9cg",0,19,12,"t58r3",48,8,"fd",NA,NA,NA
"y13pk",0,21,6,NA,NA,NA,"md","s0ava",45,0
"srrh5",0,38,0,NA,NA,NA,"md","mk5hj",63,0
"x6ocj",1,31,0,NA,NA,NA,"ms","y3jc9",66,0
"xc76u",0,17,6,NA,NA,NA,"md","k7nle",41,6
"ur85r",0,20,9,NA,NA,NA,"md","eqshu",48,0
"tbgsk",1,39,9,NA,NA,NA,"ms","zdkja",68,0
"oudsf",1,22,6,"h331g",49,0,"fs",NA,NA,NA
"iq3wd",0,28,6,"qgdo1",49,0,"fd",NA,NA,NA
"mjfk8",1,20,6,NA,NA,NA,"ms","f0yq4",43,0
"z61t5",1,38,12,"svm7v",76,9,"fs",NA,NA,NA
"i9q4p",0,30,6,NA,NA,NA,"md","n5jn3",59,0
"eff3v",0,23,6,NA,NA,NA,"md","s0ava",45,0
"x3fsa",1,33,0,"pit7k",66,0,"fs",NA,NA,NA
"ml50o",1,36,9,NA,NA,NA,"ms","xmopb",56,4
"a58uy",0,41,0,NA,NA,NA,"md","przl7",72,0
"baqt3",1,21,13,NA,NA,NA,"ms","c1q2w",64,2
"axdeo",0,40,12,"ibf39",71,0,"fd",NA,NA,NA
"bbx9l",1,40,6,NA,NA,NA,"ms","af5sv",59,0
"km1cy",1,33,4,NA,NA,NA,"ms","tugwy",62,0
"oz1kl",0,22,15,"n2c5b",46,5,"fd",NA,NA,NA
"l1x9e",1,22,9,"n1qzu",49,9,"fs",NA,NA,NA
"vre33",0,43,0,"ibf39",71,0,"fd",NA,NA,NA
"d0cjq",1,37,0,NA,NA,NA,"ms","n81c9",63,0
"r2vfh",1,27,8,"vss1w",52,12,"fs",NA,NA,NA
"bmqvl",0,19,10,NA,NA,NA,"md","retho",44,3
"n2xfl",0,27,9,NA,NA,NA,"md","g6r1a",49,0
"icmut",1,17,9,NA,NA,NA,"ms","m4bfw",43,0
"fe3de",0,22,15,"xzied",55,15,"fd",NA,NA,NA
"rn4vk",0,50,0,"g4jvl",70,5,"fd",NA,NA,NA
"vr6ic",0,17,9,NA,NA,NA,"md","a1bu9",40,0
"t50ar",0,33,6,NA,NA,NA,"md","x0jgd",59,0
"lmv0d",0,39,0,NA,NA,NA,"md","lbyab",66,0
"tvzv7",1,45,4,"ibf39",71,0,"fs",NA,NA,NA
"q859p",1,53,0,NA,NA,NA,"ms","e09h5",83,0
"nvv5w",0,32,8,NA,NA,NA,"md","mk5hj",63,0
"ucdyd",0,39,0,NA,NA,NA,"md","d17jl",57,0
"cfoo7",0,19,11,"tg1xw",39,9,"fd",NA,NA,NA
"fqos0",1,36,6,"kbzgk",66,0,"fs",NA,NA,NA
"piw0c",1,23,9,"zy9a3",47,9,"fs",NA,NA,NA
"zaehv",1,38,0,NA,NA,NA,"ms","sv29k",75,0
"dpmdi",0,24,6,"nmqlx",54,0,"fd",NA,NA,NA
"fpjp6",0,32,6,NA,NA,NA,"md","dabuy",66,0
"chm7h",1,29,6,NA,NA,NA,"ms","hbbz3",57,0
"r3yko",0,31,6,NA,NA,NA,"md","bls1j",71,0
"jqcgg",0,23,16,NA,NA,NA,"md","er0th",44,0
"gka95",0,29,6,NA,NA,NA,"md","e1ss0",61,0
"meenh",1,29,9,"d8ng1",55,5,"fs",NA,NA,NA
"kyvnw",1,19,12,NA,NA,NA,"ms","c0ro2",45,0
"maomi",0,34,0,NA,NA,NA,"md","i4tn1",60,0
"qtq5b",0,41,0,"yvzpn",65,0,"fd",NA,NA,NA
"oew7g",1,41,0,"xy1c6",65,0,"fs",NA,NA,NA
"dpmdi",0,24,6,NA,NA,NA,"md","lsco1",45,0
"gu9f3",1,30,0,NA,NA,NA,"ms","wsmgs",66,0
"dkb9e",1,38,6,NA,NA,NA,"ms","jc5d9",70,0
"ig7qi",0,32,6,NA,NA,NA,"md","uhbch",61,0
"h7ogn",0,34,12,"yif2y",53,0,"fd",NA,NA,NA
"kyvnw",1,19,12,"xa0hl",55,4,"fs",NA,NA,NA
"gyx1r",0,32,16,"hee22",66,0,"fd",NA,NA,NA
"sejk1",0,39,12,"a88sw",68,12,"fd",NA,NA,NA
"a82uz",0,18,11,"xa0hl",55,4,"fd",NA,NA,NA
"z7qiz",1,41,0,"soet5",83,0,"fs",NA,NA,NA
"mib7b",0,37,0,NA,NA,NA,"md","gnst1",58,0
"accix",1,27,9,NA,NA,NA,"ms","fld5u",61,0
"n10xx",1,30,0,"olivu",56,0,"fs",NA,NA,NA
"sqkq5",0,29,12,NA,NA,NA,"md","xaibu",57,6
"ahx0j",1,33,6,NA,NA,NA,"ms","rnixx",61,0
"h80mt",1,34,3,NA,NA,NA,"ms","cvjyy",57,0
"excju",1,43,9,NA,NA,NA,"ms","blmp6",80,0
"sv0s5",1,43,16,NA,NA,NA,"ms","dabuy",66,0
"am1fj",0,58,0,NA,NA,NA,"md","iz5py",79,0
"beejp",1,29,12,NA,NA,NA,"ms","cm1cw",55,0
"nrq1c",1,49,0,NA,NA,NA,"ms","npvvy",74,0
"icmut",1,17,9,"nhu98",45,2,"fs",NA,NA,NA
"j1eo5",1,37,3,NA,NA,NA,"ms","tdl6v",59,0
"rwqxq",0,30,15,"xzied",55,15,"fd",NA,NA,NA
"sms4j",1,18,9,"e45l2",55,9,"fs",NA,NA,NA
"nqler",1,49,6,NA,NA,NA,"ms","yn5mn",72,0
"dkb9e",1,38,6,"ibf39",71,0,"fs",NA,NA,NA
"qyews",1,31,12,NA,NA,NA,"ms","x0jgd",59,0
"s1ud0",0,38,0,NA,NA,NA,"md","blmp6",80,0
"f296h",0,25,12,"w39w2",60,9,"fd",NA,NA,NA
"a2rk4",0,40,9,"vju3z",78,0,"fd",NA,NA,NA
"mie5c",0,40,0,NA,NA,NA,"md","lfqwc",71,0
"b5911",0,31,0,NA,NA,NA,"md","jvweu",55,0
"iu16n",0,26,0,NA,NA,NA,"md","x0jgd",59,0
"sxj6u",0,41,6,"isbkk",72,15,"fd",NA,NA,NA
"saduj",0,46,0,NA,NA,NA,"md","pf36b",68,0
"spsqg",1,40,1,NA,NA,NA,"ms","x1pnr",79,0
"qpdnl",0,27,6,NA,NA,NA,"md","ec5k1",54,0
"vs2vc",1,45,0,"xy1c6",65,0,"fs",NA,NA,NA
"pje53",0,55,0,NA,NA,NA,"md","rp5vu",83,0
"usgeo",1,23,6,"z8fzd",49,0,"fs",NA,NA,NA
"z7c7a",1,46,5,NA,NA,NA,"ms","zdkja",68,0
"ly0wc",1,25,6,NA,NA,NA,"ms","crn3q",51,0
"pvugh",1,29,6,"kbzgk",66,0,"fs",NA,NA,NA
"urhno",0,20,13,"m9uvu",56,0,"fd",NA,NA,NA
"d93e7",0,45,0,"vk71d",67,0,"fd",NA,NA,NA
"cfgfg",1,34,0,NA,NA,NA,"ms","ejodp",68,0
"kcxgd",0,38,6,NA,NA,NA,"md","npvvy",74,0
"mcab0",0,29,0,"z8fzd",49,0,"fd",NA,NA,NA
"ma6im",0,31,0,NA,NA,NA,"md","yuyda",69,0
"r3lny",1,32,6,NA,NA,NA,"ms","ji6gp",55,0
"tzzhc",0,27,0,NA,NA,NA,"md","luuj9",56,2
"rzzc6",0,33,0,NA,NA,NA,"md","blmp6",80,0
"p1de7",1,42,6,"a88sw",68,12,"fs",NA,NA,NA
"wd8ni",1,22,6,NA,NA,NA,"ms","qgg2k",62,0
"zu3c9",0,28,0,NA,NA,NA,"md","ruq2x",51,0
"rbfjr",0,25,6,NA,NA,NA,"md","ngxb1",58,0
